datum,kraj,disciplina,mesto,zaostanek
07-03-2016,Jasna,Giant Slalom,DNQ1,
06-03-2016,Jasna,Slalom,DNQ1,
15-02-2016,Crans Montana,Slalom,DNF1,
30-01-2016,Maribor,Giant Slalom,DNQ1,
17-01-2016,Flachau,Giant Slalom,DNQ1,
15-01-2016,Flachau,Slalom,DNF1,
12-01-2016,Flachau,Slalom,DNQ1,
13-12-2015,Are,Slalom,DNS1,
12-12-2015,Are,Giant Slalom,DNF1,
29-11-2015,"Aspen, CO",Slalom,DNQ1,
28-11-2015,"Aspen, CO",Slalom,DNQ1,
27-11-2015,"Aspen, CO",Giant Slalom,DNF1,
24-10-2015,Soelden,Giant Slalom,DNF2,
14-03-2015,Are,Slalom,DNQ1,
13-03-2015,Are,Giant Slalom,DNQ1,
22-02-2015,Maribor,Slalom,DNF1,
21-02-2015,Maribor,Giant Slalom,20,18.31
13-01-2015,Flachau,Slalom,DNF1,
04-01-2015,Zagreb,Slalom,DNF1,
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1,
28-12-2014,Kuehtai in Tirol,Giant Slalom,17,10.90
12-12-2014,Are,Giant Slalom,DNF1,
30-11-2014,Aspen,Slalom,DNQ1,
29-11-2014,Aspen,Giant Slalom,29,33.92
25-10-2014,Soelden,Giant Slalom,DNQ1,
08-03-2014,Are,Slalom,DNQ1,
07-03-2014,Are,Giant Slalom,21,22.15
06-03-2014,Are,Giant Slalom,DNQ1,
02-02-2014,Kranjska Gora,Slalom,DNQ1,
28-12-2013,Lienz,Giant Slalom,DNS1,
22-12-2013,Val d'Isere,Giant Slalom,DNQ1,
17-12-2013,Courchevel,Slalom,DNF1,
