datum,kraj,disciplina,mesto,zaostanek
06-03-2016,Jasna,Slalom,DNQ1,
15-02-2016,Crans Montana,Slalom,23,22.52
15-01-2016,Flachau,Slalom,DNQ1,
12-01-2016,Flachau,Slalom,DNQ1,
05-01-2016,Santa Caterina Valfurva,Slalom,DNQ1,
29-12-2015,Lienz,Slalom,DNQ1,
13-12-2015,Are,Slalom,DNQ1,
29-11-2015,"Aspen, CO",Slalom,DNQ1,
28-11-2015,"Aspen, CO",Slalom,DNQ1,
14-03-2015,Are,Slalom,DNQ1,
22-02-2015,Maribor,Slalom,DNF1,
13-01-2015,Flachau,Slalom,DNQ1,
04-01-2015,Zagreb,Slalom,DNF1,
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1,
15-11-2014,Levi,Slalom,DNQ1,
02-02-2014,Kranjska Gora,Slalom,DNQ1,
14-01-2014,Flachau,Slalom,DNQ1,
05-01-2014,Bormio,Slalom,DNF1,
17-12-2013,Courchevel,Slalom,DNF1,
10-03-2013,Ofterschwang,Slalom,DNQ1,
15-01-2013,Flachau,Slalom,DNF1,
