datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,2
07-03-2016,Jasna,Giant Slalom,19
06-03-2016,Jasna,Slalom,DNQ1
15-02-2016,Crans Montana,Slalom,DNQ1
30-01-2016,Maribor,Giant Slalom,21
17-01-2016,Flachau,Giant Slalom,9
15-01-2016,Flachau,Slalom,DNQ1
12-01-2016,Flachau,Slalom,22
29-12-2015,Lienz,Slalom,26
28-12-2015,Lienz,Giant Slalom,16
20-12-2015,Courchevel,Giant Slalom,24
13-12-2015,Are,Slalom,28
12-12-2015,Are,Giant Slalom,10
29-11-2015,"Aspen, CO",Slalom,DNQ1
28-11-2015,"Aspen, CO",Slalom,23
27-11-2015,"Aspen, CO",Giant Slalom,DNF1
24-10-2015,Soelden,Giant Slalom,13
14-03-2015,Are,Slalom,DNQ1
13-03-2015,Are,Giant Slalom,8
22-02-2015,Maribor,Slalom,DNQ1
21-02-2015,Maribor,Giant Slalom,DNQ1
13-01-2015,Flachau,Slalom,20
04-01-2015,Zagreb,Slalom,DSQ2
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1
13-12-2014,Are,Slalom,DNQ1
12-12-2014,Are,Giant Slalom,17
30-11-2014,Aspen,Slalom,26
29-11-2014,Aspen,Giant Slalom,DNQ1
15-11-2014,Levi,Slalom,DNQ1
08-03-2014,Are,Slalom,DNQ1
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,26
02-02-2014,Kranjska Gora,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNQ1
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,DNQ1
28-12-2013,Lienz,Giant Slalom,DNQ1
22-12-2013,Val d'Isere,Giant Slalom,DNQ1
17-12-2013,Courchevel,Slalom,DNQ1
15-12-2013,St. Moritz,Giant Slalom,27
01-12-2013,Beaver Creek,Giant Slalom,DSQ2
16-11-2013,Levi,Slalom,22
26-10-2013,Soelden,Giant Slalom,28
15-01-2013,Flachau,Slalom,DNQ1
29-12-2012,Semmering,Slalom,DNQ1
28-12-2012,Semmering,Giant Slalom,22
20-12-2012,Are,Slalom,DNQ1
19-12-2012,Are,Giant Slalom,23
16-12-2012,Courchevel,Giant Slalom,21
09-12-2012,St. Moritz,Giant Slalom,DNF2
07-12-2012,St. Moritz,Super Combined,29
25-11-2012,"Aspen, CO",Slalom,DNQ1
24-11-2012,"Aspen, CO",Giant Slalom,7
10-11-2012,Levi,Slalom,DNQ1
27-10-2012,Soelden,Giant Slalom,10
18-03-2012,Schladming,Giant Slalom,11
10-03-2012,Are,Slalom,DNQ1
09-03-2012,Are,Giant Slalom,18
04-03-2012,Ofterschwang,Slalom,DNF1
03-03-2012,Ofterschwang,Giant Slalom,9
02-03-2012,Ofterschwang,Giant Slalom,21
12-02-2012,Soldeu-Grandvalira,Giant Slalom,24
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1
29-01-2012,St. Moritz,Super Combined,31
27-01-2012,St. Moritz,Super Combined,28
22-01-2012,Kranjska Gora,Slalom,14
21-01-2012,Kranjska Gora,Giant Slalom,17
03-01-2012,Zagreb,Slalom,DNQ1
29-12-2011,Lienz,Slalom,17
28-12-2011,Lienz,Giant Slalom,15
20-12-2011,Flachau,Slalom,24
18-12-2011,Courchevel,Slalom,DNQ1
27-11-2011,Aspen,Slalom,DNQ1
26-11-2011,Aspen,Giant Slalom,14
22-10-2011,Soelden,Giant Slalom,9
12-03-2011,Spindleruv Mlyn,Slalom,DNQ1
11-03-2011,Spindleruv Mlyn,Giant Slalom,24
06-02-2011,Arber-Zwiesel,Giant Slalom,24
04-02-2011,Arber-Zwiesel,Slalom,18
11-01-2011,Flachau,Slalom,DNF1
04-01-2011,Zagreb,Slalom,DNQ1
29-12-2010,Semmering,Slalom,DNQ1
28-12-2010,Semmering,Giant Slalom,29
21-12-2010,Courchevel,Slalom,DNF1
12-12-2010,St. Moritz,Giant Slalom,6
28-11-2010,Aspen,Slalom,DNQ1
27-11-2010,Aspen,Giant Slalom,15
13-11-2010,Levi,Slalom,DNQ1
23-10-2010,Soelden,Giant Slalom,DNF2
11-03-2010,Garmisch Partenkirchen,Giant Slalom,7
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNF1
17-01-2010,Maribor,Slalom,DNQ1
16-01-2010,Maribor,Giant Slalom,20
12-01-2010,Flachau,Slalom,DNF1
03-01-2010,Zagreb,Slalom,DNF1
29-12-2009,Lienz,Slalom,DNF1
28-12-2009,Lienz,Giant Slalom,3
13-12-2009,Are,Slalom,DNF2
12-12-2009,Are,Giant Slalom,13
29-11-2009,Aspen,Slalom,20
28-11-2009,Aspen,Giant Slalom,DSQ1
14-11-2009,Levi,Slalom,DNF2
24-10-2009,Soelden,Giant Slalom,16
14-03-2009,Are,Giant Slalom,4
07-03-2009,Ofterschwang,Slalom,DNQ1
06-03-2009,Ofterschwang,Giant Slalom,11
25-01-2009,Cortina d'Ampezzo,Giant Slalom,5
10-01-2009,Maribor,Giant Slalom,20
28-12-2008,Semmering,Giant Slalom,DNQ1
13-12-2008,La Molina,Giant Slalom,24
29-11-2008,Aspen,Giant Slalom,20
25-10-2008,Soelden,Giant Slalom,DNQ1
27-01-2008,Ofterschwang,Slalom,DNQ1
26-01-2008,Ofterschwang,Giant Slalom,14
05-01-2008,Spindleruv Mlyn,Giant Slalom,DNQ1
28-12-2007,Lienz,Giant Slalom,DNQ1
21-01-2007,Cortina d'Ampezzo,Giant Slalom,DNF1
06-01-2007,Kranjska Gora,Giant Slalom,DNQ2
15-12-2006,Reiteralm,Super Combined,40
03-02-2006,Ofterschwang,Giant Slalom,DNQ1
