datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,10
16-03-2016,St. Moritz,Downhill,12
13-03-2016,Kvitfjell,Super G,19
12-03-2016,Kvitfjell,Downhill,17
27-02-2016,Hinterstoder,Super G,23
20-02-2016,Chamonix,Downhill,20
19-02-2016,Chamonix,Alpine combined,15
07-02-2016,Jeongseon,Super G,6
06-02-2016,Jeongseon,Downhill,9
30-01-2016,Garmisch Partenkirchen,Downhill,16
23-01-2016,Kitzbuehel,Downhill,12
22-01-2016,Kitzbuehel,Alpine combined,6
22-01-2016,Kitzbuehel,Super G,8
16-01-2016,Wengen,Downhill,17
15-01-2016,Wengen,Alpine combined,8
29-12-2015,Santa Caterina,Downhill,5
19-12-2015,Val Gardena / Groeden,Downhill,16
18-12-2015,Val Gardena / Groeden,Super G,18
06-12-2015,Beaver Creek,Giant Slalom,DNQ1
05-12-2015,Beaver Creek,Super G,20
04-12-2015,Beaver Creek,Downhill,34
29-11-2015,Lake Louise,Super G,12
28-11-2015,Lake Louise,Downhill,19
25-10-2015,Soelden,Giant Slalom,DNQ1
19-03-2015,Meribel,Super G,14
18-03-2015,Meribel,Downhill,12
08-03-2015,Kvitfjell,Super G,6
07-03-2015,Kvitfjell,Downhill,10
28-02-2015,Garmisch Partenkirchen,Downhill,2
22-02-2015,Saalbach,Super G,11
21-02-2015,Saalbach,Downhill,10
24-01-2015,Kitzbuehel,Downhill,7
23-01-2015,Kitzbuehel,Alpine combined,14
23-01-2015,Kitzbuehel,Super G,18
18-01-2015,Wengen,Downhill,24
16-01-2015,Wengen,Alpine combined,11
28-12-2014,Santa Caterina,Downhill,5
20-12-2014,Val Gardena / Groeden,Super G,8
19-12-2014,Val Gardena / Groeden,Downhill,17
06-12-2014,Beaver Creek,Super G,29
05-12-2014,Beaver Creek,Downhill,21
30-11-2014,Lake Louise,Super G,14
29-11-2014,Lake Louise,Downhill,25
13-03-2014,Lenzerheide,Super G,DNS1
12-03-2014,Lenzerheide,Downhill,DNF1
02-03-2014,Kvitfjell,Super G,6
01-03-2014,Kvitfjell,Downhill,22
28-02-2014,Kvitfjell,Downhill,7
02-02-2014,St. Moritz,Giant Slalom,DNF1
26-01-2014,Kitzbuehel,Super G,13
26-01-2014,Kitzbuehel,Super Combined,16
25-01-2014,Kitzbuehel,Downhill,25
18-01-2014,Wengen,Downhill,8
17-01-2014,Wengen,Super Combined,DNF2
29-12-2013,Bormio,Downhill,18
21-12-2013,Val Gardena / Groeden,Downhill,26
20-12-2013,Val Gardena / Groeden,Super G,5
08-12-2013,Beaver Creek,Giant Slalom,DNQ1
06-12-2013,Beaver Creek,Downhill,33
01-12-2013,Lake Louise,Super G,33
30-11-2013,Lake Louise,Downhill,27
27-10-2013,Soelden,Giant Slalom,DNQ1
09-03-2013,Kranjska Gora,Giant Slalom,DNQ1
03-03-2013,Kvitfjell,Super G,13
02-03-2013,Kvitfjell,Downhill,20
23-02-2013,Garmisch-Partenkirchen,Downhill,25
27-01-2013,Kitzbuehel,Super Combined,4
26-01-2013,Kitzbuehel,Downhill,14
25-01-2013,Kitzbuehel,Super G,12
19-01-2013,Wengen,Downhill,6
18-01-2013,Wengen,Super Combined,22
12-01-2013,Adelboden,Giant Slalom,DNF2
29-12-2012,Bormio,Downhill,8
16-12-2012,Alta Badia,Giant Slalom,DNQ1
15-12-2012,Val Gardena-Groeden,Downhill,37
14-12-2012,Val Gardena-Groeden,Super G,49
09-12-2012,Val d'Isere,Giant Slalom,25
02-12-2012,Beaver Creek,Giant Slalom,23
01-12-2012,Beaver Creek,Super G,28
30-11-2012,Beaver Creek,Downhill,19
25-11-2012,Lake Louise,Super G,23
24-11-2012,Lake Louise,Downhill,31
28-10-2012,Soelden,Giant Slalom,20
17-03-2012,Schladming,Giant Slalom,23
15-03-2012,Schladming,Super G,15
14-03-2012,Schladming,Downhill,18
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1
04-03-2012,Kvitfjell,Super G,21
03-03-2012,Kvitfjell,Downhill,13
02-03-2012,Kvitfjell,Super G,31
26-02-2012,Crans Montana,Giant Slalom,23
25-02-2012,Crans Montana,Super G,29
24-02-2012,Crans Montana,Super G,8
21-02-2012,Moscow,City Event,4
18-02-2012,Bansko,Giant Slalom,DNF1
12-02-2012,Sochi,Super Combined,17
11-02-2012,Sochi,Downhill,14
05-02-2012,Chamonix,Super Combined,1
04-02-2012,Chamonix,Downhill,2
03-02-2012,Chamonix,Downhill,4
28-01-2012,Garmisch-Partenkirchen,Downhill,20
22-01-2012,Kitzbuehel,Slalom,DNQ1
22-01-2012,Kitzbuehel,Super Combined,6
21-01-2012,Kitzbuehel,Downhill,2
14-01-2012,Wengen,Downhill,8
13-01-2012,Wengen,Super Combined,26
07-01-2012,Adelboden,Giant Slalom,6
29-12-2011,Bormio,Downhill,16
18-12-2011,Alta Badia,Giant Slalom,24
16-12-2011,Val Gardena-Groeden,Super G,24
06-12-2011,Beaver Creek,Giant Slalom,16
04-12-2011,Beaver Creek,Giant Slalom,18
03-12-2011,Beaver Creek,Super G,19
02-12-2011,Beaver Creek,Downhill,53
27-11-2011,Lake Louise,Super G,24
26-11-2011,Lake Louise,Downhill,4
23-10-2011,Soelden,Giant Slalom,11
19-03-2011,Lenzerheide,Slalom,DNF1
16-03-2011,Lenzerheide,Downhill,18
13-03-2011,Kvitfjell,Super G,14
12-03-2011,Kvitfjell,Downhill,14
11-03-2011,Kvitfjell,Downhill,4
05-03-2011,Kranjska Gora,Giant Slalom,15
26-02-2011,Bansko,Super Combined,10
06-02-2011,Hinterstoder,Giant Slalom,17
05-02-2011,Hinterstoder,Super G,15
30-01-2011,Chamonix,Super Combined,DNF2
29-01-2011,Chamonix,Downhill,9
23-01-2011,Kitzbuehel,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,3
22-01-2011,Kitzbuehel,Downhill,10
21-01-2011,Kitzbuehel,Super G,5
15-01-2011,Wengen,Downhill,6
14-01-2011,Wengen,Super Combined,13
08-01-2011,Adelboden,Giant Slalom,21
02-01-2011,Muenchen,City Event,5
29-12-2010,Bormio,Downhill,10
19-12-2010,Alta Badia,Giant Slalom,DNQ1
18-12-2010,Val Gardena-Groeden,Downhill,2
17-12-2010,Val Gardena-Groeden,Super G,5
11-12-2010,Val d'Isere,Giant Slalom,20
05-12-2010,Beaver Creek,Giant Slalom,4
04-12-2010,Beaver Creek,Super G,18
28-11-2010,Lake Louise,Super G,3
27-11-2010,Lake Louise,Downhill,40
12-03-2010,Garmisch Partenkirchen,Giant Slalom,10
10-03-2010,Garmisch Partenkirchen,Downhill,20
07-03-2010,Kvitfjell,Super G,15
06-03-2010,Kvitfjell,Downhill,17
30-01-2010,Kranjska Gora,Giant Slalom,16
29-01-2010,Kranjska Gora,Giant Slalom,10
24-01-2010,Kitzbuehel,Combined,9
24-01-2010,Kitzbuehel,Slalom,DNQ1
