datum,kraj,disciplina,mesto,zaostanek
13-03-2015,Are,Giant Slalom,23,17.81
22-02-2015,Maribor,Slalom,DNS1,
21-02-2015,Maribor,Giant Slalom,20,18.31
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1,
13-12-2014,Are,Slalom,DNQ1,
12-12-2014,Are,Giant Slalom,DNQ1,
30-11-2014,Aspen,Slalom,DNF1,
29-11-2014,Aspen,Giant Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,DNF1,
16-03-2014,Lenzerheide,Giant Slalom,21,32.88
08-03-2014,Are,Slalom,DNQ1,
07-03-2014,Are,Giant Slalom,12,18.00
06-03-2014,Are,Giant Slalom,14,12.77
02-02-2014,Kranjska Gora,Slalom,DNQ1,
14-01-2014,Flachau,Slalom,DNQ1,
05-01-2014,Bormio,Slalom,DNQ1,
29-12-2013,Lienz,Slalom,18,16.89
28-12-2013,Lienz,Giant Slalom,26,27.35
22-12-2013,Val d'Isere,Giant Slalom,DNF2,
17-12-2013,Courchevel,Slalom,DNF1,
15-12-2013,St. Moritz,Giant Slalom,18,19.95
01-12-2013,Beaver Creek,Giant Slalom,DNQ1,
16-11-2013,Levi,Slalom,DNQ1,
26-10-2013,Soelden,Giant Slalom,DNF1,
10-03-2013,Ofterschwang,Slalom,DNS1,
09-03-2013,Ofterschwang,Giant Slalom,26,23.89
27-01-2013,Maribor,Slalom,DNF1,
26-01-2013,Maribor,Giant Slalom,12,11.20
28-12-2012,Semmering,Giant Slalom,23,27.15
19-12-2012,Are,Giant Slalom,22,25.16
16-12-2012,Courchevel,Giant Slalom,DNQ1,
09-12-2012,St. Moritz,Giant Slalom,DNQ1,
25-11-2012,"Aspen, CO",Slalom,DNF1,
24-11-2012,"Aspen, CO",Giant Slalom,DNF1,
10-11-2012,Levi,Slalom,DNF1,
27-10-2012,Soelden,Giant Slalom,22,38.03
10-03-2012,Are,Slalom,DNQ1,
09-03-2012,Are,Giant Slalom,16,16.93
04-03-2012,Ofterschwang,Slalom,DNQ1,
03-03-2012,Ofterschwang,Giant Slalom,12,9.93
02-03-2012,Ofterschwang,Giant Slalom,12,8.46
12-02-2012,Soldeu-Grandvalira,Giant Slalom,25,26.29
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1,
22-01-2012,Kranjska Gora,Slalom,DNF1,
21-01-2012,Kranjska Gora,Giant Slalom,24,25.18
28-12-2011,Lienz,Giant Slalom,DNF1,
20-12-2011,Flachau,Slalom,DNF1,
18-12-2011,Courchevel,Slalom,DNQ1,
27-11-2011,Aspen,Slalom,DNF1,
26-11-2011,Aspen,Giant Slalom,DNQ1,
22-10-2011,Soelden,Giant Slalom,DNQ1,
12-03-2011,Spindleruv Mlyn,Slalom,DNQ1,
11-03-2011,Spindleruv Mlyn,Giant Slalom,13,16.66
06-02-2011,Arber-Zwiesel,Giant Slalom,23,20.46
04-02-2011,Arber-Zwiesel,Slalom,DNQ1,
04-01-2011,Zagreb,Slalom,27,208.69
29-12-2010,Semmering,Slalom,DSQ1,
28-12-2010,Semmering,Giant Slalom,21,17.65
21-12-2010,Courchevel,Slalom,DNQ1,
12-12-2010,St. Moritz,Giant Slalom,28,24.96
28-11-2010,Aspen,Slalom,DNQ1,
27-11-2010,Aspen,Giant Slalom,DNQ1,
13-11-2010,Levi,Slalom,DNQ1,
23-10-2010,Soelden,Giant Slalom,DNQ1,
11-03-2010,Garmisch Partenkirchen,Giant Slalom,23,22.82
24-01-2010,Cortina d'Ampezzo,Giant Slalom,15,17.54
17-01-2010,Maribor,Slalom,DNQ1,
16-01-2010,Maribor,Giant Slalom,DNQ1,
12-01-2010,Flachau,Slalom,DNQ1,
03-01-2010,Zagreb,Slalom,DNQ1,
29-12-2009,Lienz,Slalom,DNF1,
28-12-2009,Lienz,Giant Slalom,28,22.48
13-12-2009,Are,Slalom,DNF1,
12-12-2009,Are,Giant Slalom,23,23.47
28-11-2009,Aspen,Giant Slalom,17,23.56
