datum,kraj,disciplina,mesto,zaostanek
20-03-2016,St. Moritz,Giant Slalom,6,9.99
19-03-2016,St. Moritz,Slalom,16,31.44
17-03-2016,St. Moritz,Super G,8,17.79
13-03-2016,Lenzerheide,Alpine combined,DNF2,
12-03-2016,Lenzerheide,Super G,13,18.55
07-03-2016,Jasna,Giant Slalom,3,3.38
06-03-2016,Jasna,Slalom,19,37.06
28-02-2016,Soldeu- El Tarter,Alpine combined,4,8.76
27-02-2016,Soldeu- El Tarter,Super G,1,0.00
21-02-2016,La Thuile,Super G,6,12.64
19-02-2016,La Thuile,Downhill,22,48.66
15-02-2016,Crans Montana,Slalom,16,16.95
07-02-2016,Garmisch Partenkirchen,Super G,9,15.56
30-01-2016,Maribor,Giant Slalom,DNF1,
24-01-2016,Cortina d'Ampezzo,Super G,9,25.33
17-01-2016,Flachau,Giant Slalom,3,6.49
10-01-2016,Altenmarkt-Zauchensee,Super G,10,26.57
05-01-2016,Santa Caterina Valfurva,Slalom,DNQ1,
29-12-2015,Lienz,Slalom,DNF1,
28-12-2015,Lienz,Giant Slalom,5,4.98
20-12-2015,Courchevel,Giant Slalom,DNF2,
13-12-2015,Are,Slalom,DNF1,
12-12-2015,Are,Giant Slalom,3,2.75
29-11-2015,"Aspen, CO",Slalom,DNF1,
28-11-2015,"Aspen, CO",Slalom,28,66.58
27-11-2015,"Aspen, CO",Giant Slalom,3,2.72
24-10-2015,Soelden,Giant Slalom,1,0.00
22-03-2015,Meribel,Giant Slalom,DNF2,
19-03-2015,Meribel,Super G,7,24.25
14-03-2015,Are,Slalom,DNF1,
13-03-2015,Are,Giant Slalom,5,7.54
08-03-2015,Garmisch Partenkirchen,Super G,6,21.28
02-03-2015,Bansko,Super G,15,30.26
01-03-2015,Bansko,Alpine combined,DNF2,
22-02-2015,Maribor,Slalom,DNQ1,
21-02-2015,Maribor,Giant Slalom,8,6.04
19-01-2015,Cortina d'Ampezzo,Super G,28,47.65
13-01-2015,Flachau,Slalom,DNF2,
04-01-2015,Zagreb,Slalom,14,34.07
29-12-2014,Kuehtai in Tirol,Slalom,DSQ2,
28-12-2014,Kuehtai in Tirol,Giant Slalom,26,17.73
13-12-2014,Are,Slalom,DNF1,
12-12-2014,Are,Giant Slalom,4,2.11
30-11-2014,Aspen,Slalom,DNF1,
29-11-2014,Aspen,Giant Slalom,3,10.58
15-11-2014,Levi,Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,5,2.27
16-03-2014,Lenzerheide,Giant Slalom,9,5.36
08-03-2014,Are,Slalom,DNF1,
07-03-2014,Are,Giant Slalom,8,13.11
06-03-2014,Are,Giant Slalom,9,6.38
02-02-2014,Kranjska Gora,Slalom,DNQ1,
14-01-2014,Flachau,Slalom,DNQ1,
12-01-2014,Altenmarkt / Zauchensee,Super Combined,DNF1,
05-01-2014,Bormio,Slalom,DNQ1,
29-12-2013,Lienz,Slalom,DNQ1,
28-12-2013,Lienz,Giant Slalom,6,8.45
22-12-2013,Val d'Isere,Giant Slalom,4,6.86
17-12-2013,Courchevel,Slalom,26,24.64
15-12-2013,St. Moritz,Giant Slalom,DNF1,
14-12-2013,St. Moritz,Super G,36,35.01
01-12-2013,Beaver Creek,Giant Slalom,7,8.13
26-10-2013,Soelden,Giant Slalom,25,22.01
09-12-2012,St. Moritz,Giant Slalom,DNF2,
07-12-2012,St. Moritz,Super Combined,18,31.02
25-11-2012,"Aspen, CO",Slalom,DNF1,
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1,
10-11-2012,Levi,Slalom,DNQ1,
27-10-2012,Soelden,Giant Slalom,DNF2,
18-03-2012,Schladming,Giant Slalom,3,7.33
09-03-2012,Are,Giant Slalom,2,2.82
04-03-2012,Ofterschwang,Slalom,DNQ1,
03-03-2012,Ofterschwang,Giant Slalom,DNF1,
02-03-2012,Ofterschwang,Giant Slalom,13,9.14
21-02-2012,Moscow,City Event,9,0.00
18-02-2012,Sochi,Downhill,DNS1,
12-02-2012,Soldeu-Grandvalira,Giant Slalom,13,15.71
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1,
29-01-2012,St. Moritz,Super Combined,34,52.10
27-01-2012,St. Moritz,Super Combined,12,27.12
22-01-2012,Kranjska Gora,Slalom,DNF1,
21-01-2012,Kranjska Gora,Giant Slalom,2,3.96
15-01-2012,Cortina d'Ampezzo,Super G,30,41.71
14-01-2012,Cortina d'Ampezzo,Downhill,43,54.96
08-01-2012,Bad Kleinkirchheim,Super G,32,33.23
03-01-2012,Zagreb,Slalom,DNF1,
29-12-2011,Lienz,Slalom,DNQ1,
28-12-2011,Lienz,Giant Slalom,2,1.28
20-12-2011,Flachau,Slalom,28,24.23
18-12-2011,Courchevel,Slalom,DNF1,
27-11-2011,Aspen,Slalom,DNQ1,
26-11-2011,Aspen,Giant Slalom,DNF1,
22-10-2011,Soelden,Giant Slalom,DNF2,
12-03-2011,Spindleruv Mlyn,Slalom,DNQ1,
11-03-2011,Spindleruv Mlyn,Giant Slalom,5,9.78
27-02-2011,Are,Super G,40,45.59
26-02-2011,Are,Downhill,34,58.90
25-02-2011,Are,Super Combined,22,39.12
06-02-2011,Arber-Zwiesel,Giant Slalom,2,4.76
23-01-2011,Cortina d Ampezzo,Super G,20,32.71
21-01-2011,Cortina d Ampezzo,Super G,DNF1,
04-01-2011,Zagreb,Slalom,DNF1,
29-12-2010,Semmering,Slalom,DNQ1,
28-12-2010,Semmering,Giant Slalom,DNF1,
21-12-2010,Courchevel,Slalom,DNF1,
18-12-2010,Val d'Isere,Downhill,45,48.70
12-12-2010,St. Moritz,Giant Slalom,14,12.91
28-11-2010,Aspen,Slalom,DNQ1,
27-11-2010,Aspen,Giant Slalom,5,2.95
13-11-2010,Levi,Slalom,DNQ1,
23-10-2010,Soelden,Giant Slalom,11,12.12
11-03-2010,Garmisch Partenkirchen,Giant Slalom,16,14.00
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNQ1,
22-01-2010,Cortina d'Ampezzo,Super G,43,50.83
16-01-2010,Maribor,Giant Slalom,DNF2,
10-01-2010,Haus im Ennstal,Super G,40,49.77
28-12-2009,Lienz,Giant Slalom,4,0.77
20-12-2009,Val d'Isere,Super G,50,62.43
13-12-2009,Are,Slalom,DNF1,
12-12-2009,Are,Giant Slalom,4,6.82
29-11-2009,Aspen,Slalom,DNF1,
28-11-2009,Aspen,Giant Slalom,3,7.67
24-10-2009,Soelden,Giant Slalom,21,17.73
01-02-2009,Garmisch Partenkirchen,Super G,34,28.90
26-01-2008,Ofterschwang,Giant Slalom,DNF1,
28-12-2007,Lienz,Giant Slalom,DNQ1,
