datum,kraj,disciplina,mesto,zaostanek
27-02-2016,Hinterstoder,Super G,26,28.11
20-02-2016,Chamonix,Downhill,37,26.08
19-02-2016,Chamonix,Alpine combined,DNF1,
07-02-2016,Jeongseon,Super G,34,38.98
06-02-2016,Jeongseon,Downhill,25,20.71
22-01-2016,Kitzbuehel,Alpine combined,DNF1,
22-01-2016,Kitzbuehel,Super G,DNF1,
19-12-2015,Val Gardena / Groeden,Downhill,53,48.67
18-12-2015,Val Gardena / Groeden,Super G,53,41.67
07-03-2015,Kvitfjell,Downhill,55,41.83
21-02-2015,Saalbach,Downhill,DNF1,
28-12-2014,Santa Caterina,Downhill,48,39.36
19-12-2014,Val Gardena / Groeden,Downhill,50,57.81
