datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,DNF1,
13-03-2016,Kvitfjell,Super G,21,19.22
12-03-2016,Kvitfjell,Downhill,21,19.82
27-02-2016,Hinterstoder,Super G,13,17.66
20-02-2016,Chamonix,Downhill,15,15.63
19-02-2016,Chamonix,Alpine combined,30,36.50
07-02-2016,Jeongseon,Super G,13,20.81
06-02-2016,Jeongseon,Downhill,31,24.78
30-01-2016,Garmisch Partenkirchen,Downhill,25,16.05
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,DNF2,
22-01-2016,Kitzbuehel,Super G,7,12.79
16-01-2016,Wengen,Downhill,31,42.05
15-01-2016,Wengen,Alpine combined,18,19.12
29-12-2015,Santa Caterina,Downhill,21,28.43
19-12-2015,Val Gardena / Groeden,Downhill,22,19.16
18-12-2015,Val Gardena / Groeden,Super G,26,23.53
06-12-2015,Beaver Creek,Giant Slalom,DNF1,
05-12-2015,Beaver Creek,Super G,4,8.07
04-12-2015,Beaver Creek,Downhill,40,36.64
29-11-2015,Lake Louise,Super G,15,17.78
28-11-2015,Lake Louise,Downhill,48,37.98
25-10-2015,Soelden,Giant Slalom,DNF1,
14-03-2015,Kranjska Gora,Giant Slalom,DNQ1,
08-03-2015,Kvitfjell,Super G,19,20.73
07-03-2015,Kvitfjell,Downhill,21,12.69
01-03-2015,Garmisch Partenkirchen,Giant Slalom,DNQ1,
28-02-2015,Garmisch Partenkirchen,Downhill,15,12.00
22-02-2015,Saalbach,Super G,24,23.48
21-02-2015,Saalbach,Downhill,38,39.04
24-01-2015,Kitzbuehel,Downhill,29,23.64
23-01-2015,Kitzbuehel,Alpine combined,20,32.31
23-01-2015,Kitzbuehel,Super G,33,30.24
18-01-2015,Wengen,Downhill,36,32.98
10-01-2015,Adelboden,Giant Slalom,DNQ1,
28-12-2014,Santa Caterina,Downhill,40,29.08
21-12-2014,Alta Badia,Giant Slalom,DNQ1,
20-12-2014,Val Gardena / Groeden,Super G,23,18.98
12-12-2014,Are,Giant Slalom,DNF1,
07-12-2014,Beaver Creek,Giant Slalom,DNQ1,
06-12-2014,Beaver Creek,Super G,36,43.33
05-12-2014,Beaver Creek,Downhill,54,49.17
30-11-2014,Lake Louise,Super G,44,29.22
29-11-2014,Lake Louise,Downhill,53,31.42
26-10-2014,Soelden,Giant Slalom,DNQ1,
02-03-2014,Kvitfjell,Super G,22,18.50
01-03-2014,Kvitfjell,Downhill,51,37.18
28-02-2014,Kvitfjell,Downhill,40,27.73
18-01-2014,Wengen,Downhill,46,29.87
17-01-2014,Wengen,Super Combined,DNF1,
29-12-2013,Bormio,Downhill,61,51.16
22-12-2013,Alta Badia,Giant Slalom,DNQ1,
21-12-2013,Val Gardena / Groeden,Downhill,54,51.44
20-12-2013,Val Gardena / Groeden,Super G,46,45.04
14-12-2013,Val d'Isere,Giant Slalom,DNQ1,
07-12-2013,Beaver Creek,Super G,DNF1,
06-12-2013,Beaver Creek,Downhill,57,55.59
01-12-2013,Lake Louise,Super G,56,38.90
30-11-2013,Lake Louise,Downhill,53,51.11
24-11-2012,Lake Louise,Downhill,DNF1,
28-10-2012,Soelden,Giant Slalom,DNQ1,
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1,
26-02-2012,Crans Montana,Giant Slalom,DNQ1,
25-02-2012,Crans Montana,Super G,33,41.22
24-02-2012,Crans Montana,Super G,25,24.02
18-02-2012,Bansko,Giant Slalom,DNF1,
12-02-2012,Sochi,Super Combined,15,25.69
11-02-2012,Sochi,Downhill,18,16.66
05-02-2012,Chamonix,Super Combined,DNF2,
04-02-2012,Chamonix,Downhill,46,36.47
03-02-2012,Chamonix,Downhill,45,25.27
28-01-2012,Garmisch-Partenkirchen,Downhill,42,32.91
22-01-2012,Kitzbuehel,Slalom,DNQ1,
22-01-2012,Kitzbuehel,Super Combined,DNS2,
22-01-2012,Kitzbuehel,Slalom,DNS2,
21-01-2012,Kitzbuehel,Downhill,36,28.13
07-01-2012,Adelboden,Giant Slalom,22,19.38
29-12-2011,Bormio,Downhill,DNF1,
18-12-2011,Alta Badia,Giant Slalom,DNQ1,
16-12-2011,Val Gardena-Groeden,Super G,53,32.25
06-12-2011,Beaver Creek,Giant Slalom,24,16.15
04-12-2011,Beaver Creek,Giant Slalom,DNQ1,
03-12-2011,Beaver Creek,Super G,53,49.56
02-12-2011,Beaver Creek,Downhill,30,29.08
26-11-2011,Lake Louise,Downhill,53,33.97
05-03-2011,Kranjska Gora,Giant Slalom,DNF1,
06-02-2011,Hinterstoder,Giant Slalom,DNQ1,
05-02-2011,Hinterstoder,Super G,29,37.95
18-12-2010,Val Gardena-Groeden,Downhill,46,36.20
17-12-2010,Val Gardena-Groeden,Super G,DNF1,
11-12-2010,Val d'Isere,Giant Slalom,DNQ1,
10-03-2010,Garmisch Partenkirchen,Downhill,22,35.44
07-03-2010,Kvitfjell,Super G,39,32.97
06-03-2010,Kvitfjell,Downhill,45,36.12
16-01-2010,Wengen,Downhill,37,44.22
15-01-2010,Wengen,Super Combined,DNF2,
10-01-2010,Adelboden,Slalom,DNF1,
29-12-2009,Bormio,Downhill,31,34.56
