datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Kvitfjell,Super G,27,20.97
05-03-2016,Kranjska Gora,Giant Slalom,DNQ1,
04-03-2016,Kranjska Gora,Giant Slalom,DSQ1,
27-02-2016,Hinterstoder,Super G,39,37.37
20-02-2016,Chamonix,Downhill,54,44.77
19-02-2016,Chamonix,Alpine combined,DSQ1,
07-02-2016,Jeongseon,Super G,29,32.97
06-02-2016,Jeongseon,Downhill,45,38.96
22-01-2016,Kitzbuehel,Alpine combined,DNF1,
22-01-2016,Kitzbuehel,Super G,DNF1,
15-01-2016,Wengen,Alpine combined,20,22.77
18-12-2015,Val Gardena / Groeden,Super G,41,30.39
06-12-2015,Beaver Creek,Giant Slalom,DNQ1,
05-12-2015,Beaver Creek,Super G,18,15.34
29-11-2015,Lake Louise,Super G,40,32.17
22-02-2015,Saalbach,Super G,35,31.50
23-01-2015,Kitzbuehel,Alpine combined,DNF1,
23-01-2015,Kitzbuehel,Super G,DNF1,
16-01-2015,Wengen,Alpine combined,22,33.12
19-12-2014,Val Gardena / Groeden,Downhill,52,63.96
06-12-2014,Beaver Creek,Super G,DNF1,
05-12-2014,Beaver Creek,Downhill,DNF1,
29-11-2014,Lake Louise,Downhill,60,43.44
02-03-2014,Kvitfjell,Super G,45,29.53
01-03-2014,Kvitfjell,Downhill,35,27.51
28-02-2014,Kvitfjell,Downhill,31,22.93
26-01-2014,Kitzbuehel,Super G,55,23.12
26-01-2014,Kitzbuehel,Super Combined,29,44.44
25-01-2014,Kitzbuehel,Downhill,51,69.73
18-01-2014,Wengen,Downhill,30,22.33
17-01-2014,Wengen,Super Combined,33,37.87
10-03-2013,Kranjska Gora,Slalom,DNF1,
09-03-2013,Kranjska Gora,Giant Slalom,DNF1,
