datum,kraj,disciplina,mesto
19-03-2015,Meribel,Super G,5
08-03-2015,Kvitfjell,Super G,12
07-03-2015,Kvitfjell,Downhill,46
28-02-2015,Garmisch Partenkirchen,Downhill,30
22-02-2015,Saalbach,Super G,18
21-02-2015,Saalbach,Downhill,DNF1
24-01-2015,Kitzbuehel,Downhill,34
23-01-2015,Kitzbuehel,Alpine combined,10
23-01-2015,Kitzbuehel,Super G,13
18-01-2015,Wengen,Downhill,12
16-01-2015,Wengen,Alpine combined,7
28-12-2014,Santa Caterina,Downhill,19
21-12-2014,Alta Badia,Giant Slalom,DNQ1
19-12-2014,Val Gardena / Groeden,Downhill,49
06-12-2014,Beaver Creek,Super G,DNF1
05-12-2014,Beaver Creek,Downhill,42
30-11-2014,Lake Louise,Super G,DNF1
29-11-2014,Lake Louise,Downhill,39
28-02-2014,Kvitfjell,Downhill,42
02-02-2014,St. Moritz,Giant Slalom,DNQ1
26-01-2014,Kitzbuehel,Super G,38
26-01-2014,Kitzbuehel,Super Combined,5
25-01-2014,Kitzbuehel,Downhill,DNF1
18-01-2014,Wengen,Downhill,53
17-01-2014,Wengen,Super Combined,12
08-12-2013,Beaver Creek,Giant Slalom,DNQ1
07-12-2013,Beaver Creek,Super G,42
01-12-2013,Lake Louise,Super G,47
23-10-2011,Soelden,Giant Slalom,DNF1
06-02-2011,Hinterstoder,Giant Slalom,DNF1
05-02-2011,Hinterstoder,Super G,47
31-01-2010,Kranjska Gora,Slalom,DNF1
17-01-2010,Wengen,Slalom,DNF1
10-01-2010,Adelboden,Slalom,DNF1
01-03-2009,Kranjska Gora,Slalom,DNQ1
11-01-2009,Adelboden,Slalom,DNF1
09-03-2008,Kranjska Gora,Slalom,DNF1
