datum,kraj,disciplina,mesto
19-03-2015,Meribel,Super G,1
14-03-2015,Kranjska Gora,Giant Slalom,DNF1
08-03-2015,Kvitfjell,Super G,3
07-03-2015,Kvitfjell,Downhill,DNS1
01-03-2015,Garmisch Partenkirchen,Giant Slalom,18
22-02-2015,Saalbach,Super G,28
23-01-2015,Kitzbuehel,Super G,19
10-01-2015,Adelboden,Giant Slalom,22
21-12-2014,Alta Badia,Giant Slalom,DNF1
20-12-2014,Val Gardena / Groeden,Super G,12
12-12-2014,Are,Giant Slalom,DNQ1
07-12-2014,Beaver Creek,Giant Slalom,21
06-12-2014,Beaver Creek,Super G,12
30-11-2014,Lake Louise,Super G,13
29-11-2014,Lake Louise,Downhill,36
26-10-2014,Soelden,Giant Slalom,DNQ1
08-03-2014,Kranjska Gora,Giant Slalom,DNF1
01-03-2014,Kvitfjell,Downhill,59
28-02-2014,Kvitfjell,Downhill,61
02-02-2014,St. Moritz,Giant Slalom,DNF1
26-01-2014,Kitzbuehel,Super G,40
11-01-2014,Adelboden,Giant Slalom,DNQ1
08-12-2013,Beaver Creek,Giant Slalom,DNQ1
07-12-2013,Beaver Creek,Super G,39
06-12-2013,Beaver Creek,Downhill,DNF1
01-12-2013,Lake Louise,Super G,58
27-10-2013,Soelden,Giant Slalom,DNQ1
12-01-2013,Adelboden,Giant Slalom,DNF1
16-12-2012,Alta Badia,Giant Slalom,DNQ1
15-12-2012,Val Gardena-Groeden,Downhill,53
14-12-2012,Val Gardena-Groeden,Super G,56
02-12-2012,Beaver Creek,Giant Slalom,DNF1
01-12-2012,Beaver Creek,Super G,DNF1
25-11-2012,Lake Louise,Super G,28
24-11-2012,Lake Louise,Downhill,DNF1
28-10-2012,Soelden,Giant Slalom,22
04-03-2012,Kvitfjell,Super G,52
03-03-2012,Kvitfjell,Downhill,45
02-03-2012,Kvitfjell,Super G,41
26-02-2012,Crans Montana,Giant Slalom,DNQ1
25-02-2012,Crans Montana,Super G,DNF1
24-02-2012,Crans Montana,Super G,35
07-01-2012,Adelboden,Giant Slalom,DNQ1
06-12-2011,Beaver Creek,Giant Slalom,DNQ1
04-12-2011,Beaver Creek,Giant Slalom,DNF1
03-12-2011,Beaver Creek,Super G,51
27-11-2011,Lake Louise,Super G,DNF1
26-11-2011,Lake Louise,Downhill,63
23-10-2011,Soelden,Giant Slalom,DNQ1
13-03-2011,Kvitfjell,Super G,43
12-03-2011,Kvitfjell,Downhill,47
11-03-2011,Kvitfjell,Downhill,46
05-02-2011,Hinterstoder,Super G,DNF1
21-01-2011,Kitzbuehel,Super G,36
14-01-2011,Wengen,Super Combined,28
05-12-2010,Beaver Creek,Giant Slalom,DNF1
04-12-2010,Beaver Creek,Super G,39
28-11-2010,Lake Louise,Super G,56
27-11-2010,Lake Louise,Downhill,60
