datum,kraj,disciplina,mesto,zaostanek
19-03-2016,St. Moritz,Slalom,20,38.09
06-03-2016,Jasna,Slalom,11,27.40
15-02-2016,Crans Montana,Slalom,DNQ1,
15-01-2016,Flachau,Slalom,16,18.33
12-01-2016,Flachau,Slalom,13,21.48
05-01-2016,Santa Caterina Valfurva,Slalom,DNF1,
29-12-2015,Lienz,Slalom,DNF2,
13-12-2015,Are,Slalom,23,26.45
29-11-2015,"Aspen, CO",Slalom,DNF2,
28-11-2015,"Aspen, CO",Slalom,16,42.13
21-03-2015,Meribel,Slalom,12,11.79
14-03-2015,Are,Slalom,19,25.62
22-02-2015,Maribor,Slalom,16,15.69
13-01-2015,Flachau,Slalom,DNF2,
04-01-2015,Zagreb,Slalom,8,28.51
29-12-2014,Kuehtai in Tirol,Slalom,DNF2,
13-12-2014,Are,Slalom,6,5.28
30-11-2014,Aspen,Slalom,13,16.61
15-11-2014,Levi,Slalom,20,17.70
15-03-2014,Lenzerheide,Slalom,9,15.33
08-03-2014,Are,Slalom,16,27.90
02-02-2014,Kranjska Gora,Slalom,8,4.28
14-01-2014,Flachau,Slalom,17,16.17
05-01-2014,Bormio,Slalom,DNF2,
29-12-2013,Lienz,Slalom,7,7.94
17-12-2013,Courchevel,Slalom,DNQ1,
16-11-2013,Levi,Slalom,27,20.64
10-03-2013,Ofterschwang,Slalom,17,16.70
27-01-2013,Maribor,Slalom,18,17.80
15-01-2013,Flachau,Slalom,DNQ1,
04-01-2013,Zagreb,Slalom,DNF1,
29-12-2012,Semmering,Slalom,13,16.70
20-12-2012,Are,Slalom,19,20.48
19-12-2012,Are,Giant Slalom,DNF1,
25-11-2012,"Aspen, CO",Slalom,DNF1,
10-11-2012,Levi,Slalom,16,13.89
10-03-2012,Are,Slalom,DNF1,
04-03-2012,Ofterschwang,Slalom,DNQ1,
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1,
22-01-2012,Kranjska Gora,Slalom,19,29.46
03-01-2012,Zagreb,Slalom,DNQ1,
29-12-2011,Lienz,Slalom,DNF1,
20-12-2011,Flachau,Slalom,DNF1,
18-12-2011,Courchevel,Slalom,DNQ1,
27-11-2011,Aspen,Slalom,21,27.88
12-03-2011,Spindleruv Mlyn,Slalom,27,22.61
04-02-2011,Arber-Zwiesel,Slalom,DNQ1,
11-01-2011,Flachau,Slalom,DNF1,
04-01-2011,Zagreb,Slalom,DNF1,
29-12-2010,Semmering,Slalom,25,23.91
21-12-2010,Courchevel,Slalom,DNF1,
28-11-2010,Aspen,Slalom,DNF1,
13-03-2010,Garmisch Partenkirchen,Slalom,12,16.26
17-01-2010,Maribor,Slalom,18,18.06
12-01-2010,Flachau,Slalom,DNF1,
03-01-2010,Zagreb,Slalom,DNF2,
29-12-2009,Lienz,Slalom,DNF1,
13-12-2009,Are,Slalom,10,16.85
29-11-2009,Aspen,Slalom,DNF1,
28-11-2009,Aspen,Giant Slalom,DNS1,
14-11-2009,Levi,Slalom,13,17.16
29-11-2008,Aspen,Giant Slalom,DNF1,
15-11-2008,Levi,Slalom,17,15.95
25-10-2008,Soelden,Giant Slalom,DNQ1,
14-03-2008,Bormio,Slalom,5,1.84
09-03-2008,Crans-Montana,Super Combined,DSQ2,
15-02-2008,Zagreb-Sljeme,Slalom,DNF2,
