datum,kraj,disciplina,mesto
27-01-2015,Schladming,Slalom,DNF1
25-01-2015,Kitzbuehel,Slalom,DNF1
17-01-2015,Wengen,Slalom,DNF1
11-01-2015,Adelboden,Slalom,DNQ1
06-01-2015,Zagreb,Slalom,DNF1
22-12-2014,Madonna di Campiglio,Slalom,DNF1
14-12-2014,Are,Slalom,DNQ1
16-11-2014,Levi,Slalom,16
28-01-2014,Schladming,Slalom,DNF1
24-01-2014,Kitzbuehel,Slalom,DNF1
19-01-2014,Wengen,Slalom,DNF1
12-01-2014,Adelboden,Slalom,DNF1
06-01-2014,Bormio,Slalom,DNQ1
15-12-2013,Val d'Isere,Slalom,18
17-11-2013,Levi,Slalom,DNQ1
10-03-2013,Kranjska Gora,Slalom,DNQ1
27-01-2013,Kitzbuehel,Slalom,DNF1
20-01-2013,Wengen,Slalom,DNF1
13-01-2013,Adelboden,Slalom,DNQ1
06-01-2013,Zagreb,Slalom,DNQ1
18-12-2012,Madonna di Campiglio,Slalom,DNF1
08-12-2012,Val d'Isere,Slalom,DNF1
11-11-2012,Levi,Slalom,DNQ1
08-01-2012,Adelboden,Slalom,DNF1
05-01-2012,Zagreb,Slalom,DSQ1
21-12-2011,Flachau,Slalom,15
19-12-2011,Alta Badia,Slalom,DNQ1
08-12-2011,Beaver Creek,Slalom,17
19-03-2011,Lenzerheide,Slalom,DNF1
06-03-2011,Kranjska Gora,Slalom,15
27-02-2011,Bansko,Slalom,DNF2
25-01-2011,Schladming,Slalom,DNF1
23-01-2011,Kitzbuehel,Slalom,15
16-01-2011,Wengen,Slalom,17
09-01-2011,Adelboden,Slalom,DNF1
06-01-2011,Zagreb,Slalom,DNF1
12-12-2010,Val d'Isere,Slalom,5
14-11-2010,Levi,Slalom,8
13-03-2010,Garmisch Partenkirchen,Slalom,6
31-01-2010,Kranjska Gora,Slalom,DNF1
26-01-2010,Schladming,Slalom,5
24-01-2010,Kitzbuehel,Slalom,11
17-01-2010,Wengen,Slalom,14
10-01-2010,Adelboden,Slalom,DNQ1
06-01-2010,Zagreb,Slalom,18
21-12-2009,Alta Badia,Slalom,17
15-11-2009,Levi,Slalom,24
01-03-2009,Kranjska Gora,Slalom,DNQ1
28-02-2009,Kranjska Gora,Giant Slalom,DNQ1
22-02-2009,Sestriere,Super Combined,40
21-02-2009,Sestriere,Giant Slalom,DNF1
01-02-2009,Garmisch Partenkirchen,Slalom,DNF1
27-01-2009,Schladming,Slalom,DNF1
25-01-2009,Kitzbuehel,Slalom,DNF1
18-01-2009,Wengen,Slalom,9
11-01-2009,Adelboden,Slalom,23
10-01-2009,Adelboden,Giant Slalom,DNQ1
06-01-2009,Zagreb,Slalom,DNF1
22-12-2008,Alta Badia,Slalom,DNF1
21-12-2008,Alta Badia,Giant Slalom,DNQ1
13-12-2008,Val d'Isere,Giant Slalom,DNF1
12-12-2008,Val d'Isere,Super Combined,18
07-12-2008,Beaver Creek,Giant Slalom,DNQ1
16-11-2008,Levi,Slalom,DNF2
26-10-2008,Soelden,Giant Slalom,DNQ1
12-01-2008,Wengen,Slalom,DNF1
17-12-2007,La Villa - Alta Badia,Slalom,DNF1
16-12-2007,La Villa - Alta Badia,Giant Slalom,DNQ1
09-12-2007,Bad Kleinkirchheim,Slalom,DNF1
28-10-2007,Soelden,Giant Slalom,DNQ1
21-12-2006,Hinterstoder,Giant Slalom,DNQ1
17-12-2006,Alta Badia,Giant Slalom,DNF1
02-12-2006,"Beaver Creek, CO",Giant Slalom,DNQ1
15-01-2006,Wengen,Slalom,DNQ1
13-01-2006,Wengen,Super Combined,DNF
08-01-2006,Adelboden,Slalom,DNF1
07-01-2006,Adelboden,Giant Slalom,DNF1
22-12-2005,Kranjska Gora,Slalom,DNQ1
21-12-2005,Kranjska Gora,Giant Slalom,DNF1
18-12-2005,Alta Badia,Giant Slalom,22
12-12-2005,Madonna di Campiglio,Slalom,DNF1
04-12-2005,"Beaver Creek, CO",Slalom,DNF1
23-10-2005,Soelden,Giant Slalom,DNQ1
24-10-2004,Soelden,Giant Slalom,DNQ2
15-02-2004,St. Anton,Slalom,DNQ1
08-02-2004,Adelboden,Slalom,DNQ1
07-02-2004,Adelboden,Giant Slalom,DNQ1
27-01-2004,Schladming,Slalom,21
25-01-2004,Kitzbuehel,Slalom,20
18-01-2004,Wengen,Slalom,10
11-01-2004,Chamonix,Slalom,DNQ1
21-12-2003,Alta Badia,Giant Slalom,DNQ1
15-12-2003,Madonna di Campiglio,Slalom,DNQ1
14-12-2003,Alta Badia,Giant Slalom,DNQ1
23-11-2003,"Park City, UT",Slalom,DNF1
22-11-2003,"Park City, UT",Giant Slalom,DNQ1
26-10-2003,Soelden,Giant Slalom,DNF2
08-03-2003,Shigakogen,Slalom,DNF1
02-03-2003,Yongpyong,Slalom,DNQ1
01-03-2003,Yongpyong,Giant Slalom,DNQ1
28-01-2003,Schladming,Slalom,DNQ1
26-01-2003,Kitzbuehel,Slalom,DNQ1
19-01-2003,Wengen,Slalom,10
14-01-2003,Adelboden,Giant Slalom,12
12-01-2003,Bormio,Slalom,DNF1
22-12-2002,Alta Badia,Giant Slalom,DNQ1
24-11-2002,"Park City, UT",Slalom,DNQ1
22-11-2002,"Park City, UT",Giant Slalom,DNQ1
27-10-2002,Soelden,Giant Slalom,DNQ1
