datum,kraj,disciplina,mesto,zaostanek
20-03-2016,St. Moritz,Giant Slalom,18,17.57
19-03-2016,St. Moritz,Slalom,DNF1,
07-03-2016,Jasna,Giant Slalom,9,9.83
06-03-2016,Jasna,Slalom,15,35.63
15-02-2016,Crans Montana,Slalom,22,22.36
30-01-2016,Maribor,Giant Slalom,15,12.30
17-01-2016,Flachau,Giant Slalom,DNF2,
15-01-2016,Flachau,Slalom,18,19.25
12-01-2016,Flachau,Slalom,9,13.71
05-01-2016,Santa Caterina Valfurva,Slalom,DNF1,
29-12-2015,Lienz,Slalom,8,9.69
28-12-2015,Lienz,Giant Slalom,9,14.62
20-12-2015,Courchevel,Giant Slalom,16,14.57
13-12-2015,Are,Slalom,21,24.93
12-12-2015,Are,Giant Slalom,23,23.81
29-11-2015,"Aspen, CO",Slalom,DNF2,
28-11-2015,"Aspen, CO",Slalom,18,43.64
27-11-2015,"Aspen, CO",Giant Slalom,DNF2,
24-10-2015,Soelden,Giant Slalom,9,19.70
22-03-2015,Meribel,Giant Slalom,14,25.55
14-03-2015,Are,Slalom,DNF1,
13-03-2015,Are,Giant Slalom,16,13.46
22-02-2015,Maribor,Slalom,14,14.82
21-02-2015,Maribor,Giant Slalom,9,8.14
13-01-2015,Flachau,Slalom,DNQ1,
04-01-2015,Zagreb,Slalom,15,34.56
29-12-2014,Kuehtai in Tirol,Slalom,20,24.79
28-12-2014,Kuehtai in Tirol,Giant Slalom,14,9.26
13-12-2014,Are,Slalom,24,22.92
12-12-2014,Are,Giant Slalom,DNF1,
30-11-2014,Aspen,Slalom,29,61.29
29-11-2014,Aspen,Giant Slalom,15,20.85
15-11-2014,Levi,Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,14,22.93
14-01-2014,Flachau,Slalom,DNF1,
01-12-2013,Beaver Creek,Giant Slalom,DNQ1,
17-03-2013,Lenzerheide,Giant Slalom,DNF1,
16-03-2013,Lenzerheide,Slalom,DNF1,
10-03-2013,Ofterschwang,Slalom,DNF1,
09-03-2013,Ofterschwang,Giant Slalom,11,18.17
27-01-2013,Maribor,Slalom,6,10.72
26-01-2013,Maribor,Giant Slalom,26,16.84
15-01-2013,Flachau,Slalom,19,18.36
04-01-2013,Zagreb,Slalom,19,25.82
29-12-2012,Semmering,Slalom,8,12.30
28-12-2012,Semmering,Giant Slalom,16,23.87
20-12-2012,Are,Slalom,12,14.36
19-12-2012,Are,Giant Slalom,DNF2,
16-12-2012,Courchevel,Giant Slalom,7,15.28
09-12-2012,St. Moritz,Giant Slalom,7,16.98
25-11-2012,"Aspen, CO",Slalom,DNF1,
24-11-2012,"Aspen, CO",Giant Slalom,5,13.42
10-11-2012,Levi,Slalom,19,15.13
27-10-2012,Soelden,Giant Slalom,8,16.58
