datum,kraj,disciplina,mesto
19-03-2015,Meribel,Super G,12
18-03-2015,Meribel,Downhill,2
08-03-2015,Kvitfjell,Super G,10
07-03-2015,Kvitfjell,Downhill,26
28-02-2015,Garmisch Partenkirchen,Downhill,9
22-02-2015,Saalbach,Super G,16
21-02-2015,Saalbach,Downhill,15
24-01-2015,Kitzbuehel,Downhill,34
23-01-2015,Kitzbuehel,Super G,10
18-01-2015,Wengen,Downhill,10
28-12-2014,Santa Caterina,Downhill,9
20-12-2014,Val Gardena / Groeden,Super G,9
19-12-2014,Val Gardena / Groeden,Downhill,10
06-12-2014,Beaver Creek,Super G,7
05-12-2014,Beaver Creek,Downhill,24
30-11-2014,Lake Louise,Super G,11
29-11-2014,Lake Louise,Downhill,21
13-03-2014,Lenzerheide,Super G,14
12-03-2014,Lenzerheide,Downhill,DNF1
02-03-2014,Kvitfjell,Super G,16
01-03-2014,Kvitfjell,Downhill,16
28-02-2014,Kvitfjell,Downhill,10
26-01-2014,Kitzbuehel,Super G,1
25-01-2014,Kitzbuehel,Downhill,10
18-01-2014,Wengen,Downhill,10
29-12-2013,Bormio,Downhill,7
22-12-2013,Alta Badia,Giant Slalom,DNQ1
21-12-2013,Val Gardena / Groeden,Downhill,27
20-12-2013,Val Gardena / Groeden,Super G,12
14-12-2013,Val d'Isere,Giant Slalom,DNQ1
08-12-2013,Beaver Creek,Giant Slalom,DNQ1
07-12-2013,Beaver Creek,Super G,11
06-12-2013,Beaver Creek,Downhill,11
01-12-2013,Lake Louise,Super G,15
30-11-2013,Lake Louise,Downhill,23
27-10-2013,Soelden,Giant Slalom,14
16-03-2013,Lenzerheide,Giant Slalom,14
09-03-2013,Kranjska Gora,Giant Slalom,10
03-03-2013,Kvitfjell,Super G,14
02-03-2013,Kvitfjell,Downhill,18
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,19
23-02-2013,Garmisch-Partenkirchen,Downhill,37
26-01-2013,Kitzbuehel,Downhill,24
25-01-2013,Kitzbuehel,Super G,31
19-01-2013,Wengen,Downhill,17
12-01-2013,Adelboden,Giant Slalom,DNQ1
29-12-2012,Bormio,Downhill,20
16-12-2012,Alta Badia,Giant Slalom,DNF1
15-12-2012,Val Gardena-Groeden,Downhill,28
14-12-2012,Val Gardena-Groeden,Super G,33
09-12-2012,Val d'Isere,Giant Slalom,22
02-12-2012,Beaver Creek,Giant Slalom,DNF1
01-12-2012,Beaver Creek,Super G,16
30-11-2012,Beaver Creek,Downhill,10
25-11-2012,Lake Louise,Super G,34
24-11-2012,Lake Louise,Downhill,57
28-10-2012,Soelden,Giant Slalom,5
17-03-2012,Schladming,Giant Slalom,12
15-03-2012,Schladming,Super G,13
14-03-2012,Schladming,Downhill,4
10-03-2012,Kranjska Gora,Giant Slalom,16
04-03-2012,Kvitfjell,Super G,17
03-03-2012,Kvitfjell,Downhill,24
02-03-2012,Kvitfjell,Super G,24
26-02-2012,Crans Montana,Giant Slalom,5
25-02-2012,Crans Montana,Super G,19
24-02-2012,Crans Montana,Super G,11
18-02-2012,Bansko,Giant Slalom,11
12-02-2012,Sochi,Super Combined,DNF2
11-02-2012,Sochi,Downhill,10
05-02-2012,Chamonix,Super Combined,6
04-02-2012,Chamonix,Downhill,34
03-02-2012,Chamonix,Downhill,17
28-01-2012,Garmisch-Partenkirchen,Downhill,22
21-01-2012,Kitzbuehel,Downhill,20
14-01-2012,Wengen,Downhill,29
13-01-2012,Wengen,Super Combined,DNS2
07-01-2012,Adelboden,Giant Slalom,DNF1
29-12-2011,Bormio,Downhill,1
18-12-2011,Alta Badia,Giant Slalom,9
16-12-2011,Val Gardena-Groeden,Super G,12
06-12-2011,Beaver Creek,Giant Slalom,DNQ1
04-12-2011,Beaver Creek,Giant Slalom,24
03-12-2011,Beaver Creek,Super G,16
02-12-2011,Beaver Creek,Downhill,13
27-11-2011,Lake Louise,Super G,40
26-11-2011,Lake Louise,Downhill,48
23-10-2011,Soelden,Giant Slalom,28
12-03-2010,Garmisch Partenkirchen,Giant Slalom,DNF2
11-03-2010,Garmisch Partenkirchen,Super G,7
10-03-2010,Garmisch Partenkirchen,Downhill,13
07-03-2010,Kvitfjell,Super G,DNF1
06-03-2010,Kvitfjell,Downhill,14
30-01-2010,Kranjska Gora,Giant Slalom,DNF1
29-01-2010,Kranjska Gora,Giant Slalom,DNF1
24-01-2010,Kitzbuehel,Combined,DNS1
23-01-2010,Kitzbuehel,Downhill,8
22-01-2010,Kitzbuehel,Super G,13
16-01-2010,Wengen,Downhill,7
15-01-2010,Wengen,Super Combined,9
29-12-2009,Bormio,Downhill,2
20-12-2009,Alta Badia,Giant Slalom,22
19-12-2009,Val Gardena - Groeden,Downhill,35
18-12-2009,Val Gardena - Groeden,Super G,6
13-12-2009,Val d'Isere,Giant Slalom,DNF1
12-12-2009,Val d'Isere,Super G,12
11-12-2009,Val d'Isere,Super Combined,DNS2
06-12-2009,Beaver Creek,Giant Slalom,8
05-12-2009,Beaver Creek,Downhill,9
04-12-2009,Beaver Creek,Super Combined,2
29-11-2009,Lake Louise,Super G,9
28-11-2009,Lake Louise,Downhill,16
14-03-2009,Are,Slalom,DNF1
13-03-2009,Are,Giant Slalom,12
12-03-2009,Are,Super G,8
11-03-2009,Are,Downhill,10
07-03-2009,Kvitfjell,Downhill,11
06-03-2009,Kvitfjell,Downhill,16
28-02-2009,Kranjska Gora,Giant Slalom,21
22-02-2009,Sestriere,Super Combined,17
21-02-2009,Sestriere,Giant Slalom,DNF2
25-01-2009,Kitzbuehel,Combined,DNF2
25-01-2009,Kitzbuehel,Slalom,DNF1
24-01-2009,Kitzbuehel,Downhill,1
23-01-2009,Kitzbuehel,Super G,6
17-01-2009,Wengen,Downhill,1
16-01-2009,Wengen,Super Combined,12
10-01-2009,Adelboden,Giant Slalom,29
28-12-2008,Bormio,Downhill,12
21-12-2008,Alta Badia,Giant Slalom,14
20-12-2008,Val Gardena - Groeden,Downhill,27
19-12-2008,Val Gardena - Groeden,Super G,2
13-12-2008,Val d'Isere,Giant Slalom,22
