datum,kraj,disciplina,mesto,zaostanek
19-03-2016,St. Moritz,Slalom,12,27.70
06-03-2016,Jasna,Slalom,23,38.55
15-02-2016,Crans Montana,Slalom,18,17.92
30-01-2016,Maribor,Giant Slalom,DNF1,
17-01-2016,Flachau,Giant Slalom,DNQ1,
15-01-2016,Flachau,Slalom,21,20.82
12-01-2016,Flachau,Slalom,14,22.90
05-01-2016,Santa Caterina Valfurva,Slalom,DNQ1,
29-12-2015,Lienz,Slalom,17,18.03
28-12-2015,Lienz,Giant Slalom,DNQ1,
13-12-2015,Are,Slalom,24,27.14
12-12-2015,Are,Giant Slalom,DNQ1,
29-11-2015,"Aspen, CO",Slalom,DNF1,
28-11-2015,"Aspen, CO",Slalom,DNF1,
27-11-2015,"Aspen, CO",Giant Slalom,18,26.40
24-10-2015,Soelden,Giant Slalom,DNQ1,
21-03-2015,Meribel,Slalom,13,13.24
14-03-2015,Are,Slalom,11,21.28
22-02-2015,Maribor,Slalom,5,8.86
13-01-2015,Flachau,Slalom,DNQ1,
04-01-2015,Zagreb,Slalom,22,49.74
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1,
13-12-2014,Are,Slalom,27,42.51
30-11-2014,Aspen,Slalom,20,22.38
29-11-2014,Aspen,Giant Slalom,DNQ1,
15-11-2014,Levi,Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,DNF1,
08-03-2014,Are,Slalom,19,28.91
02-02-2014,Kranjska Gora,Slalom,22,12.32
14-01-2014,Flachau,Slalom,DNQ1,
05-01-2014,Bormio,Slalom,DNF2,
29-12-2013,Lienz,Slalom,DNF2,
17-12-2013,Courchevel,Slalom,25,23.70
15-12-2013,St. Moritz,Giant Slalom,DNQ1,
14-12-2013,St. Moritz,Super G,44,43.83
01-12-2013,Beaver Creek,Giant Slalom,DNQ1,
30-11-2013,Beaver Creek,Super G,41,66.68
16-11-2013,Levi,Slalom,DNQ1,
16-03-2013,Lenzerheide,Slalom,11,17.11
10-03-2013,Ofterschwang,Slalom,22,20.88
09-03-2013,Ofterschwang,Giant Slalom,DNQ1,
03-03-2013,Garmisch-Partenkirchen,Super G,34,33.68
01-03-2013,Garmisch-Partenkirchen,Super G,32,37.75
29-01-2013,City Event Moscow,City Event,1,0.00
27-01-2013,Maribor,Slalom,27,21.58
26-01-2013,Maribor,Giant Slalom,27,17.52
20-01-2013,Cortina d'Ampezzo,Super G,29,36.95
15-01-2013,Flachau,Slalom,14,16.19
04-01-2013,Zagreb,Slalom,DNF2,
29-12-2012,Semmering,Slalom,24,22.43
28-12-2012,Semmering,Giant Slalom,DNQ1,
20-12-2012,Are,Slalom,17,19.83
19-12-2012,Are,Giant Slalom,DNQ1,
16-12-2012,Courchevel,Giant Slalom,25,36.62
09-12-2012,St. Moritz,Giant Slalom,17,27.03
08-12-2012,St. Moritz,Super G,13,32.82
07-12-2012,St. Moritz,Super Combined,6,13.53
25-11-2012,"Aspen, CO",Slalom,6,17.37
24-11-2012,"Aspen, CO",Giant Slalom,19,25.27
10-11-2012,Levi,Slalom,DNQ1,
27-10-2012,Soelden,Giant Slalom,DNF1,
18-03-2012,Schladming,Giant Slalom,19,19.26
17-03-2012,Schladming,Slalom,19,14.23
10-03-2012,Are,Slalom,17,8.33
09-03-2012,Are,Giant Slalom,21,20.40
04-03-2012,Ofterschwang,Slalom,6,1.34
03-03-2012,Ofterschwang,Giant Slalom,DNF2,
02-03-2012,Ofterschwang,Giant Slalom,DNF2,
18-02-2012,Sochi,Downhill,DNS1,
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNF1,
11-02-2012,Soldeu-Grandvalira,Slalom,7,8.83
29-01-2012,St. Moritz,Super Combined,25,30.80
22-01-2012,Kranjska Gora,Slalom,11,20.13
21-01-2012,Kranjska Gora,Giant Slalom,11,14.21
03-01-2012,Zagreb,Slalom,12,18.50
29-12-2011,Lienz,Slalom,18,16.48
28-12-2011,Lienz,Giant Slalom,29,24.17
20-12-2011,Flachau,Slalom,15,14.60
18-12-2011,Courchevel,Slalom,8,23.83
27-11-2011,Aspen,Slalom,DNF1,
26-11-2011,Aspen,Giant Slalom,8,8.82
22-10-2011,Soelden,Giant Slalom,13,12.11
12-03-2011,Spindleruv Mlyn,Slalom,22,19.68
11-03-2011,Spindleruv Mlyn,Giant Slalom,22,23.23
06-02-2011,Arber-Zwiesel,Giant Slalom,DNQ1,
04-02-2011,Arber-Zwiesel,Slalom,DNF1,
29-12-2010,Semmering,Slalom,DNQ1,
28-12-2010,Semmering,Giant Slalom,27,20.26
21-12-2010,Courchevel,Slalom,DNQ1,
12-12-2010,St. Moritz,Giant Slalom,21,16.37
28-11-2010,Aspen,Slalom,DNQ1,
27-11-2010,Aspen,Giant Slalom,17,11.94
13-11-2010,Levi,Slalom,22,16.11
23-10-2010,Soelden,Giant Slalom,14,17.18
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNF2,
17-01-2010,Maribor,Slalom,DNQ1,
16-01-2010,Maribor,Giant Slalom,9,8.22
12-01-2010,Flachau,Slalom,DNS1,
03-01-2010,Zagreb,Slalom,DNQ1,
29-12-2009,Lienz,Slalom,21,26.06
28-12-2009,Lienz,Giant Slalom,25,18.75
15-02-2008,Zagreb-Sljeme,Slalom,DNQ2,
