datum,kraj,disciplina,mesto
28-12-2015,Lienz,Giant Slalom,DNF1
20-12-2015,Courchevel,Giant Slalom,DNQ1
13-12-2015,Are,Slalom,16
12-12-2015,Are,Giant Slalom,22
29-11-2015,"Aspen, CO",Slalom,21
28-11-2015,"Aspen, CO",Slalom,24
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1
24-10-2015,Soelden,Giant Slalom,DNQ1
14-03-2015,Are,Slalom,21
13-03-2015,Are,Giant Slalom,DNQ1
22-02-2015,Maribor,Slalom,24
21-02-2015,Maribor,Giant Slalom,25
13-01-2015,Flachau,Slalom,15
04-01-2015,Zagreb,Slalom,DNF1
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1
13-12-2014,Are,Slalom,DNQ1
30-11-2014,Aspen,Slalom,27
15-11-2014,Levi,Slalom,DNQ1
15-03-2014,Lenzerheide,Slalom,DNF2
08-03-2014,Are,Slalom,DNF2
07-03-2014,Are,Giant Slalom,DNS1
02-02-2014,Kranjska Gora,Slalom,16
14-01-2014,Flachau,Slalom,18
05-01-2014,Bormio,Slalom,21
29-12-2013,Lienz,Slalom,DNF1
17-12-2013,Courchevel,Slalom,11
16-11-2013,Levi,Slalom,17
16-03-2013,Lenzerheide,Slalom,13
10-03-2013,Ofterschwang,Slalom,8
27-01-2013,Maribor,Slalom,9
26-01-2013,Maribor,Giant Slalom,DNQ1
15-01-2013,Flachau,Slalom,13
04-01-2013,Zagreb,Slalom,13
29-12-2012,Semmering,Slalom,25
28-12-2012,Semmering,Giant Slalom,DNQ1
20-12-2012,Are,Slalom,6
25-11-2012,"Aspen, CO",Slalom,27
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1
10-11-2012,Levi,Slalom,22
27-10-2012,Soelden,Giant Slalom,DNQ1
10-03-2012,Are,Slalom,11
09-03-2012,Are,Giant Slalom,DNQ1
22-01-2012,Kranjska Gora,Slalom,DNF1
03-01-2012,Zagreb,Slalom,DNQ1
29-12-2011,Lienz,Slalom,DNQ1
20-12-2011,Flachau,Slalom,DNQ1
18-12-2011,Courchevel,Slalom,DNQ1
11-01-2011,Flachau,Slalom,24
13-11-2010,Levi,Slalom,DNQ1
