datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,15
17-03-2016,St. Moritz,Super G,14
16-03-2016,St. Moritz,Downhill,18
12-03-2016,Lenzerheide,Super G,17
07-03-2016,Jasna,Giant Slalom,DNF1
27-02-2016,Soldeu- El Tarter,Super G,19
21-02-2016,La Thuile,Super G,DNF1
20-02-2016,La Thuile,Downhill,1
19-02-2016,La Thuile,Downhill,3
07-02-2016,Garmisch Partenkirchen,Super G,8
06-02-2016,Garmisch Partenkirchen,Downhill,8
30-01-2016,Maribor,Giant Slalom,8
24-01-2016,Cortina d'Ampezzo,Super G,15
23-01-2016,Cortina d'Ampezzo,Downhill,23
17-01-2016,Flachau,Giant Slalom,6
10-01-2016,Altenmarkt-Zauchensee,Super G,4
09-01-2016,Altenmarkt-Zauchensee,Downhill,14
28-12-2015,Lienz,Giant Slalom,18
20-12-2015,Courchevel,Giant Slalom,DNF2
12-12-2015,Are,Giant Slalom,DNF1
06-12-2015,Lake Louise,Super G,9
05-12-2015,Lake Louise,Downhill,4
04-12-2015,Lake Louise,Downhill,8
27-11-2015,"Aspen, CO",Giant Slalom,12
24-10-2015,Soelden,Giant Slalom,11
22-03-2015,Meribel,Giant Slalom,6
19-03-2015,Meribel,Super G,11
18-03-2015,Meribel,Downhill,17
13-03-2015,Are,Giant Slalom,2
08-03-2015,Garmisch Partenkirchen,Super G,16
07-03-2015,Garmisch Partenkirchen,Downhill,6
02-03-2015,Bansko,Super G,9
21-02-2015,Maribor,Giant Slalom,4
25-01-2015,St.Moritz,Super G,DSQ1
24-01-2015,St.Moritz,Downhill,20
19-01-2015,Cortina d'Ampezzo,Super G,8
18-01-2015,Cortina d'Ampezzo,Downhill,20
16-01-2015,Cortina d'Ampezzo,Downhill,15
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNF2
21-12-2014,Val d Isere,Super G,5
20-12-2014,Val d Isere,Downhill,30
12-12-2014,Are,Giant Slalom,5
07-12-2014,Lake Louise,Super G,36
06-12-2014,Lake Louise,Downhill,DNS1
05-12-2014,Lake Louise,Downhill,40
29-11-2014,Aspen,Giant Slalom,DNF1
25-10-2014,Soelden,Giant Slalom,9
16-03-2014,Lenzerheide,Giant Slalom,4
13-03-2014,Lenzerheide,Super G,6
07-03-2014,Are,Giant Slalom,7
06-03-2014,Are,Giant Slalom,27
26-01-2014,Cortina d Ampezzo,Super G,7
25-01-2014,Cortina d Ampezzo,Downhill,26
24-01-2014,Cortina d Ampezzo,Downhill,26
23-01-2014,Cortina d Ampezzo,Super G,26
11-01-2014,Altenmarkt / Zauchensee,Downhill,37
28-12-2013,Lienz,Giant Slalom,5
22-12-2013,Val d'Isere,Giant Slalom,14
21-12-2013,Val d'Isere,Downhill,22
15-12-2013,St. Moritz,Giant Slalom,7
14-12-2013,St. Moritz,Super G,24
08-12-2013,Lake Louise,Super G,27
07-12-2013,Lake Louise,Downhill,27
06-12-2013,Lake Louise,Downhill,28
01-12-2013,Beaver Creek,Giant Slalom,DNF2
30-11-2013,Beaver Creek,Super G,5
29-11-2013,Beaver Creek,Downhill,25
26-10-2013,Soelden,Giant Slalom,14
17-03-2013,Lenzerheide,Giant Slalom,6
09-03-2013,Ofterschwang,Giant Slalom,7
03-03-2013,Garmisch-Partenkirchen,Super G,18
02-03-2013,Garmisch-Partenkirchen,Downhill,12
01-03-2013,Garmisch-Partenkirchen,Super G,28
23-02-2013,Meribel,Downhill,33
26-01-2013,Maribor,Giant Slalom,14
20-01-2013,Cortina d'Ampezzo,Super G,21
19-01-2013,Cortina d'Ampezzo,Downhill,24
13-01-2013,St. Anton,Super G,20
12-01-2013,St. Anton,Downhill,32
28-12-2012,Semmering,Giant Slalom,12
19-12-2012,Are,Giant Slalom,DNF1
16-12-2012,Courchevel,Giant Slalom,23
14-12-2012,Val d'Isere,Downhill,26
09-12-2012,St. Moritz,Giant Slalom,26
08-12-2012,St. Moritz,Super G,38
07-12-2012,St. Moritz,Super Combined,DNS2
24-11-2012,"Aspen, CO",Giant Slalom,16
27-10-2012,Soelden,Giant Slalom,DNF2
09-03-2012,Are,Giant Slalom,11
03-03-2012,Ofterschwang,Giant Slalom,DNF1
02-03-2012,Ofterschwang,Giant Slalom,6
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1
21-01-2012,Kranjska Gora,Giant Slalom,DNQ1
31-01-2010,St. Moritz,Super G,DNF1
30-01-2010,St. Moritz,Downhill,15
29-01-2010,St. Moritz,Super Combined,DNS2
23-01-2010,Cortina d'Ampezzo,Downhill,23
22-01-2010,Cortina d'Ampezzo,Super G,11
16-01-2010,Maribor,Giant Slalom,DNF1
10-01-2010,Haus im Ennstal,Super G,3
09-01-2010,Haus im Ennstal,Downhill,24
08-01-2010,Haus im Ennstal,Downhill,4
28-12-2009,Lienz,Giant Slalom,DNF2
20-12-2009,Val d'Isere,Super G,5
12-12-2009,Are,Giant Slalom,DNF1
06-12-2009,Lake Louise,Super G,25
05-12-2009,Lake Louise,Downhill,46
04-12-2009,Lake Louise,Downhill,35
28-11-2009,Aspen,Giant Slalom,DNF2
24-10-2009,Soelden,Giant Slalom,DNF1
14-03-2009,Are,Giant Slalom,DNF2
12-03-2009,Are,Super G,2
11-03-2009,Are,Downhill,4
06-03-2009,Ofterschwang,Giant Slalom,18
01-03-2009,Bansko,Super G,7
28-02-2009,Bansko,Downhill,5
27-02-2009,Bansko,Downhill,3
22-02-2009,Tarvisio,Super G,5
21-02-2009,Tarvisio,Downhill,20
01-02-2009,Garmisch Partenkirchen,Super G,4
26-01-2009,Cortina d'Ampezzo,Super G,5
25-01-2009,Cortina d'Ampezzo,Giant Slalom,DNQ1
24-01-2009,Cortina d'Ampezzo,Downhill,16
18-01-2009,Altenmarkt-Zauchensee,Downhill,16
17-01-2009,Altenmarkt-Zauchensee,Super Combined,30
10-01-2009,Maribor,Giant Slalom,DNF1
28-12-2008,Semmering,Giant Slalom,23
20-12-2008,St. Moritz,Super G,3
13-12-2008,La Molina,Giant Slalom,DNF1
07-12-2008,Lake Louise,Super G,1
05-12-2008,Lake Louise,Downhill,2
25-10-2008,Soelden,Giant Slalom,DNQ1
08-03-2008,Crans-Montana,Downhill,3
24-02-2008,"Whistler, BC",Super Combined,DNF1
22-02-2008,"Whistler, BC",Downhill,8
10-02-2008,Sestriere,Super G,20
09-02-2008,Sestriere,Downhill,3
03-02-2008,St. Moritz,Super G,40
02-02-2008,St. Moritz,Downhill,19
21-01-2008,Cortina d'Ampezzo,Super G,25
20-01-2008,Cortina d'Ampezzo,Super G,DNF1
24-02-2007,Sierra Nevada,Giant Slalom,DNF2
28-01-2007,San Sicario,Super G,13
27-01-2007,San Sicario,Downhill,DNF1
26-01-2007,San Sicario,Super G,9
21-01-2007,Cortina d'Ampezzo,Giant Slalom,DNF1
20-01-2007,Cortina d'Ampezzo,Downhill,9
19-01-2007,Cortina d'Ampezzo,Super G,8
13-01-2007,Altenmarkt-Zauchensee,Downhill,34
19-12-2006,Val d'Isere,Downhill,DNF1
16-12-2006,Reiteralm,Super G,9
15-12-2006,Reiteralm,Super Combined,DNF2
03-12-2006,"Lake Louise, AB",Super G,15
02-12-2006,"Lake Louise, AB",Downhill,15
01-12-2006,"Lake Louise, AB",Downhill,3
25-11-2006,"Aspen, CO",Giant Slalom,24
18-03-2006,Are,Giant Slalom,11
15-03-2006,Are,Downhill,5
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,10
04-03-2006,Hafjell/Kvitfjell,Super Combined,DNF
03-03-2006,Hafjell/Kvitfjell,Super G,DNF1
04-02-2006,Ofterschwang,Giant Slalom,15
03-02-2006,Ofterschwang,Giant Slalom,6
29-01-2006,Cortina d'Ampezzo,Giant Slalom,DNF1
28-01-2006,Cortina d'Ampezzo,Downhill,7
27-01-2006,Cortina d'Ampezzo,Super G,DSQ1
22-01-2006,St. Moritz,Super Combined,DNF
21-01-2006,St. Moritz,Downhill,14
20-01-2006,St. Moritz,Super G,DNF1
15-01-2006,Bad Kleinkirchheim,Super G,23
14-01-2006,Bad Kleinkirchheim,Downhill,DSQ1
13-01-2006,Bad Kleinkirchheim,Downhill,28
28-12-2005,Lienz,Giant Slalom,DNF1
21-12-2005,Spindleruv Mlyn,Giant Slalom,13
18-12-2005,Val d'Isere,Super G,17
17-12-2005,Val d'Isere,Downhill,17
10-12-2005,"Aspen, CO",Giant Slalom,27
09-12-2005,"Aspen, CO",Super G,DNF1
04-12-2005,"Lake Louise, AB",Super G,28
03-12-2005,"Lake Louise, AB",Downhill,15
02-12-2005,"Lake Louise, AB",Downhill,14
22-10-2005,Soelden,Giant Slalom,DNF1
13-03-2005,Lenzerheide,Giant Slalom,13
11-03-2005,Lenzerheide,Super G,7
10-03-2005,Lenzerheide,Downhill,DNF1
25-02-2005,San Sicario,Super G,31
20-02-2005,Are,Giant Slalom,DNQ2
19-02-2005,Are,Super G,6
22-01-2005,Maribor,Giant Slalom,14
14-01-2005,Cortina d'Ampezzo,Super G,DNF1
12-01-2005,Cortina d'Ampezzo,Super G,12
08-01-2005,Santa Caterina,Giant Slalom,11
07-01-2005,Santa Caterina,Downhill,45
06-01-2005,Santa Caterina,Downhill,23
28-12-2004,Semmering,Giant Slalom,DNQ1
