datum,kraj,disciplina,mesto,zaostanek
27-02-2016,Hinterstoder,Super G,DNF1,
20-02-2016,Chamonix,Downhill,4,8.45
07-02-2016,Jeongseon,Super G,DNF1,
06-02-2016,Jeongseon,Downhill,10,9.86
30-01-2016,Garmisch Partenkirchen,Downhill,22,14.64
23-01-2016,Kitzbuehel,Downhill,21,25.70
22-01-2016,Kitzbuehel,Super G,DNF1,
16-01-2016,Wengen,Downhill,22,34.24
29-12-2015,Santa Caterina,Downhill,9,19.34
19-12-2015,Val Gardena / Groeden,Downhill,2,4.68
18-12-2015,Val Gardena / Groeden,Super G,15,18.63
05-12-2015,Beaver Creek,Super G,DNF1,
04-12-2015,Beaver Creek,Downhill,3,8.55
29-11-2015,Lake Louise,Super G,32,26.97
28-11-2015,Lake Louise,Downhill,4,6.17
18-03-2015,Meribel,Downhill,5,8.68
08-03-2015,Kvitfjell,Super G,21,21.28
07-03-2015,Kvitfjell,Downhill,4,5.58
28-02-2015,Garmisch Partenkirchen,Downhill,34,18.60
22-02-2015,Saalbach,Super G,DNF1,
21-02-2015,Saalbach,Downhill,11,12.52
24-01-2015,Kitzbuehel,Downhill,3,4.51
23-01-2015,Kitzbuehel,Super G,28,24.84
18-01-2015,Wengen,Downhill,6,10.41
28-12-2014,Santa Caterina,Downhill,DNF1,
20-12-2014,Val Gardena / Groeden,Super G,16,14.96
19-12-2014,Val Gardena / Groeden,Downhill,4,13.59
06-12-2014,Beaver Creek,Super G,DNF1,
05-12-2014,Beaver Creek,Downhill,6,9.73
30-11-2014,Lake Louise,Super G,DNF1,
29-11-2014,Lake Louise,Downhill,2,1.59
12-03-2014,Lenzerheide,Downhill,DNF1,
02-03-2014,Kvitfjell,Super G,50,34.93
01-03-2014,Kvitfjell,Downhill,36,27.84
28-02-2014,Kvitfjell,Downhill,6,7.92
26-01-2014,Kitzbuehel,Super G,48,20.44
25-01-2014,Kitzbuehel,Downhill,18,19.54
18-01-2014,Wengen,Downhill,29,21.59
29-12-2013,Bormio,Downhill,7,13.57
21-12-2013,Val Gardena / Groeden,Downhill,35,32.30
20-12-2013,Val Gardena / Groeden,Super G,DNF1,
06-12-2013,Beaver Creek,Downhill,50,49.42
30-11-2013,Lake Louise,Downhill,47,42.76
26-01-2013,Kitzbuehel,Downhill,22,25.40
25-01-2013,Kitzbuehel,Super G,DNF1,
19-01-2013,Wengen,Downhill,27,30.63
29-12-2012,Bormio,Downhill,19,17.56
15-12-2012,Val Gardena-Groeden,Downhill,56,42.57
14-12-2012,Val Gardena-Groeden,Super G,41,35.42
01-12-2012,Beaver Creek,Super G,15,20.67
30-11-2012,Beaver Creek,Downhill,12,14.82
25-11-2012,Lake Louise,Super G,48,37.71
24-11-2012,Lake Louise,Downhill,7,15.31
03-03-2012,Kvitfjell,Downhill,18,20.88
11-02-2012,Sochi,Downhill,27,24.40
04-02-2012,Chamonix,Downhill,31,27.95
03-02-2012,Chamonix,Downhill,41,22.38
28-01-2012,Garmisch-Partenkirchen,Downhill,15,14.82
21-01-2012,Kitzbuehel,Downhill,23,17.42
14-01-2012,Wengen,Downhill,23,19.87
29-12-2011,Bormio,Downhill,21,25.66
16-12-2011,Val Gardena-Groeden,Super G,59,35.50
03-12-2011,Beaver Creek,Super G,DNF1,
02-12-2011,Beaver Creek,Downhill,11,15.24
26-11-2011,Lake Louise,Downhill,30,20.83
16-03-2011,Lenzerheide,Downhill,DNF1,
13-03-2011,Kvitfjell,Super G,DNF1,
12-03-2011,Kvitfjell,Downhill,39,31.01
11-03-2011,Kvitfjell,Downhill,6,4.83
30-01-2011,Chamonix,Super Combined,27,40.77
29-01-2011,Chamonix,Downhill,27,25.05
22-01-2011,Kitzbuehel,Downhill,29,43.05
15-01-2011,Wengen,Downhill,20,23.56
14-01-2011,Wengen,Super Combined,DNS2,
29-12-2010,Bormio,Downhill,35,41.57
18-12-2010,Val Gardena-Groeden,Downhill,6,6.47
27-11-2010,Lake Louise,Downhill,38,35.05
07-03-2010,Kvitfjell,Super G,42,38.50
06-03-2010,Kvitfjell,Downhill,27,21.05
24-01-2010,Kitzbuehel,Combined,DNS1,
23-01-2010,Kitzbuehel,Downhill,32,28.55
22-01-2010,Kitzbuehel,Super G,DNF1,
16-01-2010,Wengen,Downhill,31,35.46
15-01-2010,Wengen,Super Combined,18,26.87
29-12-2009,Bormio,Downhill,17,23.70
19-12-2009,Val Gardena - Groeden,Downhill,21,18.83
11-12-2009,Val d'Isere,Super Combined,DNF1,
05-12-2009,Beaver Creek,Downhill,33,29.59
04-12-2009,Beaver Creek,Super Combined,DNF1,
28-11-2009,Lake Louise,Downhill,32,25.61
07-03-2009,Kvitfjell,Downhill,30,28.66
06-03-2009,Kvitfjell,Downhill,30,25.27
22-02-2009,Sestriere,Super Combined,DNF1,
24-01-2009,Kitzbuehel,Downhill,40,38.66
17-01-2009,Wengen,Downhill,47,55.67
16-01-2009,Wengen,Super Combined,DSQ2,
28-12-2008,Bormio,Downhill,33,39.21
20-12-2008,Val Gardena - Groeden,Downhill,20,25.91
05-12-2008,Beaver Creek,Downhill,49,45.25
29-11-2008,Lake Louise,Downhill,57,38.59
01-03-2008,Kvitfjell,Downhill,40,48.58
29-02-2008,Kvitfjell,Downhill,28,35.37
03-02-2008,Val d'Isere,Super Combined,24,28.10
27-01-2008,Chamonix,Super Combined,34,41.98
26-01-2008,Chamonix,Downhill,26,19.00
19-01-2008,Kitzbuehel,Downhill,49,62.26
13-01-2008,Wengen,Downhill,49,50.80
11-01-2008,Wengen,Super Combined,DNF1,
15-12-2007,Val Gardena-Groeden,Downhill,20,23.37
30-11-2007,"Beaver Creek, CO",Downhill,42,39.73
29-11-2007,"Beaver Creek, CO",Super Combined,DNF2,
24-11-2007,"Lake Louise, AB",Downhill,27,18.65
16-12-2006,Gardena/Groeden,Downhill,38,33.02
14-01-2006,Wengen,Downhill,49,56.38
13-01-2006,Wengen,Super Combined,DSQ,
11-12-2005,Val d'Isere,Super Combined,29,
10-12-2005,Val d'Isere,Downhill,53,46.69
