datum,kraj,disciplina,mesto
22-03-2015,Meribel,Giant Slalom,1
21-03-2015,Meribel,Slalom,23
19-03-2015,Meribel,Super G,2
18-03-2015,Meribel,Downhill,8
13-03-2015,Are,Giant Slalom,1
08-03-2015,Garmisch Partenkirchen,Super G,3
07-03-2015,Garmisch Partenkirchen,Downhill,2
02-03-2015,Bansko,Super G,1
01-03-2015,Bansko,Alpine combined,1
21-02-2015,Maribor,Giant Slalom,1
25-01-2015,St.Moritz,Super G,2
24-01-2015,St.Moritz,Downhill,2
19-01-2015,Cortina d'Ampezzo,Super G,2
18-01-2015,Cortina d'Ampezzo,Downhill,9
16-01-2015,Cortina d'Ampezzo,Downhill,5
28-12-2014,Kuehtai in Tirol,Giant Slalom,2
21-12-2014,Val d Isere,Super G,2
20-12-2014,Val d Isere,Downhill,11
12-12-2014,Are,Giant Slalom,6
07-12-2014,Lake Louise,Super G,8
06-12-2014,Lake Louise,Downhill,9
05-12-2014,Lake Louise,Downhill,2
29-11-2014,Aspen,Giant Slalom,12
25-10-2014,Soelden,Giant Slalom,1
16-03-2014,Lenzerheide,Giant Slalom,1
13-03-2014,Lenzerheide,Super G,2
12-03-2014,Lenzerheide,Downhill,6
07-03-2014,Are,Giant Slalom,1
06-03-2014,Are,Giant Slalom,1
02-03-2014,Crans Montana,Downhill,2
26-01-2014,Cortina d Ampezzo,Super G,8
25-01-2014,Cortina d Ampezzo,Downhill,5
24-01-2014,Cortina d Ampezzo,Downhill,6
23-01-2014,Cortina d Ampezzo,Super G,5
12-01-2014,Altenmarkt / Zauchensee,Super Combined,8
11-01-2014,Altenmarkt / Zauchensee,Downhill,2
28-12-2013,Lienz,Giant Slalom,1
22-12-2013,Val d'Isere,Giant Slalom,7
21-12-2013,Val d'Isere,Downhill,11
15-12-2013,St. Moritz,Giant Slalom,8
14-12-2013,St. Moritz,Super G,3
08-12-2013,Lake Louise,Super G,3
07-12-2013,Lake Louise,Downhill,3
06-12-2013,Lake Louise,Downhill,4
01-12-2013,Beaver Creek,Giant Slalom,DNF2
30-11-2013,Beaver Creek,Super G,2
29-11-2013,Beaver Creek,Downhill,5
26-10-2013,Soelden,Giant Slalom,4
17-03-2013,Lenzerheide,Giant Slalom,5
09-03-2013,Ofterschwang,Giant Slalom,1
03-03-2013,Garmisch-Partenkirchen,Super G,1
02-03-2013,Garmisch-Partenkirchen,Downhill,14
01-03-2013,Garmisch-Partenkirchen,Super G,4
23-02-2013,Meribel,Downhill,19
26-01-2013,Maribor,Giant Slalom,3
20-01-2013,Cortina d'Ampezzo,Super G,17
19-01-2013,Cortina d'Ampezzo,Downhill,6
13-01-2013,St. Anton,Super G,2
12-01-2013,St. Anton,Downhill,3
28-12-2012,Semmering,Giant Slalom,1
19-12-2012,Are,Giant Slalom,2
16-12-2012,Courchevel,Giant Slalom,4
14-12-2012,Val d'Isere,Downhill,5
09-12-2012,St. Moritz,Giant Slalom,DNF1
08-12-2012,St. Moritz,Super G,DNF1
07-12-2012,St. Moritz,Super Combined,7
02-12-2012,Lake Louise,Super G,3
01-12-2012,Lake Louise,Downhill,8
30-11-2012,Lake Louise,Downhill,29
24-11-2012,"Aspen, CO",Giant Slalom,DNF2
27-10-2012,Soelden,Giant Slalom,5
18-03-2012,Schladming,Giant Slalom,2
15-03-2012,Schladming,Super G,4
14-03-2012,Schladming,Downhill,19
09-03-2012,Are,Giant Slalom,4
03-03-2012,Ofterschwang,Giant Slalom,4
02-03-2012,Ofterschwang,Giant Slalom,DNF1
26-02-2012,Bansko,Super G,10
21-02-2012,Moscow,City Event,9
18-02-2012,Sochi,Downhill,15
12-02-2012,Soldeu-Grandvalira,Giant Slalom,6
05-02-2012,Garmisch-Partenkirchen,Super G,2
04-02-2012,Garmisch-Partenkirchen,Downhill,13
29-01-2012,St. Moritz,Super Combined,13
28-01-2012,St. Moritz,Downhill,19
27-01-2012,St. Moritz,Super Combined,7
21-01-2012,Kranjska Gora,Giant Slalom,8
15-01-2012,Cortina d'Ampezzo,Super G,18
14-01-2012,Cortina d'Ampezzo,Downhill,DNF1
08-01-2012,Bad Kleinkirchheim,Super G,3
07-01-2012,Bad Kleinkirchheim,Downhill,10
28-12-2011,Lienz,Giant Slalom,1
20-12-2011,Flachau,Slalom,26
07-12-2011,Beaver Creek,Super G,3
04-12-2011,Lake Louise,Super G,2
03-12-2011,Lake Louise,Downhill,12
02-12-2011,Lake Louise,Downhill,20
26-11-2011,Aspen,Giant Slalom,4
22-10-2011,Soelden,Giant Slalom,6
18-03-2011,Lenzerheide,Slalom,19
16-03-2011,Lenzerheide,Downhill,6
11-03-2011,Spindleruv Mlyn,Giant Slalom,14
06-03-2011,Tarvisio,Super G,28
05-03-2011,Tarvisio,Downhill,22
04-03-2011,Tarvisio,Super Combined,29
27-02-2011,Are,Super G,9
26-02-2011,Are,Downhill,13
25-02-2011,Are,Super Combined,9
06-02-2011,Arber-Zwiesel,Giant Slalom,15
23-01-2011,Cortina d Ampezzo,Super G,DNF1
22-01-2011,Cortina d Ampezzo,Downhill,9
21-01-2011,Cortina d Ampezzo,Super G,3
09-01-2011,Zauchensee,Super G,DNF1
08-01-2011,Zauchensee,Downhill,3
02-01-2011,Muenchen,City Event,5
19-12-2010,Val d'Isere,Super Combined,4
18-12-2010,Val d'Isere,Downhill,7
05-12-2010,Lake Louise,Super G,4
04-12-2010,Lake Louise,Downhill,9
03-12-2010,Lake Louise,Downhill,5
23-10-2010,Soelden,Giant Slalom,DNQ1
12-03-2010,Garmisch Partenkirchen,Super G,18
10-03-2010,Garmisch Partenkirchen,Downhill,22
07-03-2010,Crans Montana,Super G,17
06-03-2010,Crans Montana,Downhill,26
31-01-2010,St. Moritz,Super G,21
30-01-2010,St. Moritz,Downhill,13
29-01-2010,St. Moritz,Super Combined,13
23-01-2010,Cortina d'Ampezzo,Downhill,17
22-01-2010,Cortina d'Ampezzo,Super G,24
17-01-2010,Maribor,Slalom,DNQ1
16-01-2010,Maribor,Giant Slalom,DNQ1
12-01-2010,Flachau,Slalom,DNF1
10-01-2010,Haus im Ennstal,Super G,8
09-01-2010,Haus im Ennstal,Downhill,21
08-01-2010,Haus im Ennstal,Downhill,17
03-01-2010,Zagreb,Slalom,DNF1
29-12-2009,Lienz,Slalom,DNF1
20-12-2009,Val d'Isere,Super G,12
18-12-2009,Val d'Isere,Super Combined,6
13-12-2009,Are,Slalom,DNF1
12-12-2009,Are,Giant Slalom,DNF1
06-12-2009,Lake Louise,Super G,4
05-12-2009,Lake Louise,Downhill,32
04-12-2009,Lake Louise,Downhill,29
29-11-2009,Aspen,Slalom,DNF1
28-11-2009,Aspen,Giant Slalom,DNF1
14-11-2009,Levi,Slalom,DNQ1
24-10-2009,Soelden,Giant Slalom,DNQ1
12-03-2009,Are,Super G,18
11-03-2009,Are,Downhill,12
07-03-2009,Ofterschwang,Slalom,DNQ1
06-03-2009,Ofterschwang,Giant Slalom,DNQ1
22-02-2009,Tarvisio,Super G,8
21-02-2009,Tarvisio,Downhill,36
20-02-2009,Tarvisio,Super Combined,9
01-02-2009,Garmisch Partenkirchen,Super G,30
30-01-2009,Garmisch Partenkirchen,Slalom,DNF1
26-01-2009,Cortina d'Ampezzo,Super G,2
25-01-2009,Cortina d'Ampezzo,Giant Slalom,26
24-01-2009,Cortina d'Ampezzo,Downhill,15
18-01-2009,Altenmarkt-Zauchensee,Downhill,17
17-01-2009,Altenmarkt-Zauchensee,Super Combined,6
11-01-2009,Maribor,Slalom,DNQ1
10-01-2009,Maribor,Giant Slalom,DNQ1
04-01-2009,Zagreb,Slalom,DNF1
29-12-2008,Semmering,Slalom,DNF1
28-12-2008,Semmering,Giant Slalom,DNQ1
20-12-2008,St. Moritz,Super G,18
19-12-2008,St. Moritz,Super Combined,8
14-12-2008,La Molina,Slalom,20
13-12-2008,La Molina,Giant Slalom,DNF1
07-12-2008,Lake Louise,Super G,32
05-12-2008,Lake Louise,Downhill,8
30-11-2008,Aspen,Slalom,20
29-11-2008,Aspen,Giant Slalom,DNQ1
25-10-2008,Soelden,Giant Slalom,DNQ1
15-03-2008,Bormio,Giant Slalom,20
10-02-2008,Sestriere,Super G,33
03-02-2008,St. Moritz,Super G,22
26-01-2008,Ofterschwang,Giant Slalom,DNQ1
21-01-2008,Cortina d'Ampezzo,Super G,DNF1
20-01-2008,Cortina d'Ampezzo,Super G,24
12-01-2008,Maribor,Giant Slalom,27
05-01-2008,Spindleruv Mlyn,Giant Slalom,DNF1
29-12-2007,Lienz,Slalom,DNF1
28-12-2007,Lienz,Giant Slalom,DNQ1
22-12-2007,St. Anton/Arlberg,Super Combined,4
16-12-2007,St. Moritz,Super G,18
02-12-2007,"Lake Louise, AB",Super G,DNF1
25-11-2007,"Panorama, BC",Slalom,DNF1
24-11-2007,"Panorama, BC",Giant Slalom,DNQ2
27-10-2007,Soelden,Giant Slalom,DNQ1
02-03-2007,Tarvisio,Super Combined,DNF
25-02-2007,Sierra Nevada,Slalom,DNF1
24-02-2007,Sierra Nevada,Giant Slalom,DNF1
21-01-2007,Cortina d'Ampezzo,Giant Slalom,16
29-12-2006,Semmering,Slalom,DNQ1
28-12-2006,Semmering,Giant Slalom,DNF1
15-12-2006,Reiteralm,Super Combined,DNF1
26-11-2006,"Aspen, CO",Slalom,DNQ1
25-11-2006,"Aspen, CO",Giant Slalom,DNQ1
11-11-2006,Levi,Slalom,DNQ1
