datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,1
16-03-2016,St. Moritz,Downhill,1
13-03-2016,Kvitfjell,Super G,6
12-03-2016,Kvitfjell,Downhill,5
27-02-2016,Hinterstoder,Super G,15
20-02-2016,Chamonix,Downhill,3
19-02-2016,Chamonix,Alpine combined,DNS1
07-02-2016,Jeongseon,Super G,20
06-02-2016,Jeongseon,Downhill,5
30-01-2016,Garmisch Partenkirchen,Downhill,3
23-01-2016,Kitzbuehel,Downhill,2
22-01-2016,Kitzbuehel,Super G,16
16-01-2016,Wengen,Downhill,11
15-01-2016,Wengen,Alpine combined,DNS2
19-03-2015,Meribel,Super G,9
18-03-2015,Meribel,Downhill,9
08-03-2015,Kvitfjell,Super G,16
07-03-2015,Kvitfjell,Downhill,16
28-02-2015,Garmisch Partenkirchen,Downhill,27
22-02-2015,Saalbach,Super G,DNF1
21-02-2015,Saalbach,Downhill,21
24-01-2015,Kitzbuehel,Downhill,15
23-01-2015,Kitzbuehel,Alpine combined,DNS2
23-01-2015,Kitzbuehel,Super G,17
18-01-2015,Wengen,Downhill,2
16-01-2015,Wengen,Alpine combined,17
28-12-2014,Santa Caterina,Downhill,DNF1
20-12-2014,Val Gardena / Groeden,Super G,24
19-12-2014,Val Gardena / Groeden,Downhill,8
06-12-2014,Beaver Creek,Super G,23
05-12-2014,Beaver Creek,Downhill,2
30-11-2014,Lake Louise,Super G,19
29-11-2014,Lake Louise,Downhill,6
02-03-2014,Kvitfjell,Super G,17
01-03-2014,Kvitfjell,Downhill,39
28-02-2014,Kvitfjell,Downhill,22
25-01-2014,Kitzbuehel,Downhill,DNF1
18-01-2014,Wengen,Downhill,10
17-01-2014,Wengen,Super Combined,19
21-12-2013,Val Gardena / Groeden,Downhill,29
20-12-2013,Val Gardena / Groeden,Super G,13
07-12-2013,Beaver Creek,Super G,26
06-12-2013,Beaver Creek,Downhill,6
01-12-2013,Lake Louise,Super G,14
30-11-2013,Lake Louise,Downhill,30
28-10-2012,Soelden,Giant Slalom,DNS1
17-03-2012,Schladming,Giant Slalom,21
15-03-2012,Schladming,Super G,DNF1
14-03-2012,Schladming,Downhill,2
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1
04-03-2012,Kvitfjell,Super G,3
03-03-2012,Kvitfjell,Downhill,4
02-03-2012,Kvitfjell,Super G,1
26-02-2012,Crans Montana,Giant Slalom,DNQ1
25-02-2012,Crans Montana,Super G,10
24-02-2012,Crans Montana,Super G,20
21-02-2012,Moscow,City Event,5
12-02-2012,Sochi,Super Combined,2
11-02-2012,Sochi,Downhill,1
05-02-2012,Chamonix,Super Combined,3
04-02-2012,Chamonix,Downhill,4
03-02-2012,Chamonix,Downhill,21
28-01-2012,Garmisch-Partenkirchen,Downhill,23
22-01-2012,Kitzbuehel,Super Combined,2
22-01-2012,Kitzbuehel,Slalom,DNQ1
21-01-2012,Kitzbuehel,Downhill,6
14-01-2012,Wengen,Downhill,1
13-01-2012,Wengen,Super Combined,2
07-01-2012,Adelboden,Giant Slalom,26
29-12-2011,Bormio,Downhill,DNF1
18-12-2011,Alta Badia,Giant Slalom,DNQ1
16-12-2011,Val Gardena-Groeden,Super G,1
06-12-2011,Beaver Creek,Giant Slalom,17
04-12-2011,Beaver Creek,Giant Slalom,16
03-12-2011,Beaver Creek,Super G,3
02-12-2011,Beaver Creek,Downhill,2
27-11-2011,Lake Louise,Super G,20
26-11-2011,Lake Louise,Downhill,2
23-10-2011,Soelden,Giant Slalom,DNQ1
16-03-2011,Lenzerheide,Downhill,8
13-03-2011,Kvitfjell,Super G,18
12-03-2011,Kvitfjell,Downhill,3
11-03-2011,Kvitfjell,Downhill,1
26-02-2011,Bansko,Super Combined,29
06-02-2011,Hinterstoder,Giant Slalom,DNQ1
05-02-2011,Hinterstoder,Super G,DNF1
30-01-2011,Chamonix,Super Combined,10
29-01-2011,Chamonix,Downhill,7
23-01-2011,Kitzbuehel,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,10
22-01-2011,Kitzbuehel,Downhill,18
21-01-2011,Kitzbuehel,Super G,13
15-01-2011,Wengen,Downhill,DNF1
14-01-2011,Wengen,Super Combined,12
08-01-2011,Adelboden,Giant Slalom,DNF1
27-11-2010,Lake Louise,Downhill,18
07-03-2010,Kvitfjell,Super G,28
06-03-2010,Kvitfjell,Downhill,18
30-01-2010,Kranjska Gora,Giant Slalom,DNQ1
29-01-2010,Kranjska Gora,Giant Slalom,DNF1
24-01-2010,Kitzbuehel,Slalom,DNQ1
24-01-2010,Kitzbuehel,Combined,17
23-01-2010,Kitzbuehel,Downhill,31
16-01-2010,Wengen,Downhill,42
15-01-2010,Wengen,Super Combined,12
19-12-2009,Val Gardena - Groeden,Downhill,51
13-12-2009,Val d'Isere,Giant Slalom,DNF1
12-12-2009,Val d'Isere,Super G,DNF1
11-12-2009,Val d'Isere,Super Combined,22
06-12-2009,Beaver Creek,Giant Slalom,DNQ1
05-12-2009,Beaver Creek,Downhill,DNF1
04-12-2009,Beaver Creek,Super Combined,16
29-11-2009,Lake Louise,Super G,43
28-11-2009,Lake Louise,Downhill,19
25-10-2009,Soelden,Giant Slalom,DNQ1
15-03-2007,Lenzerheide,Super G,22
14-03-2007,Lenzerheide,Downhill,14
10-12-2006,Reiteralm,Super Combined,33
