datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,7,13.47
16-03-2016,St. Moritz,Downhill,10,16.93
13-03-2016,Kvitfjell,Super G,8,10.48
12-03-2016,Kvitfjell,Downhill,10,11.56
27-02-2016,Hinterstoder,Super G,DNF1,
20-02-2016,Chamonix,Downhill,5,9.40
19-02-2016,Chamonix,Alpine combined,12,19.41
07-02-2016,Jeongseon,Super G,5,15.79
06-02-2016,Jeongseon,Downhill,4,5.80
30-01-2016,Garmisch Partenkirchen,Downhill,11,8.57
23-01-2016,Kitzbuehel,Downhill,1,0.00
22-01-2016,Kitzbuehel,Alpine combined,DNF2,
22-01-2016,Kitzbuehel,Super G,6,12.49
16-01-2016,Wengen,Downhill,9,20.80
15-01-2016,Wengen,Alpine combined,10,10.07
29-12-2015,Santa Caterina,Downhill,DNF1,
19-12-2015,Val Gardena / Groeden,Downhill,4,7.84
18-12-2015,Val Gardena / Groeden,Super G,23,22.06
05-12-2015,Beaver Creek,Super G,26,21.47
04-12-2015,Beaver Creek,Downhill,8,13.92
29-11-2015,Lake Louise,Super G,3,5.44
28-11-2015,Lake Louise,Downhill,2,0.12
19-03-2015,Meribel,Super G,11,8.50
18-03-2015,Meribel,Downhill,17,14.38
08-03-2015,Kvitfjell,Super G,DNF1,
07-03-2015,Kvitfjell,Downhill,23,15.06
28-02-2015,Garmisch Partenkirchen,Downhill,16,12.52
22-02-2015,Saalbach,Super G,26,24.31
21-02-2015,Saalbach,Downhill,8,9.45
18-01-2015,Wengen,Downhill,DNF1,
16-01-2015,Wengen,Alpine combined,DNF2,
28-12-2014,Santa Caterina,Downhill,11,14.20
20-12-2014,Val Gardena / Groeden,Super G,DNF1,
19-12-2014,Val Gardena / Groeden,Downhill,12,20.71
06-12-2014,Beaver Creek,Super G,4,9.79
05-12-2014,Beaver Creek,Downhill,10,14.85
30-11-2014,Lake Louise,Super G,15,10.56
29-11-2014,Lake Louise,Downhill,19,15.65
13-03-2014,Lenzerheide,Super G,11,19.09
12-03-2014,Lenzerheide,Downhill,4,1.98
02-03-2014,Kvitfjell,Super G,14,12.06
01-03-2014,Kvitfjell,Downhill,40,29.34
28-02-2014,Kvitfjell,Downhill,20,16.05
26-01-2014,Kitzbuehel,Super G,20,11.04
26-01-2014,Kitzbuehel,Super Combined,6,16.12
25-01-2014,Kitzbuehel,Downhill,37,35.09
18-01-2014,Wengen,Downhill,7,7.98
17-01-2014,Wengen,Super Combined,10,14.94
29-12-2013,Bormio,Downhill,15,18.37
21-12-2013,Val Gardena / Groeden,Downhill,10,10.80
20-12-2013,Val Gardena / Groeden,Super G,DSQ1,
07-12-2013,Beaver Creek,Super G,3,4.88
06-12-2013,Beaver Creek,Downhill,3,2.62
01-12-2013,Lake Louise,Super G,8,10.08
30-11-2013,Lake Louise,Downhill,12,16.45
03-03-2013,Kvitfjell,Super G,DNF1,
02-03-2013,Kvitfjell,Downhill,22,25.06
23-02-2013,Garmisch-Partenkirchen,Downhill,31,21.85
27-01-2013,Kitzbuehel,Super Combined,DNF1,
26-01-2013,Kitzbuehel,Downhill,DNF1,
25-01-2013,Kitzbuehel,Super G,7,13.82
19-01-2013,Wengen,Downhill,18,19.93
18-01-2013,Wengen,Super Combined,17,18.47
29-12-2012,Bormio,Downhill,11,11.43
15-12-2012,Val Gardena-Groeden,Downhill,58,55.53
14-12-2012,Val Gardena-Groeden,Super G,19,21.88
01-12-2012,Beaver Creek,Super G,DNF1,
30-11-2012,Beaver Creek,Downhill,8,12.53
25-11-2012,Lake Louise,Super G,12,15.04
24-11-2012,Lake Louise,Downhill,14,20.87
15-03-2012,Schladming,Super G,25,73.85
