datum,kraj,disciplina,mesto
13-03-2015,Are,Giant Slalom,DNQ1
07-03-2015,Garmisch Partenkirchen,Downhill,28
02-03-2015,Bansko,Super G,42
21-02-2015,Maribor,Giant Slalom,DNQ1
25-01-2015,St.Moritz,Super G,22
24-01-2015,St.Moritz,Downhill,28
19-01-2015,Cortina d'Ampezzo,Super G,27
18-01-2015,Cortina d'Ampezzo,Downhill,29
16-01-2015,Cortina d'Ampezzo,Downhill,22
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1
21-12-2014,Val d Isere,Super G,DNF1
20-12-2014,Val d Isere,Downhill,20
12-12-2014,Are,Giant Slalom,DNF2
07-12-2014,Lake Louise,Super G,41
06-12-2014,Lake Louise,Downhill,20
05-12-2014,Lake Louise,Downhill,27
29-11-2014,Aspen,Giant Slalom,18
25-10-2014,Soelden,Giant Slalom,13
12-03-2014,Lenzerheide,Downhill,5
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,DNQ1
02-03-2014,Crans Montana,Downhill,1
26-01-2014,Cortina d Ampezzo,Super G,DNF1
25-01-2014,Cortina d Ampezzo,Downhill,11
24-01-2014,Cortina d Ampezzo,Downhill,10
23-01-2014,Cortina d Ampezzo,Super G,DNF1
11-01-2014,Altenmarkt / Zauchensee,Downhill,18
28-12-2013,Lienz,Giant Slalom,DSQ1
22-12-2013,Val d'Isere,Giant Slalom,DNQ1
21-12-2013,Val d'Isere,Downhill,26
15-12-2013,St. Moritz,Giant Slalom,17
14-12-2013,St. Moritz,Super G,23
08-12-2013,Lake Louise,Super G,38
07-12-2013,Lake Louise,Downhill,19
06-12-2013,Lake Louise,Downhill,45
01-12-2013,Beaver Creek,Giant Slalom,DNQ1
30-11-2013,Beaver Creek,Super G,17
29-11-2013,Beaver Creek,Downhill,8
26-10-2013,Soelden,Giant Slalom,13
03-03-2013,Garmisch-Partenkirchen,Super G,27
02-03-2013,Garmisch-Partenkirchen,Downhill,30
01-03-2013,Garmisch-Partenkirchen,Super G,16
23-02-2013,Meribel,Downhill,20
26-01-2013,Maribor,Giant Slalom,DNQ1
20-01-2013,Cortina d'Ampezzo,Super G,15
19-01-2013,Cortina d'Ampezzo,Downhill,22
13-01-2013,St. Anton,Super G,10
12-01-2013,St. Anton,Downhill,31
14-12-2012,Val d'Isere,Downhill,27
09-12-2012,St. Moritz,Giant Slalom,DNQ1
08-12-2012,St. Moritz,Super G,25
07-12-2012,St. Moritz,Super Combined,DNS2
02-12-2012,Lake Louise,Super G,17
01-12-2012,Lake Louise,Downhill,28
30-11-2012,Lake Louise,Downhill,31
24-11-2012,"Aspen, CO",Giant Slalom,DNF2
15-03-2012,Schladming,Super G,16
14-03-2012,Schladming,Downhill,16
09-03-2012,Are,Giant Slalom,24
03-03-2012,Ofterschwang,Giant Slalom,DNQ1
02-03-2012,Ofterschwang,Giant Slalom,DNF1
26-02-2012,Bansko,Super G,DNF1
18-02-2012,Sochi,Downhill,22
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1
05-02-2012,Garmisch-Partenkirchen,Super G,11
04-02-2012,Garmisch-Partenkirchen,Downhill,22
29-01-2012,St. Moritz,Super Combined,DNF1
28-01-2012,St. Moritz,Downhill,23
27-01-2012,St. Moritz,Super Combined,DNF1
15-01-2012,Cortina d'Ampezzo,Super G,14
14-01-2012,Cortina d'Ampezzo,Downhill,11
08-01-2012,Bad Kleinkirchheim,Super G,17
07-01-2012,Bad Kleinkirchheim,Downhill,7
28-12-2011,Lienz,Giant Slalom,12
07-12-2011,Beaver Creek,Super G,5
04-12-2011,Lake Louise,Super G,9
03-12-2011,Lake Louise,Downhill,17
02-12-2011,Lake Louise,Downhill,13
26-11-2011,Aspen,Giant Slalom,DNF2
22-10-2011,Soelden,Giant Slalom,26
16-03-2011,Lenzerheide,Downhill,DNF1
11-03-2011,Spindleruv Mlyn,Giant Slalom,21
06-03-2011,Tarvisio,Super G,20
05-03-2011,Tarvisio,Downhill,27
04-03-2011,Tarvisio,Super Combined,10
27-02-2011,Are,Super G,16
26-02-2011,Are,Downhill,8
25-02-2011,Are,Super Combined,16
06-02-2011,Arber-Zwiesel,Giant Slalom,6
23-01-2011,Cortina d Ampezzo,Super G,DNF1
22-01-2011,Cortina d Ampezzo,Downhill,4
21-01-2011,Cortina d Ampezzo,Super G,6
09-01-2011,Zauchensee,Super G,DNF1
08-01-2011,Zauchensee,Downhill,5
02-01-2011,Muenchen,City Event,9
28-12-2010,Semmering,Giant Slalom,16
19-12-2010,Val d'Isere,Super Combined,24
18-12-2010,Val d'Isere,Downhill,14
12-12-2010,St. Moritz,Giant Slalom,9
05-12-2010,Lake Louise,Super G,5
04-12-2010,Lake Louise,Downhill,DNF1
03-12-2010,Lake Louise,Downhill,10
27-11-2010,Aspen,Giant Slalom,6
23-10-2010,Soelden,Giant Slalom,DNF2
12-03-2010,Garmisch Partenkirchen,Super G,DNF1
11-03-2010,Garmisch Partenkirchen,Giant Slalom,5
10-03-2010,Garmisch Partenkirchen,Downhill,15
07-03-2010,Crans Montana,Super G,12
06-03-2010,Crans Montana,Downhill,19
31-01-2010,St. Moritz,Super G,2
30-01-2010,St. Moritz,Downhill,DNF1
29-01-2010,St. Moritz,Super Combined,12
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNF2
23-01-2010,Cortina d'Ampezzo,Downhill,19
22-01-2010,Cortina d'Ampezzo,Super G,5
16-01-2010,Maribor,Giant Slalom,5
10-01-2010,Haus im Ennstal,Super G,5
09-01-2010,Haus im Ennstal,Downhill,23
08-01-2010,Haus im Ennstal,Downhill,8
28-12-2009,Lienz,Giant Slalom,23
20-12-2009,Val d'Isere,Super G,9
12-12-2009,Are,Giant Slalom,DNF2
06-12-2009,Lake Louise,Super G,14
05-12-2009,Lake Louise,Downhill,20
04-12-2009,Lake Louise,Downhill,12
28-11-2009,Aspen,Giant Slalom,DSQ1
24-10-2009,Soelden,Giant Slalom,17
14-03-2009,Are,Giant Slalom,10
12-03-2009,Are,Super G,7
11-03-2009,Are,Downhill,5
06-03-2009,Ofterschwang,Giant Slalom,20
01-03-2009,Bansko,Super G,8
28-02-2009,Bansko,Downhill,1
27-02-2009,Bansko,Downhill,2
22-02-2009,Tarvisio,Super G,26
21-02-2009,Tarvisio,Downhill,29
20-02-2009,Tarvisio,Super Combined,22
01-02-2009,Garmisch Partenkirchen,Super G,22
26-01-2009,Cortina d'Ampezzo,Super G,9
25-01-2009,Cortina d'Ampezzo,Giant Slalom,DNS1
24-01-2009,Cortina d'Ampezzo,Downhill,17
18-01-2009,Altenmarkt-Zauchensee,Downhill,6
17-01-2009,Altenmarkt-Zauchensee,Super Combined,14
10-01-2009,Maribor,Giant Slalom,23
28-12-2008,Semmering,Giant Slalom,13
20-12-2008,St. Moritz,Super G,25
19-12-2008,St. Moritz,Super Combined,DNF1
13-12-2008,La Molina,Giant Slalom,12
07-12-2008,Lake Louise,Super G,2
05-12-2008,Lake Louise,Downhill,5
29-11-2008,Aspen,Giant Slalom,DNF1
25-10-2008,Soelden,Giant Slalom,3
13-03-2008,Bormio,Super G,22
09-03-2008,Crans-Montana,Super Combined,DNF2
08-03-2008,Crans-Montana,Downhill,29
24-02-2008,"Whistler, BC",Super Combined,8
22-02-2008,"Whistler, BC",Downhill,22
10-02-2008,Sestriere,Super G,1
09-02-2008,Sestriere,Downhill,35
03-02-2008,St. Moritz,Super G,8
02-02-2008,St. Moritz,Downhill,11
27-01-2008,Ofterschwang,Slalom,DNQ1
26-01-2008,Ofterschwang,Giant Slalom,DNF2
21-01-2008,Cortina d'Ampezzo,Super G,10
20-01-2008,Cortina d'Ampezzo,Super G,23
19-01-2008,Cortina d'Ampezzo,Downhill,16
12-01-2008,Maribor,Giant Slalom,DNF1
05-01-2008,Spindleruv Mlyn,Giant Slalom,10
29-12-2007,Lienz,Slalom,DNF1
28-12-2007,Lienz,Giant Slalom,DNF2
22-12-2007,St. Anton/Arlberg,Super Combined,DNF2
21-12-2007,St. Anton/Arlberg,Downhill,14
16-12-2007,St. Moritz,Super G,DNF1
15-12-2007,St. Moritz,Downhill,21
08-12-2007,"Aspen, CO",Downhill,15
02-12-2007,"Lake Louise, AB",Super G,8
01-12-2007,"Lake Louise, AB",Downhill,26
25-11-2007,"Panorama, BC",Slalom,26
24-11-2007,"Panorama, BC",Giant Slalom,DNF1
10-11-2007,Reiteralm,Slalom,DNF1
27-10-2007,Soelden,Giant Slalom,DNF2
18-03-2007,Lenzerheide,Giant Slalom,13
15-03-2007,Lenzerheide,Super G,2
14-03-2007,Lenzerheide,Downhill,15
10-03-2007,Zwiesel,Giant Slalom,10
04-03-2007,Tarvisio,Super G,14
03-03-2007,Tarvisio,Downhill,16
02-03-2007,Tarvisio,Super Combined,18
25-02-2007,Sierra Nevada,Slalom,DNF1
24-02-2007,Sierra Nevada,Giant Slalom,DNF1
28-01-2007,San Sicario,Super G,37
27-01-2007,San Sicario,Downhill,31
26-01-2007,San Sicario,Super G,21
21-01-2007,Cortina d'Ampezzo,Giant Slalom,DNF1
20-01-2007,Cortina d'Ampezzo,Downhill,10
19-01-2007,Cortina d'Ampezzo,Super G,4
14-01-2007,Altenmarkt-Zauchensee,Super Combined,DNF2
13-01-2007,Altenmarkt-Zauchensee,Downhill,33
07-01-2007,Kranjska Gora,Slalom,22
06-01-2007,Kranjska Gora,Giant Slalom,6
29-12-2006,Semmering,Slalom,23
28-12-2006,Semmering,Giant Slalom,DNF1
21-12-2006,Val d'Isere,Slalom,22
20-12-2006,Val d'Isere,Downhill,8
19-12-2006,Val d'Isere,Downhill,10
16-12-2006,Reiteralm,Super G,DNF1
15-12-2006,Reiteralm,Super Combined,DNF1
03-12-2006,"Lake Louise, AB",Super G,DNF1
02-12-2006,"Lake Louise, AB",Downhill,5
01-12-2006,"Lake Louise, AB",Downhill,5
26-11-2006,"Aspen, CO",Slalom,DNF2
25-11-2006,"Aspen, CO",Giant Slalom,DSQ1
18-03-2006,Are,Giant Slalom,20
16-03-2006,Are,Super G,7
15-03-2006,Are,Downhill,22
11-03-2006,Levi,Slalom,DNF1
10-03-2006,Levi,Slalom,DNQ1
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,24
04-03-2006,Hafjell/Kvitfjell,Super Combined,14
03-03-2006,Hafjell/Kvitfjell,Super G,DNF1
05-02-2006,Ofterschwang,Slalom,17
04-02-2006,Ofterschwang,Giant Slalom,19
03-02-2006,Ofterschwang,Giant Slalom,12
29-01-2006,Cortina d'Ampezzo,Giant Slalom,8
27-01-2006,Cortina d'Ampezzo,Super G,16
22-01-2006,St. Moritz,Super Combined,11
21-01-2006,St. Moritz,Downhill,26
20-01-2006,St. Moritz,Super G,11
15-01-2006,Bad Kleinkirchheim,Super G,DNF1
14-01-2006,Bad Kleinkirchheim,Downhill,24
13-01-2006,Bad Kleinkirchheim,Downhill,14
08-01-2006,Maribor,Slalom,DNQ1
29-12-2005,Lienz,Slalom,21
28-12-2005,Lienz,Giant Slalom,21
22-12-2005,Spindleruv Mlyn,Slalom,DNQ2
21-12-2005,Spindleruv Mlyn,Giant Slalom,15
18-12-2005,Val d'Isere,Super G,15
11-12-2005,"Aspen, CO",Slalom,DNQ2
10-12-2005,"Aspen, CO",Giant Slalom,10
09-12-2005,"Aspen, CO",Super G,3
04-12-2005,"Lake Louise, AB",Super G,2
03-12-2005,"Lake Louise, AB",Downhill,21
22-10-2005,Soelden,Giant Slalom,5
25-02-2005,San Sicario,Super G,19
20-02-2005,Are,Giant Slalom,24
19-02-2005,Are,Super G,DNF1
15-01-2005,Cortina d'Ampezzo,Downhill,20
14-01-2005,Cortina d'Ampezzo,Super G,DNF1
12-01-2005,Cortina d'Ampezzo,Super G,8
21-12-2004,St. Moritz,Super G,28
11-12-2004,Altenmarkt-Zauchensee,Super G,39
11-03-2004,Sestriere,Super G,DNF1
