datum,kraj,disciplina,mesto,zaostanek
02-03-2014,Kvitfjell,Super G,DSQ1,
01-03-2014,Kvitfjell,Downhill,32,27.01
28-02-2014,Kvitfjell,Downhill,47,30.23
26-01-2014,Kitzbuehel,Super G,54,21.63
25-01-2014,Kitzbuehel,Downhill,36,33.98
18-01-2014,Wengen,Downhill,37,24.84
21-12-2013,Val Gardena / Groeden,Downhill,13,13.39
20-12-2013,Val Gardena / Groeden,Super G,28,33.86
07-12-2013,Beaver Creek,Super G,DNF1,
06-12-2013,Beaver Creek,Downhill,29,29.10
01-12-2013,Lake Louise,Super G,36,25.74
30-11-2013,Lake Louise,Downhill,26,24.43
03-03-2012,Kvitfjell,Downhill,DNF1,
02-03-2012,Kvitfjell,Super G,DNF1,
11-02-2012,Sochi,Downhill,DNF1,
05-02-2012,Chamonix,Super Combined,23,25.22
04-02-2012,Chamonix,Downhill,12,15.43
03-02-2012,Chamonix,Downhill,12,7.17
28-01-2012,Garmisch-Partenkirchen,Downhill,32,26.37
21-01-2012,Kitzbuehel,Downhill,33,26.86
14-01-2012,Wengen,Downhill,34,27.40
16-12-2011,Val Gardena-Groeden,Super G,35,24.19
02-12-2011,Beaver Creek,Downhill,29,28.82
27-11-2011,Lake Louise,Super G,46,33.91
26-11-2011,Lake Louise,Downhill,35,23.68
13-03-2011,Kvitfjell,Super G,38,25.52
12-03-2011,Kvitfjell,Downhill,25,21.60
11-03-2011,Kvitfjell,Downhill,27,20.43
05-02-2011,Hinterstoder,Super G,DNF1,
29-01-2011,Chamonix,Downhill,41,37.58
22-01-2011,Kitzbuehel,Downhill,DNF1,
21-01-2011,Kitzbuehel,Super G,35,48.94
15-01-2011,Wengen,Downhill,DNF1,
18-12-2010,Val Gardena-Groeden,Downhill,51,41.08
17-12-2010,Val Gardena-Groeden,Super G,44,43.03
04-12-2010,Beaver Creek,Super G,40,38.73
28-11-2010,Lake Louise,Super G,49,32.84
27-11-2010,Lake Louise,Downhill,DNF1,
23-01-2010,Kitzbuehel,Downhill,18,20.31
22-01-2010,Kitzbuehel,Super G,DNF1,
16-01-2010,Wengen,Downhill,28,29.74
29-12-2009,Bormio,Downhill,DNF1,
19-12-2009,Val Gardena - Groeden,Downhill,19,15.24
18-12-2009,Val Gardena - Groeden,Super G,27,19.62
12-12-2009,Val d'Isere,Super G,DNF1,
05-12-2009,Beaver Creek,Downhill,25,23.47
29-11-2009,Lake Louise,Super G,23,20.76
28-11-2009,Lake Louise,Downhill,60,40.57
07-03-2009,Kvitfjell,Downhill,DNF1,
06-03-2009,Kvitfjell,Downhill,DNF1,
24-01-2009,Kitzbuehel,Downhill,11,12.17
23-01-2009,Kitzbuehel,Super G,36,28.98
17-01-2009,Wengen,Downhill,DSQ1,
16-01-2009,Wengen,Super Combined,DNS2,
20-12-2008,Val Gardena - Groeden,Downhill,7,15.88
19-12-2008,Val Gardena - Groeden,Super G,20,13.38
06-12-2008,Beaver Creek,Super G,DNF1,
05-12-2008,Beaver Creek,Downhill,28,28.47
30-11-2008,Lake Louise,Super G,49,45.31
25-11-2007,"Lake Louise, AB",Super G,DNS1,
24-11-2007,"Lake Louise, AB",Downhill,DNF1,
11-03-2007,Kvitfjell,Super G,46,39.44
10-03-2007,Kvitfjell,Downhill,38,27.76
24-02-2007,Garmisch-Partenkirchen,Downhill,40,36.76
23-02-2007,Garmisch-Partenkirchen,Downhill,40,43.22
20-01-2007,Val d'Isere,Downhill,43,41.53
01-12-2006,"Beaver Creek, CO",Downhill,50,52.78
26-11-2006,"Lake Louise, AB",Super G,40,26.30
26-11-2005,"Lake Louise, AB",Downhill,44,39.09
