datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,5
19-03-2016,St. Moritz,Slalom,10
17-03-2016,St. Moritz,Super G,DNF1
13-03-2016,Lenzerheide,Alpine combined,5
12-03-2016,Lenzerheide,Super G,DNF1
07-03-2016,Jasna,Giant Slalom,6
06-03-2016,Jasna,Slalom,6
28-02-2016,Soldeu- El Tarter,Alpine combined,1
27-02-2016,Soldeu- El Tarter,Super G,23
23-02-2016,Stockholm,City Event,9
15-02-2016,Crans Montana,Slalom,3
30-01-2016,Maribor,Giant Slalom,11
17-01-2016,Flachau,Giant Slalom,10
15-01-2016,Flachau,Slalom,13
12-01-2016,Flachau,Slalom,DNF2
05-01-2016,Santa Caterina Valfurva,Slalom,7
29-12-2015,Lienz,Slalom,10
28-12-2015,Lienz,Giant Slalom,DNQ1
20-12-2015,Courchevel,Giant Slalom,14
13-12-2015,Are,Slalom,DNF1
12-12-2015,Are,Giant Slalom,DNF2
29-11-2015,"Aspen, CO",Slalom,15
28-11-2015,"Aspen, CO",Slalom,8
27-11-2015,"Aspen, CO",Giant Slalom,16
24-10-2015,Soelden,Giant Slalom,25
21-03-2015,Meribel,Slalom,17
14-03-2015,Are,Slalom,5
13-03-2015,Are,Giant Slalom,DNQ1
02-03-2015,Bansko,Super G,16
01-03-2015,Bansko,Alpine combined,5
22-02-2015,Maribor,Slalom,22
21-02-2015,Maribor,Giant Slalom,DNF1
25-01-2015,St.Moritz,Super G,17
24-01-2015,St.Moritz,Downhill,44
13-01-2015,Flachau,Slalom,DNF1
04-01-2015,Zagreb,Slalom,7
29-12-2014,Kuehtai in Tirol,Slalom,DNF2
28-12-2014,Kuehtai in Tirol,Giant Slalom,19
13-12-2014,Are,Slalom,11
12-12-2014,Are,Giant Slalom,DNF1
07-12-2014,Lake Louise,Super G,DNF1
30-11-2014,Aspen,Slalom,8
29-11-2014,Aspen,Giant Slalom,24
15-11-2014,Levi,Slalom,6
25-10-2014,Soelden,Giant Slalom,DNF1
16-03-2014,Lenzerheide,Giant Slalom,15
15-03-2014,Lenzerheide,Slalom,10
13-03-2014,Lenzerheide,Super G,DNF1
08-03-2014,Are,Slalom,DNF2
07-03-2014,Are,Giant Slalom,25
06-03-2014,Are,Giant Slalom,13
02-02-2014,Kranjska Gora,Slalom,DNF1
26-01-2014,Cortina d Ampezzo,Super G,33
14-01-2014,Flachau,Slalom,10
12-01-2014,Altenmarkt / Zauchensee,Super Combined,1
11-01-2014,Altenmarkt / Zauchensee,Downhill,29
05-01-2014,Bormio,Slalom,5
29-12-2013,Lienz,Slalom,4
28-12-2013,Lienz,Giant Slalom,20
22-12-2013,Val d'Isere,Giant Slalom,12
17-12-2013,Courchevel,Slalom,6
15-12-2013,St. Moritz,Giant Slalom,DNF2
14-12-2013,St. Moritz,Super G,6
08-12-2013,Lake Louise,Super G,10
01-12-2013,Beaver Creek,Giant Slalom,13
30-11-2013,Beaver Creek,Super G,DNF1
16-11-2013,Levi,Slalom,5
26-10-2013,Soelden,Giant Slalom,10
17-03-2013,Lenzerheide,Giant Slalom,DNF1
16-03-2013,Lenzerheide,Slalom,DNF2
10-03-2013,Ofterschwang,Slalom,4
09-03-2013,Ofterschwang,Giant Slalom,30
03-03-2013,Garmisch-Partenkirchen,Super G,29
02-03-2013,Garmisch-Partenkirchen,Downhill,36
01-03-2013,Garmisch-Partenkirchen,Super G,38
24-02-2013,Meribel,Super Combined,5
23-02-2013,Meribel,Downhill,41
27-01-2013,Maribor,Slalom,20
26-01-2013,Maribor,Giant Slalom,16
15-01-2013,Flachau,Slalom,DNF1
04-01-2013,Zagreb,Slalom,8
29-12-2012,Semmering,Slalom,20
28-12-2012,Semmering,Giant Slalom,14
20-12-2012,Are,Slalom,DNF1
19-12-2012,Are,Giant Slalom,DNF1
16-12-2012,Courchevel,Giant Slalom,DNF1
09-12-2012,St. Moritz,Giant Slalom,12
08-12-2012,St. Moritz,Super G,13
07-12-2012,St. Moritz,Super Combined,8
02-12-2012,Lake Louise,Super G,28
25-11-2012,"Aspen, CO",Slalom,18
24-11-2012,"Aspen, CO",Giant Slalom,23
10-11-2012,Levi,Slalom,10
27-10-2012,Soelden,Giant Slalom,6
17-03-2012,Schladming,Slalom,6
10-03-2012,Are,Slalom,3
09-03-2012,Are,Giant Slalom,25
04-03-2012,Ofterschwang,Slalom,5
03-03-2012,Ofterschwang,Giant Slalom,14
02-03-2012,Ofterschwang,Giant Slalom,DNF1
18-02-2012,Sochi,Downhill,DNS1
12-02-2012,Soldeu-Grandvalira,Giant Slalom,7
11-02-2012,Soldeu-Grandvalira,Slalom,8
29-01-2012,St. Moritz,Super Combined,7
27-01-2012,St. Moritz,Super Combined,22
22-01-2012,Kranjska Gora,Slalom,DNF1
21-01-2012,Kranjska Gora,Giant Slalom,22
03-01-2012,Zagreb,Slalom,DNF1
29-12-2011,Lienz,Slalom,14
28-12-2011,Lienz,Giant Slalom,DNQ1
20-12-2011,Flachau,Slalom,9
18-12-2011,Courchevel,Slalom,DNF2
07-12-2011,Beaver Creek,Super G,DNF1
04-12-2011,Lake Louise,Super G,26
27-11-2011,Aspen,Slalom,11
26-11-2011,Aspen,Giant Slalom,DNF1
22-10-2011,Soelden,Giant Slalom,25
18-03-2011,Lenzerheide,Slalom,14
12-03-2011,Spindleruv Mlyn,Slalom,DNF1
11-03-2011,Spindleruv Mlyn,Giant Slalom,19
04-03-2011,Tarvisio,Super Combined,17
27-02-2011,Are,Super G,36
25-02-2011,Are,Super Combined,19
06-02-2011,Arber-Zwiesel,Giant Slalom,29
04-02-2011,Arber-Zwiesel,Slalom,7
11-01-2011,Flachau,Slalom,DNQ1
09-01-2011,Zauchensee,Super G,30
04-01-2011,Zagreb,Slalom,DNF1
29-12-2010,Semmering,Slalom,DNQ1
28-12-2010,Semmering,Giant Slalom,23
21-12-2010,Courchevel,Slalom,DNF1
19-12-2010,Val d'Isere,Super Combined,12
18-12-2010,Val d'Isere,Downhill,46
12-12-2010,St. Moritz,Giant Slalom,5
05-12-2010,Lake Louise,Super G,27
28-11-2010,Aspen,Slalom,15
27-11-2010,Aspen,Giant Slalom,DNQ1
13-11-2010,Levi,Slalom,16
23-10-2010,Soelden,Giant Slalom,13
31-01-2010,St. Moritz,Super G,DNS1
29-01-2010,St. Moritz,Super Combined,DNF1
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNF1
22-01-2010,Cortina d'Ampezzo,Super G,44
17-01-2010,Maribor,Slalom,28
16-01-2010,Maribor,Giant Slalom,DNQ1
12-01-2010,Flachau,Slalom,DNF1
03-01-2010,Zagreb,Slalom,DNQ1
29-12-2009,Lienz,Slalom,DSQ1
28-12-2009,Lienz,Giant Slalom,DNF1
13-12-2009,Are,Slalom,DNF1
12-12-2009,Are,Giant Slalom,DNF2
29-11-2009,Aspen,Slalom,DNQ1
28-11-2009,Aspen,Giant Slalom,DNQ1
14-11-2009,Levi,Slalom,14
24-10-2009,Soelden,Giant Slalom,DNQ1
07-03-2009,Ofterschwang,Slalom,8
06-03-2009,Ofterschwang,Giant Slalom,29
25-01-2009,Cortina d'Ampezzo,Giant Slalom,9
11-01-2009,Maribor,Slalom,DNQ1
10-01-2009,Maribor,Giant Slalom,DNQ1
14-12-2008,La Molina,Slalom,DNQ1
13-12-2008,La Molina,Giant Slalom,DNQ1
