datum,kraj,disciplina,mesto,zaostanek
19-03-2016,St. Moritz,Slalom,15,30.68
06-03-2016,Jasna,Slalom,DNF2,
15-02-2016,Crans Montana,Slalom,15,16.87
15-01-2016,Flachau,Slalom,19,19.44
12-01-2016,Flachau,Slalom,19,26.62
05-01-2016,Santa Caterina Valfurva,Slalom,16,18.36
29-12-2015,Lienz,Slalom,DNF2,
13-12-2015,Are,Slalom,11,18.85
29-11-2015,"Aspen, CO",Slalom,DNF1,
28-11-2015,"Aspen, CO",Slalom,DNF1,
14-03-2015,Are,Slalom,25,30.50
22-02-2015,Maribor,Slalom,DNQ1,
13-01-2015,Flachau,Slalom,DNF2,
04-01-2015,Zagreb,Slalom,DNF1,
29-12-2014,Kuehtai in Tirol,Slalom,23,28.20
13-12-2014,Are,Slalom,DNF2,
30-11-2014,Aspen,Slalom,18,20.52
15-11-2014,Levi,Slalom,27,21.07
15-03-2014,Lenzerheide,Slalom,DNF1,
08-03-2014,Are,Slalom,21,30.53
02-02-2014,Kranjska Gora,Slalom,15,6.02
14-01-2014,Flachau,Slalom,DNF1,
05-01-2014,Bormio,Slalom,DNF2,
29-12-2013,Lienz,Slalom,8,8.79
17-12-2013,Courchevel,Slalom,DNF1,
16-11-2013,Levi,Slalom,6,9.64
16-03-2013,Lenzerheide,Slalom,DNF1,
10-03-2013,Ofterschwang,Slalom,DNF2,
29-01-2013,City Event Moscow,City Event,9,0.00
27-01-2013,Maribor,Slalom,12,14.63
15-01-2013,Flachau,Slalom,DNF2,
04-01-2013,Zagreb,Slalom,DNF1,
29-12-2012,Semmering,Slalom,6,11.47
20-12-2012,Are,Slalom,DNF2,
25-11-2012,"Aspen, CO",Slalom,10,19.42
10-11-2012,Levi,Slalom,11,12.07
17-03-2012,Schladming,Slalom,16,13.57
10-03-2012,Are,Slalom,15,5.44
04-03-2012,Ofterschwang,Slalom,16,6.01
11-02-2012,Soldeu-Grandvalira,Slalom,DNF2,
22-01-2012,Kranjska Gora,Slalom,8,16.78
03-01-2012,Zagreb,Slalom,15,19.76
29-12-2011,Lienz,Slalom,4,7.28
20-12-2011,Flachau,Slalom,11,13.18
18-12-2011,Courchevel,Slalom,DNF2,
27-11-2011,Aspen,Slalom,17,24.76
18-03-2011,Lenzerheide,Slalom,7,5.19
12-03-2011,Spindleruv Mlyn,Slalom,14,16.51
04-02-2011,Arber-Zwiesel,Slalom,DNQ1,
11-01-2011,Flachau,Slalom,DNF2,
04-01-2011,Zagreb,Slalom,DNF2,
29-12-2010,Semmering,Slalom,3,3.11
21-12-2010,Courchevel,Slalom,DNF1,
28-11-2010,Aspen,Slalom,DNF1,
13-11-2010,Levi,Slalom,20,15.24
13-03-2010,Garmisch Partenkirchen,Slalom,11,15.83
17-01-2010,Maribor,Slalom,10,13.75
12-01-2010,Flachau,Slalom,9,13.48
03-01-2010,Zagreb,Slalom,12,14.11
29-12-2009,Lienz,Slalom,8,15.76
13-12-2009,Are,Slalom,12,21.04
29-11-2009,Aspen,Slalom,8,19.89
14-11-2009,Levi,Slalom,DNF1,
07-03-2009,Ofterschwang,Slalom,22,17.73
30-01-2009,Garmisch Partenkirchen,Slalom,DNQ1,
11-01-2009,Maribor,Slalom,DNF1,
04-01-2009,Zagreb,Slalom,15,11.85
29-12-2008,Semmering,Slalom,DNQ1,
