datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Kvitfjell,Super G,23,19.80
12-03-2016,Kvitfjell,Downhill,14,14.27
27-02-2016,Hinterstoder,Super G,DNF1,
20-02-2016,Chamonix,Downhill,9,13.94
19-02-2016,Chamonix,Alpine combined,10,17.95
07-02-2016,Jeongseon,Super G,8,17.55
06-02-2016,Jeongseon,Downhill,26,20.96
30-01-2016,Garmisch Partenkirchen,Downhill,29,17.13
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Super G,38,36.11
16-01-2016,Wengen,Downhill,29,41.25
29-12-2015,Santa Caterina,Downhill,20,27.85
19-12-2015,Val Gardena / Groeden,Downhill,27,23.08
04-12-2015,Beaver Creek,Downhill,30,30.17
28-11-2015,Lake Louise,Downhill,33,26.45
07-03-2015,Kvitfjell,Downhill,44,23.98
28-02-2015,Garmisch Partenkirchen,Downhill,36,19.65
21-02-2015,Saalbach,Downhill,27,29.59
06-12-2014,Beaver Creek,Super G,DNF1,
05-12-2014,Beaver Creek,Downhill,50,42.43
30-11-2014,Lake Louise,Super G,41,27.82
29-11-2014,Lake Louise,Downhill,48,26.88
02-03-2013,Kvitfjell,Downhill,42,41.36
23-02-2013,Garmisch-Partenkirchen,Downhill,53,38.37
