datum,kraj,disciplina,mesto,zaostanek
22-03-2015,Meribel,Giant Slalom,11,24.08
19-03-2015,Meribel,Super G,12,31.27
18-03-2015,Meribel,Downhill,16,25.31
13-03-2015,Are,Giant Slalom,23,17.81
08-03-2015,Garmisch Partenkirchen,Super G,8,21.84
07-03-2015,Garmisch Partenkirchen,Downhill,9,19.94
02-03-2015,Bansko,Super G,14,28.38
01-03-2015,Bansko,Alpine combined,6,16.74
21-02-2015,Maribor,Giant Slalom,DNQ1,
19-01-2015,Cortina d'Ampezzo,Super G,DNF1,
18-01-2015,Cortina d'Ampezzo,Downhill,6,12.17
16-01-2015,Cortina d'Ampezzo,Downhill,18,22.11
28-12-2014,Kuehtai in Tirol,Giant Slalom,7,4.84
21-12-2014,Val d Isere,Super G,9,18.59
20-12-2014,Val d Isere,Downhill,5,5.50
12-12-2014,Are,Giant Slalom,20,18.19
07-12-2014,Lake Louise,Super G,15,24.36
06-12-2014,Lake Louise,Downhill,29,24.33
05-12-2014,Lake Louise,Downhill,13,14.87
29-11-2014,Aspen,Giant Slalom,20,25.13
25-10-2014,Soelden,Giant Slalom,DNF1,
16-03-2014,Lenzerheide,Giant Slalom,8,4.84
13-03-2014,Lenzerheide,Super G,15,48.59
12-03-2014,Lenzerheide,Downhill,9,19.15
07-03-2014,Are,Giant Slalom,18,21.48
06-03-2014,Are,Giant Slalom,17,14.41
02-03-2014,Crans Montana,Downhill,10,19.68
02-02-2014,Kranjska Gora,Slalom,DNQ1,
26-01-2014,Cortina d Ampezzo,Super G,DNF1,
25-01-2014,Cortina d Ampezzo,Downhill,8,9.39
24-01-2014,Cortina d Ampezzo,Downhill,12,24.46
23-01-2014,Cortina d Ampezzo,Super G,10,15.83
12-01-2014,Altenmarkt / Zauchensee,Super Combined,14,12.95
11-01-2014,Altenmarkt / Zauchensee,Downhill,14,18.62
28-12-2013,Lienz,Giant Slalom,19,24.23
22-12-2013,Val d'Isere,Giant Slalom,9,10.13
21-12-2013,Val d'Isere,Downhill,7,13.15
15-12-2013,St. Moritz,Giant Slalom,13,18.48
14-12-2013,St. Moritz,Super G,15,23.48
08-12-2013,Lake Louise,Super G,11,16.09
07-12-2013,Lake Louise,Downhill,9,12.38
06-12-2013,Lake Louise,Downhill,13,21.84
01-12-2013,Beaver Creek,Giant Slalom,DNQ1,
30-11-2013,Beaver Creek,Super G,6,20.22
29-11-2013,Beaver Creek,Downhill,12,23.41
26-10-2013,Soelden,Giant Slalom,9,13.55
17-03-2013,Lenzerheide,Giant Slalom,13,28.07
09-03-2013,Ofterschwang,Giant Slalom,20,22.58
03-03-2013,Garmisch-Partenkirchen,Super G,18,21.02
02-03-2013,Garmisch-Partenkirchen,Downhill,26,36.68
01-03-2013,Garmisch-Partenkirchen,Super G,29,27.36
27-01-2013,Maribor,Slalom,30,27.33
26-01-2013,Maribor,Giant Slalom,19,13.39
20-01-2013,Cortina d'Ampezzo,Super G,DNF1,
19-01-2013,Cortina d'Ampezzo,Downhill,12,27.05
13-01-2013,St. Anton,Super G,11,21.95
12-01-2013,St. Anton,Downhill,6,6.24
29-12-2012,Semmering,Slalom,DNQ1,
28-12-2012,Semmering,Giant Slalom,13,22.07
20-12-2012,Are,Slalom,DNQ1,
19-12-2012,Are,Giant Slalom,26,32.63
16-12-2012,Courchevel,Giant Slalom,11,19.90
