datum,kraj,disciplina,mesto
27-02-2016,Hinterstoder,Super G,32
20-02-2016,Chamonix,Downhill,33
19-02-2016,Chamonix,Alpine combined,20
07-02-2016,Jeongseon,Super G,27
06-02-2016,Jeongseon,Downhill,34
30-01-2016,Garmisch Partenkirchen,Downhill,20
23-01-2016,Kitzbuehel,Downhill,DNS1
22-01-2016,Kitzbuehel,Alpine combined,DNF1
22-01-2016,Kitzbuehel,Super G,DNF1
16-01-2016,Wengen,Downhill,27
15-01-2016,Wengen,Alpine combined,12
29-12-2015,Santa Caterina,Downhill,33
19-12-2015,Val Gardena / Groeden,Downhill,DNF1
18-12-2015,Val Gardena / Groeden,Super G,21
05-12-2015,Beaver Creek,Super G,DNF1
04-12-2015,Beaver Creek,Downhill,31
08-03-2015,Kvitfjell,Super G,23
07-03-2015,Kvitfjell,Downhill,15
28-02-2015,Garmisch Partenkirchen,Downhill,36
22-02-2015,Saalbach,Super G,30
21-02-2015,Saalbach,Downhill,DNF1
24-01-2015,Kitzbuehel,Downhill,25
23-01-2015,Kitzbuehel,Super G,36
23-01-2015,Kitzbuehel,Alpine combined,19
18-01-2015,Wengen,Downhill,23
16-01-2015,Wengen,Alpine combined,14
28-12-2014,Santa Caterina,Downhill,24
20-12-2014,Val Gardena / Groeden,Super G,38
19-12-2014,Val Gardena / Groeden,Downhill,45
07-12-2014,Beaver Creek,Giant Slalom,DNQ1
06-12-2014,Beaver Creek,Super G,32
05-12-2014,Beaver Creek,Downhill,40
30-11-2014,Lake Louise,Super G,25
29-11-2014,Lake Louise,Downhill,35
26-10-2014,Soelden,Giant Slalom,DNQ1
02-03-2014,Kvitfjell,Super G,41
01-03-2014,Kvitfjell,Downhill,46
28-02-2014,Kvitfjell,Downhill,59
02-02-2014,St. Moritz,Giant Slalom,DNQ1
28-01-2014,Schladming,Slalom,DNS1
26-01-2014,Kitzbuehel,Super G,32
26-01-2014,Kitzbuehel,Super Combined,11
25-01-2014,Kitzbuehel,Downhill,32
18-01-2014,Wengen,Downhill,12
17-01-2014,Wengen,Super Combined,20
29-12-2013,Bormio,Downhill,45
21-12-2013,Val Gardena / Groeden,Downhill,38
20-12-2013,Val Gardena / Groeden,Super G,50
07-12-2013,Beaver Creek,Super G,DNF1
06-12-2013,Beaver Creek,Downhill,55
01-12-2013,Lake Louise,Super G,60
30-11-2013,Lake Louise,Downhill,52
03-03-2013,Kvitfjell,Super G,48
02-03-2013,Kvitfjell,Downhill,DNF1
19-01-2013,Wengen,Downhill,34
18-01-2013,Wengen,Super Combined,DNF2
01-12-2012,Beaver Creek,Super G,30
25-11-2012,Lake Louise,Super G,60
