datum,kraj,disciplina,mesto
24-01-2016,Cortina d'Ampezzo,Super G,DNF1
23-01-2016,Cortina d'Ampezzo,Downhill,47
17-01-2016,Flachau,Giant Slalom,DNF1
10-01-2016,Altenmarkt-Zauchensee,Super G,DNF1
09-01-2016,Altenmarkt-Zauchensee,Downhill,DNQ1
06-12-2015,Lake Louise,Super G,16
05-12-2015,Lake Louise,Downhill,43
04-12-2015,Lake Louise,Downhill,DNF1
27-11-2015,"Aspen, CO",Giant Slalom,DNF1
25-01-2015,St.Moritz,Super G,13
24-01-2015,St.Moritz,Downhill,52
07-12-2014,Lake Louise,Super G,32
