datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,DNF1
06-03-2016,Jasna,Slalom,16
15-02-2016,Crans Montana,Slalom,17
15-01-2016,Flachau,Slalom,10
12-01-2016,Flachau,Slalom,DNF2
05-01-2016,Santa Caterina Valfurva,Slalom,DNQ1
29-12-2015,Lienz,Slalom,DNF1
13-12-2015,Are,Slalom,27
29-11-2015,"Aspen, CO",Slalom,18
28-11-2015,"Aspen, CO",Slalom,DNF1
04-01-2015,Zagreb,Slalom,DNF1
29-12-2014,Kuehtai in Tirol,Slalom,14
13-12-2014,Are,Slalom,DNQ1
29-12-2011,Lienz,Slalom,DNF1
