datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,DNF1,
16-03-2016,St. Moritz,Downhill,3,6.72
13-03-2016,Kvitfjell,Super G,8,10.48
12-03-2016,Kvitfjell,Downhill,16,15.69
27-02-2016,Hinterstoder,Super G,DNS1,
20-02-2016,Chamonix,Downhill,8,13.62
19-02-2016,Chamonix,Alpine combined,DNS1,
07-02-2016,Jeongseon,Super G,17,23.57
06-02-2016,Jeongseon,Downhill,28,22.44
30-01-2016,Garmisch Partenkirchen,Downhill,DNF1,
23-01-2016,Kitzbuehel,Downhill,11,16.80
22-01-2016,Kitzbuehel,Super G,DNF1,
16-01-2016,Wengen,Downhill,14,27.69
15-01-2016,Wengen,Alpine combined,DNS2,
19-12-2015,Val Gardena / Groeden,Downhill,5,9.80
18-12-2015,Val Gardena / Groeden,Super G,12,17.28
05-12-2015,Beaver Creek,Super G,9,12.11
04-12-2015,Beaver Creek,Downhill,11,17.22
29-11-2015,Lake Louise,Super G,13,16.57
28-11-2015,Lake Louise,Downhill,10,9.79
13-03-2014,Lenzerheide,Super G,17,34.76
12-03-2014,Lenzerheide,Downhill,19,42.17
02-03-2014,Kvitfjell,Super G,9,8.39
01-03-2014,Kvitfjell,Downhill,1,0.00
28-02-2014,Kvitfjell,Downhill,4,4.79
18-01-2014,Wengen,Downhill,DNF1,
29-12-2013,Bormio,Downhill,3,6.12
21-12-2013,Val Gardena / Groeden,Downhill,1,0.00
20-12-2013,Val Gardena / Groeden,Super G,6,15.01
07-12-2013,Beaver Creek,Super G,30,25.05
06-12-2013,Beaver Creek,Downhill,16,15.73
01-12-2013,Lake Louise,Super G,18,19.10
30-11-2013,Lake Louise,Downhill,8,13.46
03-03-2013,Kvitfjell,Super G,DNF1,
02-03-2013,Kvitfjell,Downhill,26,29.21
23-02-2013,Garmisch-Partenkirchen,Downhill,22,16.80
26-01-2013,Kitzbuehel,Downhill,2,1.51
25-01-2013,Kitzbuehel,Super G,5,9.87
19-01-2013,Wengen,Downhill,4,10.52
29-12-2012,Bormio,Downhill,24,23.79
15-12-2012,Val Gardena-Groeden,Downhill,3,3.70
14-12-2012,Val Gardena-Groeden,Super G,14,21.23
01-12-2012,Beaver Creek,Super G,11,17.86
30-11-2012,Beaver Creek,Downhill,15,18.46
25-11-2012,Lake Louise,Super G,11,14.93
24-11-2012,Lake Louise,Downhill,6,14.80
15-03-2012,Schladming,Super G,19,23.36
14-03-2012,Schladming,Downhill,13,20.05
04-03-2012,Kvitfjell,Super G,9,15.45
03-03-2012,Kvitfjell,Downhill,12,17.10
02-03-2012,Kvitfjell,Super G,9,7.12
25-02-2012,Crans Montana,Super G,13,12.13
24-02-2012,Crans Montana,Super G,13,9.34
11-02-2012,Sochi,Downhill,20,17.65
04-02-2012,Chamonix,Downhill,3,6.80
03-02-2012,Chamonix,Downhill,4,0.86
28-01-2012,Garmisch-Partenkirchen,Downhill,2,5.20
21-01-2012,Kitzbuehel,Downhill,11,11.43
14-01-2012,Wengen,Downhill,8,10.45
29-12-2011,Bormio,Downhill,4,6.99
16-12-2011,Val Gardena-Groeden,Super G,33,23.28
03-12-2011,Beaver Creek,Super G,7,10.91
02-12-2011,Beaver Creek,Downhill,17,20.75
27-11-2011,Lake Louise,Super G,6,10.41
26-11-2011,Lake Louise,Downhill,44,26.53
16-03-2011,Lenzerheide,Downhill,13,18.28
13-03-2011,Kvitfjell,Super G,11,10.82
12-03-2011,Kvitfjell,Downhill,12,14.44
11-03-2011,Kvitfjell,Downhill,2,0.62
05-02-2011,Hinterstoder,Super G,DNF1,
29-01-2011,Chamonix,Downhill,19,22.37
22-01-2011,Kitzbuehel,Downhill,16,28.70
21-01-2011,Kitzbuehel,Super G,11,14.80
18-12-2010,Val Gardena-Groeden,Downhill,12,11.01
17-12-2010,Val Gardena-Groeden,Super G,3,9.10
05-12-2010,Beaver Creek,Giant Slalom,DNF1,
04-12-2010,Beaver Creek,Super G,29,28.57
28-11-2010,Lake Louise,Super G,16,13.44
27-11-2010,Lake Louise,Downhill,24,27.39
11-03-2010,Garmisch Partenkirchen,Super G,1,0.00
10-03-2010,Garmisch Partenkirchen,Downhill,3,0.78
07-03-2010,Kvitfjell,Super G,1,0.00
06-03-2010,Kvitfjell,Downhill,9,12.70
23-01-2010,Kitzbuehel,Downhill,14,17.99
22-01-2010,Kitzbuehel,Super G,5,5.30
16-01-2010,Wengen,Downhill,18,22.80
29-12-2009,Bormio,Downhill,DNF1,
19-12-2009,Val Gardena - Groeden,Downhill,11,9.36
18-12-2009,Val Gardena - Groeden,Super G,7,10.24
12-12-2009,Val d'Isere,Super G,DNF1,
05-12-2009,Beaver Creek,Downhill,29,25.89
29-11-2009,Lake Louise,Super G,4,8.55
28-11-2009,Lake Louise,Downhill,21,18.67
13-03-2009,Are,Giant Slalom,DNF1,
12-03-2009,Are,Super G,9,13.28
11-03-2009,Are,Downhill,5,8.99
07-03-2009,Kvitfjell,Downhill,9,12.18
06-03-2009,Kvitfjell,Downhill,10,10.23
24-01-2009,Kitzbuehel,Downhill,15,14.10
23-01-2009,Kitzbuehel,Super G,DNF1,
17-01-2009,Wengen,Downhill,DNF1,
28-12-2008,Bormio,Downhill,6,14.74
20-12-2008,Val Gardena - Groeden,Downhill,5,9.07
19-12-2008,Val Gardena - Groeden,Super G,7,8.70
12-12-2008,Val d'Isere,Super Combined,DNS2,
07-12-2008,Beaver Creek,Giant Slalom,DNQ1,
06-12-2008,Beaver Creek,Super G,13,15.09
05-12-2008,Beaver Creek,Downhill,3,4.45
30-11-2008,Lake Louise,Super G,7,11.68
29-11-2008,Lake Louise,Downhill,10,6.76
26-10-2008,Soelden,Giant Slalom,DNQ1,
14-03-2008,Bormio,Giant Slalom,14,9.88
13-03-2008,Bormio,Super G,6,5.40
08-03-2008,Kranjska Gora,Giant Slalom,DNQ2,
02-03-2008,Kvitfjell,Super G,7,5.94
01-03-2008,Kvitfjell,Downhill,7,14.24
29-02-2008,Kvitfjell,Downhill,21,26.43
23-02-2008,"Whistler, BC",Giant Slalom,23,13.64
21-02-2008,"Whistler, BC",Super G,4,3.45
03-02-2008,Val d'Isere,Super Combined,DNS2,
26-01-2008,Chamonix,Downhill,17,13.60
19-01-2008,Kitzbuehel,Downhill,9,13.65
18-01-2008,Kitzbuehel,Super G,11,10.24
13-01-2008,Wengen,Downhill,31,31.78
11-01-2008,Wengen,Super Combined,DNS2,
05-01-2008,Adelboden,Giant Slalom,DNF1,
29-12-2007,Bormio,Downhill,8,11.42
15-12-2007,Val Gardena-Groeden,Downhill,4,9.72
14-12-2007,Val Gardena-Groeden,Super G,5,2.56
08-12-2007,Bad Kleinkirchheim,Giant Slalom,DNQ1,
03-12-2007,"Beaver Creek, CO",Super G,DNF1,
02-12-2007,"Beaver Creek, CO",Giant Slalom,DNQ1,
30-11-2007,"Beaver Creek, CO",Downhill,15,14.65
29-11-2007,"Beaver Creek, CO",Super Combined,DNS2,
25-11-2007,"Lake Louise, AB",Super G,5,7.62
24-11-2007,"Lake Louise, AB",Downhill,17,11.69
17-03-2007,Lenzerheide,Giant Slalom,16,15.63
15-03-2007,Lenzerheide,Super G,3,4.63
14-03-2007,Lenzerheide,Downhill,21,22.39
11-03-2007,Kvitfjell,Super G,DNF1,
10-03-2007,Kvitfjell,Downhill,2,0.92
09-03-2007,Kvitfjell,Super Combined,DNS,
24-02-2007,Garmisch-Partenkirchen,Downhill,1,0.00
23-02-2007,Garmisch-Partenkirchen,Downhill,3,5.08
20-01-2007,Val d'Isere,Downhill,2,3.02
14-01-2007,Wengen,Super Combined,DNS,
13-01-2007,Wengen,Downhill,18,25.39
06-01-2007,Adelboden,Giant Slalom,DNQ1,
29-12-2006,Bormio,Downhill,15,12.56
28-12-2006,Bormio,Downhill,10,13.27
21-12-2006,Hinterstoder,Giant Slalom,DNQ1,
20-12-2006,Hinterstoder,Super G,14,19.49
17-12-2006,Alta Badia,Giant Slalom,DNQ1,
16-12-2006,Gardena/Groeden,Downhill,21,14.83
15-12-2006,Gardena/Groeden,Super G,14,14.72
10-12-2006,Reiteralm,Super Combined,49,39.33
02-12-2006,"Beaver Creek, CO",Giant Slalom,DNQ1,
01-12-2006,"Beaver Creek, CO",Downhill,DNF1,
30-11-2006,"Beaver Creek, CO",Super Combined,DNS,
26-11-2006,"Lake Louise, AB",Super G,6,9.30
25-11-2006,"Lake Louise, AB",Downhill,23,17.92
16-03-2006,Are,Super G,DNS1,
29-01-2006,Garmisch-Partenkirchen,Super G,DNS1,
21-01-2006,Kitzbuehel,Downhill,5,8.41
20-01-2006,Kitzbuehel,Super G,13,8.23
14-01-2006,Wengen,Downhill,20,31.13
13-01-2006,Wengen,Super Combined,DNS,
07-01-2006,Adelboden,Giant Slalom,DNQ1,
29-12-2005,Bormio,Downhill,16,17.27
21-12-2005,Kranjska Gora,Giant Slalom,DNQ1,
18-12-2005,Alta Badia,Giant Slalom,DNQ1,
17-12-2005,Gardena/Groeden,Downhill,3,3.00
16-12-2005,Gardena/Groeden,Super G,2,3.34
11-12-2005,Val d'Isere,Super Combined,38,
10-12-2005,Val d'Isere,Downhill,7,15.16
03-12-2005,"Beaver Creek, CO",Giant Slalom,21,20.38
02-12-2005,"Beaver Creek, CO",Downhill,6,19.61
01-12-2005,"Beaver Creek, CO",Super G,2,0.54
27-11-2005,"Lake Louise, AB",Super G,11,10.98
26-11-2005,"Lake Louise, AB",Downhill,17,14.51
11-03-2005,Lenzerheide,Super G,6,2.09
10-03-2005,Lenzerheide,Downhill,9,16.95
06-03-2005,Kvitfjell,Super G,6,16.04
05-03-2005,Kvitfjell,Downhill,13,13.93
20-02-2005,Garmisch-Partenkirchen,Super G,11,7.79
19-02-2005,Garmisch-Partenkirchen,Downhill,13,17.68
