datum,kraj,disciplina,mesto,zaostanek
20-03-2016,St. Moritz,Giant Slalom,12,13.81
19-03-2016,St. Moritz,Slalom,3,16.00
07-03-2016,Jasna,Giant Slalom,10,9.89
06-03-2016,Jasna,Slalom,10,25.72
23-02-2016,Stockholm,City Event,2,
15-02-2016,Crans Montana,Slalom,6,5.89
30-01-2016,Maribor,Giant Slalom,DNF2,
17-01-2016,Flachau,Giant Slalom,DNQ1,
15-01-2016,Flachau,Slalom,2,1.31
12-01-2016,Flachau,Slalom,3,7.09
05-01-2016,Santa Caterina Valfurva,Slalom,5,12.97
29-12-2015,Lienz,Slalom,1,0.00
28-12-2015,Lienz,Giant Slalom,8,13.22
20-12-2015,Courchevel,Giant Slalom,9,8.37
13-12-2015,Are,Slalom,2,4.07
12-12-2015,Are,Giant Slalom,6,7.39
29-11-2015,"Aspen, CO",Slalom,2,19.05
28-11-2015,"Aspen, CO",Slalom,3,23.52
27-11-2015,"Aspen, CO",Giant Slalom,9,17.04
24-10-2015,Soelden,Giant Slalom,10,20.51
22-03-2015,Meribel,Giant Slalom,9,20.81
21-03-2015,Meribel,Slalom,2,0.38
14-03-2015,Are,Slalom,6,17.49
13-03-2015,Are,Giant Slalom,11,10.87
22-02-2015,Maribor,Slalom,9,11.26
21-02-2015,Maribor,Giant Slalom,14,14.99
13-01-2015,Flachau,Slalom,1,0.00
04-01-2015,Zagreb,Slalom,4,20.18
29-12-2014,Kuehtai in Tirol,Slalom,4,7.24
28-12-2014,Kuehtai in Tirol,Giant Slalom,20,12.96
13-12-2014,Are,Slalom,3,2.22
12-12-2014,Are,Giant Slalom,18,17.17
30-11-2014,Aspen,Slalom,2,1.30
29-11-2014,Aspen,Giant Slalom,DNF1,
15-11-2014,Levi,Slalom,2,2.13
25-10-2014,Soelden,Giant Slalom,16,24.95
16-03-2014,Lenzerheide,Giant Slalom,13,7.71
15-03-2014,Lenzerheide,Slalom,2,7.17
08-03-2014,Are,Slalom,4,10.65
07-03-2014,Are,Giant Slalom,26,27.48
06-03-2014,Are,Giant Slalom,24,17.45
02-02-2014,Kranjska Gora,Slalom,1,0.00
14-01-2014,Flachau,Slalom,2,4.86
05-01-2014,Bormio,Slalom,10,7.41
29-12-2013,Lienz,Slalom,6,7.67
28-12-2013,Lienz,Giant Slalom,DNF1,
22-12-2013,Val d'Isere,Giant Slalom,DNF1,
17-12-2013,Courchevel,Slalom,2,1.95
15-12-2013,St. Moritz,Giant Slalom,DNF1,
01-12-2013,Beaver Creek,Giant Slalom,24,23.94
16-11-2013,Levi,Slalom,8,10.24
26-10-2013,Soelden,Giant Slalom,24,21.77
17-03-2013,Lenzerheide,Giant Slalom,DNF1,
16-03-2013,Lenzerheide,Slalom,DNF2,
10-03-2013,Ofterschwang,Slalom,6,10.99
09-03-2013,Ofterschwang,Giant Slalom,14,19.48
29-01-2013,City Event Moscow,City Event,5,0.00
27-01-2013,Maribor,Slalom,2,5.69
26-01-2013,Maribor,Giant Slalom,20,14.27
15-01-2013,Flachau,Slalom,2,4.73
04-01-2013,Zagreb,Slalom,2,6.06
01-01-2013,City Event Munich,City Event,9,0.00
29-12-2012,Semmering,Slalom,DNQ1,
28-12-2012,Semmering,Giant Slalom,11,20.66
20-12-2012,Are,Slalom,2,1.71
19-12-2012,Are,Giant Slalom,5,7.59
16-12-2012,Courchevel,Giant Slalom,5,14.05
09-12-2012,St. Moritz,Giant Slalom,11,20.78
25-11-2012,"Aspen, CO",Slalom,13,23.78
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1,
10-11-2012,Levi,Slalom,DNF1,
27-10-2012,Soelden,Giant Slalom,18,32.62
