datum,kraj,disciplina,mesto
13-03-2016,Kvitfjell,Super G,37
12-03-2016,Kvitfjell,Downhill,34
20-02-2016,Chamonix,Downhill,42
07-02-2016,Jeongseon,Super G,38
06-02-2016,Jeongseon,Downhill,35
30-01-2016,Garmisch Partenkirchen,Downhill,DNF1
23-01-2016,Kitzbuehel,Downhill,24
22-01-2016,Kitzbuehel,Super G,48
16-01-2016,Wengen,Downhill,52
29-12-2015,Santa Caterina,Downhill,12
19-12-2015,Val Gardena / Groeden,Downhill,28
18-12-2015,Val Gardena / Groeden,Super G,42
04-12-2015,Beaver Creek,Downhill,37
29-11-2015,Lake Louise,Super G,DNF1
28-11-2015,Lake Louise,Downhill,38
18-03-2015,Meribel,Downhill,21
08-03-2015,Kvitfjell,Super G,DNF1
07-03-2015,Kvitfjell,Downhill,3
28-02-2015,Garmisch Partenkirchen,Downhill,39
22-02-2015,Saalbach,Super G,44
21-02-2015,Saalbach,Downhill,28
24-01-2015,Kitzbuehel,Downhill,7
23-01-2015,Kitzbuehel,Super G,16
18-01-2015,Wengen,Downhill,18
28-12-2014,Santa Caterina,Downhill,28
20-12-2014,Val Gardena / Groeden,Super G,37
19-12-2014,Val Gardena / Groeden,Downhill,22
06-12-2014,Beaver Creek,Super G,19
05-12-2014,Beaver Creek,Downhill,10
30-11-2014,Lake Louise,Super G,28
29-11-2014,Lake Louise,Downhill,7
13-03-2014,Lenzerheide,Super G,13
12-03-2014,Lenzerheide,Downhill,DNF1
02-03-2014,Kvitfjell,Super G,32
01-03-2014,Kvitfjell,Downhill,10
28-02-2014,Kvitfjell,Downhill,35
26-01-2014,Kitzbuehel,Super G,38
25-01-2014,Kitzbuehel,Downhill,DNF1
18-01-2014,Wengen,Downhill,15
29-12-2013,Bormio,Downhill,44
21-12-2013,Val Gardena / Groeden,Downhill,8
20-12-2013,Val Gardena / Groeden,Super G,11
07-12-2013,Beaver Creek,Super G,8
06-12-2013,Beaver Creek,Downhill,8
01-12-2013,Lake Louise,Super G,27
30-11-2013,Lake Louise,Downhill,7
03-03-2013,Kvitfjell,Super G,3
02-03-2013,Kvitfjell,Downhill,14
23-02-2013,Garmisch-Partenkirchen,Downhill,6
26-01-2013,Kitzbuehel,Downhill,11
25-01-2013,Kitzbuehel,Super G,17
19-01-2013,Wengen,Downhill,20
29-12-2012,Bormio,Downhill,6
15-12-2012,Val Gardena-Groeden,Downhill,6
14-12-2012,Val Gardena-Groeden,Super G,3
01-12-2012,Beaver Creek,Super G,5
30-11-2012,Beaver Creek,Downhill,38
25-11-2012,Lake Louise,Super G,5
24-11-2012,Lake Louise,Downhill,20
04-03-2012,Kvitfjell,Super G,17
03-03-2012,Kvitfjell,Downhill,48
02-03-2012,Kvitfjell,Super G,23
25-02-2012,Crans Montana,Super G,18
24-02-2012,Crans Montana,Super G,40
04-02-2012,Chamonix,Downhill,42
03-02-2012,Chamonix,Downhill,43
