datum,kraj,disciplina,mesto,zaostanek
07-03-2016,Jasna,Giant Slalom,DNQ1,
07-02-2016,Garmisch Partenkirchen,Super G,DNF1,
06-02-2016,Garmisch Partenkirchen,Downhill,36,82.84
30-01-2016,Maribor,Giant Slalom,DNQ1,
24-01-2016,Cortina d'Ampezzo,Super G,DNF1,
23-01-2016,Cortina d'Ampezzo,Downhill,31,42.52
17-01-2016,Flachau,Giant Slalom,26,25.50
10-01-2016,Altenmarkt-Zauchensee,Super G,DNF1,
28-12-2015,Lienz,Giant Slalom,DNQ1,
12-12-2015,Are,Giant Slalom,DNQ1,
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1,
24-10-2015,Soelden,Giant Slalom,DNQ1,
13-03-2015,Are,Giant Slalom,DNQ1,
21-02-2015,Maribor,Giant Slalom,DNQ1,
28-12-2014,Kuehtai in Tirol,Giant Slalom,27,22.72
21-12-2014,Val d Isere,Super G,35,72.57
12-12-2014,Are,Giant Slalom,DSQ2,
29-11-2014,Aspen,Giant Slalom,DNF1,
25-10-2014,Soelden,Giant Slalom,DNF1,
07-03-2014,Are,Giant Slalom,DNQ1,
06-03-2014,Are,Giant Slalom,DNF1,
28-12-2013,Lienz,Giant Slalom,DNF1,
22-12-2013,Val d'Isere,Giant Slalom,DNF1,
15-12-2013,St. Moritz,Giant Slalom,DNF1,
01-12-2013,Beaver Creek,Giant Slalom,DNQ1,
26-10-2013,Soelden,Giant Slalom,DNF1,
09-03-2013,Ofterschwang,Giant Slalom,27,24.25
26-01-2013,Maribor,Giant Slalom,DNQ1,
28-12-2012,Semmering,Giant Slalom,DNQ1,
19-12-2012,Are,Giant Slalom,DNF1,
16-12-2012,Courchevel,Giant Slalom,20,30.37
09-12-2012,St. Moritz,Giant Slalom,DNQ1,
24-11-2012,"Aspen, CO",Giant Slalom,DNF1,
27-10-2012,Soelden,Giant Slalom,DNF2,
09-03-2012,Are,Giant Slalom,DNF1,
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1,
28-12-2011,Lienz,Giant Slalom,DNF1,
27-11-2011,Aspen,Slalom,DNF1,
26-11-2011,Aspen,Giant Slalom,DNQ1,
22-10-2011,Soelden,Giant Slalom,DNQ1,
29-12-2010,Semmering,Slalom,DNF1,
