datum,kraj,disciplina,mesto,zaostanek
21-03-2015,Meribel,Slalom,10,11.56
19-03-2015,Meribel,Super G,5,22.17
18-03-2015,Meribel,Downhill,3,4.17
14-03-2015,Are,Slalom,12,21.42
08-03-2015,Garmisch Partenkirchen,Super G,10,22.12
07-03-2015,Garmisch Partenkirchen,Downhill,4,11.64
02-03-2015,Bansko,Super G,4,7.96
01-03-2015,Bansko,Alpine combined,DNF2,
22-02-2015,Maribor,Slalom,DNF1,
25-01-2015,St.Moritz,Super G,3,14.22
24-01-2015,St.Moritz,Downhill,21,22.51
19-01-2015,Cortina d'Ampezzo,Super G,10,23.45
18-01-2015,Cortina d'Ampezzo,Downhill,14,20.20
16-01-2015,Cortina d'Ampezzo,Downhill,19,23.55
13-01-2015,Flachau,Slalom,7,10.91
04-01-2015,Zagreb,Slalom,DNF1,
29-12-2014,Kuehtai in Tirol,Slalom,7,10.10
21-12-2014,Val d Isere,Super G,11,19.60
20-12-2014,Val d Isere,Downhill,14,12.32
13-12-2014,Are,Slalom,DNF1,
07-12-2014,Lake Louise,Super G,11,20.10
06-12-2014,Lake Louise,Downhill,26,22.85
05-12-2014,Lake Louise,Downhill,24,20.16
30-11-2014,Aspen,Slalom,1,0.00
15-11-2014,Levi,Slalom,9,11.38
15-03-2014,Lenzerheide,Slalom,6,10.50
13-03-2014,Lenzerheide,Super G,DNF1,
12-03-2014,Lenzerheide,Downhill,13,35.17
08-03-2014,Are,Slalom,11,22.92
02-03-2014,Crans Montana,Downhill,11,20.55
02-02-2014,Kranjska Gora,Slalom,11,4.61
26-01-2014,Cortina d Ampezzo,Super G,10,16.86
25-01-2014,Cortina d Ampezzo,Downhill,19,17.23
24-01-2014,Cortina d Ampezzo,Downhill,39,50.34
23-01-2014,Cortina d Ampezzo,Super G,3,4.24
14-01-2014,Flachau,Slalom,6,11.66
12-01-2014,Altenmarkt / Zauchensee,Super Combined,4,4.35
11-01-2014,Altenmarkt / Zauchensee,Downhill,5,13.01
05-01-2014,Bormio,Slalom,14,8.39
29-12-2013,Lienz,Slalom,14,15.71
17-12-2013,Courchevel,Slalom,13,12.62
14-12-2013,St. Moritz,Super G,5,13.16
08-12-2013,Lake Louise,Super G,12,16.73
06-12-2013,Lake Louise,Downhill,DNF1,
30-11-2013,Beaver Creek,Super G,3,14.86
29-11-2013,Beaver Creek,Downhill,24,35.45
16-11-2013,Levi,Slalom,13,12.88
16-03-2013,Lenzerheide,Slalom,DSQ1,
10-03-2013,Ofterschwang,Slalom,9,11.87
03-03-2013,Garmisch-Partenkirchen,Super G,6,10.57
01-03-2013,Garmisch-Partenkirchen,Super G,5,3.81
24-02-2013,Meribel,Super Combined,2,7.34
29-01-2013,City Event Moscow,City Event,9,0.00
27-01-2013,Maribor,Slalom,7,12.71
20-01-2013,Cortina d'Ampezzo,Super G,38,51.64
19-01-2013,Cortina d'Ampezzo,Downhill,34,50.20
15-01-2013,Flachau,Slalom,18,17.86
13-01-2013,St. Anton,Super G,28,44.03
04-01-2013,Zagreb,Slalom,11,19.81
01-01-2013,City Event Munich,City Event,9,0.00
29-12-2012,Semmering,Slalom,17,17.72
20-12-2012,Are,Slalom,16,19.30
19-12-2012,Are,Giant Slalom,DNQ1,
16-12-2012,Courchevel,Giant Slalom,DNQ1,
09-12-2012,St. Moritz,Giant Slalom,DNF1,
08-12-2012,St. Moritz,Super G,33,46.72
07-12-2012,St. Moritz,Super Combined,2,7.73
02-12-2012,Lake Louise,Super G,DNF1,
25-11-2012,"Aspen, CO",Slalom,DNF1,
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1,
10-11-2012,Levi,Slalom,17,14.00
