datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,13
16-03-2016,St. Moritz,Downhill,15
13-03-2016,Kvitfjell,Super G,15
12-03-2016,Kvitfjell,Downhill,26
27-02-2016,Hinterstoder,Super G,12
20-02-2016,Chamonix,Downhill,30
19-02-2016,Chamonix,Alpine combined,33
07-02-2016,Jeongseon,Super G,2
06-02-2016,Jeongseon,Downhill,21
30-01-2016,Garmisch Partenkirchen,Downhill,4
23-01-2016,Kitzbuehel,Downhill,19
22-01-2016,Kitzbuehel,Alpine combined,14
22-01-2016,Kitzbuehel,Super G,21
16-01-2016,Wengen,Downhill,5
15-01-2016,Wengen,Alpine combined,DNF2
29-12-2015,Santa Caterina,Downhill,4
19-12-2015,Val Gardena / Groeden,Downhill,40
18-12-2015,Val Gardena / Groeden,Super G,21
05-12-2015,Beaver Creek,Super G,14
04-12-2015,Beaver Creek,Downhill,7
29-11-2015,Lake Louise,Super G,23
28-11-2015,Lake Louise,Downhill,12
24-01-2015,Kitzbuehel,Downhill,6
23-01-2015,Kitzbuehel,Alpine combined,DNS2
23-01-2015,Kitzbuehel,Super G,9
18-01-2015,Wengen,Downhill,26
16-01-2015,Wengen,Alpine combined,19
28-12-2014,Santa Caterina,Downhill,18
20-12-2014,Val Gardena / Groeden,Super G,5
19-12-2014,Val Gardena / Groeden,Downhill,23
06-12-2014,Beaver Creek,Super G,20
05-12-2014,Beaver Creek,Downhill,27
30-11-2014,Lake Louise,Super G,48
29-11-2014,Lake Louise,Downhill,52
13-03-2014,Lenzerheide,Super G,6
12-03-2014,Lenzerheide,Downhill,2
02-03-2014,Kvitfjell,Super G,DNF1
01-03-2014,Kvitfjell,Downhill,15
28-02-2014,Kvitfjell,Downhill,14
26-01-2014,Kitzbuehel,Super Combined,12
26-01-2014,Kitzbuehel,Super G,25
25-01-2014,Kitzbuehel,Downhill,5
18-01-2014,Wengen,Downhill,21
17-01-2014,Wengen,Super Combined,7
29-12-2013,Bormio,Downhill,6
21-12-2013,Val Gardena / Groeden,Downhill,36
20-12-2013,Val Gardena / Groeden,Super G,9
07-12-2013,Beaver Creek,Super G,21
06-12-2013,Beaver Creek,Downhill,14
01-12-2013,Lake Louise,Super G,4
30-11-2013,Lake Louise,Downhill,14
16-03-2013,Lenzerheide,Giant Slalom,DNF1
03-03-2013,Kvitfjell,Super G,DNF1
02-03-2013,Kvitfjell,Downhill,10
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNS1
23-02-2013,Garmisch-Partenkirchen,Downhill,1
26-01-2013,Kitzbuehel,Downhill,20
25-01-2013,Kitzbuehel,Super G,3
19-01-2013,Wengen,Downhill,1
18-01-2013,Wengen,Super Combined,5
29-12-2012,Bormio,Downhill,9
15-12-2012,Val Gardena-Groeden,Downhill,34
14-12-2012,Val Gardena-Groeden,Super G,10
01-12-2012,Beaver Creek,Super G,17
30-11-2012,Beaver Creek,Downhill,1
25-11-2012,Lake Louise,Super G,24
24-11-2012,Lake Louise,Downhill,27
17-03-2012,Schladming,Giant Slalom,22
15-03-2012,Schladming,Super G,1
14-03-2012,Schladming,Downhill,11
10-03-2012,Kranjska Gora,Giant Slalom,DNQ1
04-03-2012,Kvitfjell,Super G,16
03-03-2012,Kvitfjell,Downhill,14
02-03-2012,Kvitfjell,Super G,17
26-02-2012,Crans Montana,Giant Slalom,DNF1
25-02-2012,Crans Montana,Super G,16
24-02-2012,Crans Montana,Super G,6
21-02-2012,Moscow,City Event,9
12-02-2012,Sochi,Super Combined,8
11-02-2012,Sochi,Downhill,DNF1
05-02-2012,Chamonix,Super Combined,10
04-02-2012,Chamonix,Downhill,25
03-02-2012,Chamonix,Downhill,31
28-01-2012,Garmisch-Partenkirchen,Downhill,4
