datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Giant Slalom,19
17-03-2016,St. Moritz,Super G,15
16-03-2016,St. Moritz,Downhill,8
13-03-2016,Kvitfjell,Super G,7
12-03-2016,Kvitfjell,Downhill,13
05-03-2016,Kranjska Gora,Giant Slalom,22
04-03-2016,Kranjska Gora,Giant Slalom,12
28-02-2016,Hinterstoder,Giant Slalom,7
27-02-2016,Hinterstoder,Super G,5
26-02-2016,Hinterstoder,Giant Slalom,22
20-02-2016,Chamonix,Downhill,23
19-02-2016,Chamonix,Alpine combined,6
07-02-2016,Jeongseon,Super G,1
06-02-2016,Jeongseon,Downhill,7
30-01-2016,Garmisch Partenkirchen,Downhill,26
23-01-2016,Kitzbuehel,Downhill,3
22-01-2016,Kitzbuehel,Super G,9
22-01-2016,Kitzbuehel,Alpine combined,4
16-01-2016,Wengen,Downhill,8
15-01-2016,Wengen,Alpine combined,DNF2
29-12-2015,Santa Caterina,Downhill,12
19-12-2015,Val Gardena / Groeden,Downhill,24
18-12-2015,Val Gardena / Groeden,Super G,30
05-12-2015,Beaver Creek,Super G,8
04-12-2015,Beaver Creek,Downhill,5
29-11-2015,Lake Louise,Super G,DNF1
28-11-2015,Lake Louise,Downhill,5
21-03-2015,Meribel,Giant Slalom,15
19-03-2015,Meribel,Super G,DNF1
18-03-2015,Meribel,Downhill,16
14-03-2015,Kranjska Gora,Giant Slalom,16
08-03-2015,Kvitfjell,Super G,8
07-03-2015,Kvitfjell,Downhill,37
01-03-2015,Garmisch Partenkirchen,Giant Slalom,6
28-02-2015,Garmisch Partenkirchen,Downhill,23
22-02-2015,Saalbach,Super G,4
21-02-2015,Saalbach,Downhill,4
24-01-2015,Kitzbuehel,Downhill,22
23-01-2015,Kitzbuehel,Alpine combined,6
23-01-2015,Kitzbuehel,Super G,21
18-01-2015,Wengen,Downhill,3
16-01-2015,Wengen,Alpine combined,1
10-01-2015,Adelboden,Giant Slalom,21
28-12-2014,Santa Caterina,Downhill,14
21-12-2014,Alta Badia,Giant Slalom,20
20-12-2014,Val Gardena / Groeden,Super G,6
19-12-2014,Val Gardena / Groeden,Downhill,21
12-12-2014,Are,Giant Slalom,16
07-12-2014,Beaver Creek,Giant Slalom,7
06-12-2014,Beaver Creek,Super G,9
05-12-2014,Beaver Creek,Downhill,26
30-11-2014,Lake Louise,Super G,24
29-11-2014,Lake Louise,Downhill,23
26-10-2014,Soelden,Giant Slalom,11
15-03-2014,Lenzerheide,Giant Slalom,16
13-03-2014,Lenzerheide,Super G,7
12-03-2014,Lenzerheide,Downhill,9
08-03-2014,Kranjska Gora,Giant Slalom,DNF1
02-03-2014,Kvitfjell,Super G,39
01-03-2014,Kvitfjell,Downhill,45
28-02-2014,Kvitfjell,Downhill,33
02-02-2014,St. Moritz,Giant Slalom,24
26-01-2014,Kitzbuehel,Super Combined,8
26-01-2014,Kitzbuehel,Super G,8
25-01-2014,Kitzbuehel,Downhill,6
18-01-2014,Wengen,Downhill,DNF1
17-01-2014,Wengen,Super Combined,11
11-01-2014,Adelboden,Giant Slalom,20
29-12-2013,Bormio,Downhill,24
22-12-2013,Alta Badia,Giant Slalom,22
21-12-2013,Val Gardena / Groeden,Downhill,21
20-12-2013,Val Gardena / Groeden,Super G,16
14-12-2013,Val d'Isere,Giant Slalom,12
08-12-2013,Beaver Creek,Giant Slalom,6
07-12-2013,Beaver Creek,Super G,12
06-12-2013,Beaver Creek,Downhill,23
01-12-2013,Lake Louise,Super G,13
30-11-2013,Lake Louise,Downhill,10
03-03-2013,Kvitfjell,Super G,15
02-03-2013,Kvitfjell,Downhill,40
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNQ1
23-02-2013,Garmisch-Partenkirchen,Downhill,30
27-01-2013,Kitzbuehel,Super Combined,10
26-01-2013,Kitzbuehel,Downhill,21
25-01-2013,Kitzbuehel,Super G,38
19-01-2013,Wengen,Downhill,DNF1
18-01-2013,Wengen,Super Combined,3
12-01-2013,Adelboden,Giant Slalom,DNF1
16-12-2012,Alta Badia,Giant Slalom,DNQ1
15-12-2012,Val Gardena-Groeden,Downhill,47
14-12-2012,Val Gardena-Groeden,Super G,35
09-12-2012,Val d'Isere,Giant Slalom,DNQ1
02-12-2012,Beaver Creek,Giant Slalom,24
01-12-2012,Beaver Creek,Super G,18
30-11-2012,Beaver Creek,Downhill,11
