datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Giant Slalom,14
17-03-2016,St. Moritz,Super G,2
16-03-2016,St. Moritz,Downhill,4
13-03-2016,Kvitfjell,Super G,1
12-03-2016,Kvitfjell,Downhill,5
28-02-2016,Hinterstoder,Giant Slalom,29
27-02-2016,Hinterstoder,Super G,9
26-02-2016,Hinterstoder,Giant Slalom,24
23-02-2016,Stockholm,City Event,5
20-02-2016,Chamonix,Downhill,21
19-02-2016,Chamonix,Alpine combined,5
07-02-2016,Jeongseon,Super G,DNF1
06-02-2016,Jeongseon,Downhill,1
30-01-2016,Garmisch Partenkirchen,Downhill,17
23-01-2016,Kitzbuehel,Downhill,14
22-01-2016,Kitzbuehel,Alpine combined,13
22-01-2016,Kitzbuehel,Super G,4
16-01-2016,Wengen,Downhill,12
15-01-2016,Wengen,Alpine combined,1
29-12-2015,Santa Caterina,Downhill,27
21-12-2015,Alta Badia,Parallel Giant Slalom,1
20-12-2015,Alta Badia,Giant Slalom,DNQ1
19-12-2015,Val Gardena / Groeden,Downhill,3
18-12-2015,Val Gardena / Groeden,Super G,2
06-12-2015,Beaver Creek,Giant Slalom,15
05-12-2015,Beaver Creek,Super G,55
04-12-2015,Beaver Creek,Downhill,2
29-11-2015,Lake Louise,Super G,7
28-11-2015,Lake Louise,Downhill,9
25-10-2015,Soelden,Giant Slalom,25
21-03-2015,Meribel,Giant Slalom,11
19-03-2015,Meribel,Super G,2
18-03-2015,Meribel,Downhill,1
14-03-2015,Kranjska Gora,Giant Slalom,23
08-03-2015,Kvitfjell,Super G,1
07-03-2015,Kvitfjell,Downhill,7
01-03-2015,Garmisch Partenkirchen,Giant Slalom,15
28-02-2015,Garmisch Partenkirchen,Downhill,19
22-02-2015,Saalbach,Super G,3
21-02-2015,Saalbach,Downhill,14
24-01-2015,Kitzbuehel,Downhill,1
23-01-2015,Kitzbuehel,Alpine combined,9
23-01-2015,Kitzbuehel,Super G,7
18-01-2015,Wengen,Downhill,5
16-01-2015,Wengen,Alpine combined,DNF2
10-01-2015,Adelboden,Giant Slalom,DNF2
28-12-2014,Santa Caterina,Downhill,17
21-12-2014,Alta Badia,Giant Slalom,14
20-12-2014,Val Gardena / Groeden,Super G,1
19-12-2014,Val Gardena / Groeden,Downhill,2
12-12-2014,Are,Giant Slalom,DNF1
07-12-2014,Beaver Creek,Giant Slalom,15
06-12-2014,Beaver Creek,Super G,2
05-12-2014,Beaver Creek,Downhill,1
30-11-2014,Lake Louise,Super G,1
29-11-2014,Lake Louise,Downhill,1
26-10-2014,Soelden,Giant Slalom,15
15-03-2014,Lenzerheide,Giant Slalom,DNS1
13-03-2014,Lenzerheide,Super G,8
12-03-2014,Lenzerheide,Downhill,12
08-03-2014,Kranjska Gora,Giant Slalom,DNF2
02-03-2014,Kvitfjell,Super G,1
01-03-2014,Kvitfjell,Downhill,5
28-02-2014,Kvitfjell,Downhill,1
02-02-2014,St. Moritz,Giant Slalom,13
26-01-2014,Kitzbuehel,Super Combined,10
26-01-2014,Kitzbuehel,Super G,11
25-01-2014,Kitzbuehel,Downhill,9
18-01-2014,Wengen,Downhill,13
17-01-2014,Wengen,Super Combined,21
12-01-2014,Adelboden,Slalom,DNF1
11-01-2014,Adelboden,Giant Slalom,DNF1
29-12-2013,Bormio,Downhill,34
22-12-2013,Alta Badia,Giant Slalom,DNF1
21-12-2013,Val Gardena / Groeden,Downhill,2
20-12-2013,Val Gardena / Groeden,Super G,4
08-12-2013,Beaver Creek,Giant Slalom,17
07-12-2013,Beaver Creek,Super G,9
06-12-2013,Beaver Creek,Downhill,12
01-12-2013,Lake Louise,Super G,11
30-11-2013,Lake Louise,Downhill,21
27-01-2013,Kitzbuehel,Super Combined,6
26-01-2013,Kitzbuehel,Downhill,7
25-01-2013,Kitzbuehel,Super G,4
19-01-2013,Wengen,Downhill,22
18-01-2013,Wengen,Super Combined,DNF2
12-01-2013,Adelboden,Giant Slalom,15
29-12-2012,Bormio,Downhill,37
16-12-2012,Alta Badia,Giant Slalom,20
15-12-2012,Val Gardena-Groeden,Downhill,4
14-12-2012,Val Gardena-Groeden,Super G,4
09-12-2012,Val d'Isere,Giant Slalom,15
02-12-2012,Beaver Creek,Giant Slalom,7
01-12-2012,Beaver Creek,Super G,6
30-11-2012,Beaver Creek,Downhill,3
25-11-2012,Lake Louise,Super G,17
24-11-2012,Lake Louise,Downhill,9
28-10-2012,Soelden,Giant Slalom,15
17-03-2012,Schladming,Giant Slalom,13
15-03-2012,Schladming,Super G,8
14-03-2012,Schladming,Downhill,DNF1
10-03-2012,Kranjska Gora,Giant Slalom,12
04-03-2012,Kvitfjell,Super G,1
03-03-2012,Kvitfjell,Downhill,2
02-03-2012,Kvitfjell,Super G,3
26-02-2012,Crans Montana,Giant Slalom,21
25-02-2012,Crans Montana,Super G,7
24-02-2012,Crans Montana,Super G,17
18-02-2012,Bansko,Giant Slalom,23
12-02-2012,Sochi,Super Combined,9
11-02-2012,Sochi,Downhill,7
