datum,kraj,disciplina,mesto
19-03-2015,Meribel,Super G,19
08-03-2015,Garmisch Partenkirchen,Super G,35
07-03-2015,Garmisch Partenkirchen,Downhill,26
02-03-2015,Bansko,Super G,40
25-01-2015,St.Moritz,Super G,12
24-01-2015,St.Moritz,Downhill,38
19-01-2015,Cortina d'Ampezzo,Super G,20
18-01-2015,Cortina d'Ampezzo,Downhill,31
16-01-2015,Cortina d'Ampezzo,Downhill,33
21-12-2014,Val d Isere,Super G,9
20-12-2014,Val d Isere,Downhill,17
07-12-2014,Lake Louise,Super G,32
06-12-2014,Lake Louise,Downhill,21
05-12-2014,Lake Louise,Downhill,15
26-01-2014,Cortina d Ampezzo,Super G,9
25-01-2014,Cortina d Ampezzo,Downhill,30
24-01-2014,Cortina d Ampezzo,Downhill,29
23-01-2014,Cortina d Ampezzo,Super G,24
12-01-2014,Altenmarkt / Zauchensee,Super Combined,DNS2
11-01-2014,Altenmarkt / Zauchensee,Downhill,21
21-12-2013,Val d'Isere,Downhill,DNF1
14-12-2013,St. Moritz,Super G,30
08-12-2013,Lake Louise,Super G,26
07-12-2013,Lake Louise,Downhill,22
06-12-2013,Lake Louise,Downhill,20
30-11-2013,Beaver Creek,Super G,39
29-11-2013,Beaver Creek,Downhill,14
03-03-2013,Garmisch-Partenkirchen,Super G,14
02-03-2013,Garmisch-Partenkirchen,Downhill,28
01-03-2013,Garmisch-Partenkirchen,Super G,DNF1
24-02-2013,Meribel,Super Combined,13
23-02-2013,Meribel,Downhill,3
20-01-2013,Cortina d'Ampezzo,Super G,9
19-01-2013,Cortina d'Ampezzo,Downhill,DNF1
13-01-2013,St. Anton,Super G,24
12-01-2013,St. Anton,Downhill,DNF1
14-12-2012,Val d'Isere,Downhill,4
08-12-2012,St. Moritz,Super G,27
07-12-2012,St. Moritz,Super Combined,DNF2
02-12-2012,Lake Louise,Super G,18
01-12-2012,Lake Louise,Downhill,4
30-11-2012,Lake Louise,Downhill,16
15-03-2012,Schladming,Super G,DNF1
14-03-2012,Schladming,Downhill,17
26-02-2012,Bansko,Super G,26
18-02-2012,Sochi,Downhill,8
05-02-2012,Garmisch-Partenkirchen,Super G,6
04-02-2012,Garmisch-Partenkirchen,Downhill,8
29-01-2012,St. Moritz,Super Combined,28
28-01-2012,St. Moritz,Downhill,5
27-01-2012,St. Moritz,Super Combined,DNF2
15-01-2012,Cortina d'Ampezzo,Super G,28
14-01-2012,Cortina d'Ampezzo,Downhill,14
08-01-2012,Bad Kleinkirchheim,Super G,20
07-01-2012,Bad Kleinkirchheim,Downhill,DNF1
07-12-2011,Beaver Creek,Super G,25
04-12-2011,Lake Louise,Super G,28
03-12-2011,Lake Louise,Downhill,2
02-12-2011,Lake Louise,Downhill,24
16-03-2011,Lenzerheide,Downhill,12
06-03-2011,Tarvisio,Super G,17
05-03-2011,Tarvisio,Downhill,19
04-03-2011,Tarvisio,Super Combined,38
27-02-2011,Are,Super G,24
26-02-2011,Are,Downhill,28
25-02-2011,Are,Super Combined,35
23-01-2011,Cortina d Ampezzo,Super G,12
22-01-2011,Cortina d Ampezzo,Downhill,7
21-01-2011,Cortina d Ampezzo,Super G,18
09-01-2011,Zauchensee,Super G,20
08-01-2011,Zauchensee,Downhill,29
19-12-2010,Val d'Isere,Super Combined,20
18-12-2010,Val d'Isere,Downhill,25
05-12-2010,Lake Louise,Super G,15
04-12-2010,Lake Louise,Downhill,13
03-12-2010,Lake Louise,Downhill,19
12-03-2010,Garmisch Partenkirchen,Super G,10
10-03-2010,Garmisch Partenkirchen,Downhill,17
07-03-2010,Crans Montana,Super G,9
06-03-2010,Crans Montana,Downhill,15
31-01-2010,St. Moritz,Super G,2
30-01-2010,St. Moritz,Downhill,DNF1
29-01-2010,St. Moritz,Super Combined,6
23-01-2010,Cortina d'Ampezzo,Downhill,12
22-01-2010,Cortina d'Ampezzo,Super G,23
10-01-2010,Haus im Ennstal,Super G,25
09-01-2010,Haus im Ennstal,Downhill,26
08-01-2010,Haus im Ennstal,Downhill,6
20-12-2009,Val d'Isere,Super G,DNF1
18-12-2009,Val d'Isere,Super Combined,DNS1
06-12-2009,Lake Louise,Super G,10
05-12-2009,Lake Louise,Downhill,14
04-12-2009,Lake Louise,Downhill,28
24-10-2009,Soelden,Giant Slalom,DNQ1
14-03-2009,Are,Giant Slalom,18
12-03-2009,Are,Super G,9
