datum,kraj,disciplina,mesto
07-03-2015,Garmisch Partenkirchen,Downhill,23
25-01-2015,St.Moritz,Super G,DNF1
24-01-2015,St.Moritz,Downhill,6
18-01-2015,Cortina d'Ampezzo,Downhill,DNF1
16-01-2015,Cortina d'Ampezzo,Downhill,40
12-03-2014,Lenzerheide,Downhill,20
02-03-2014,Crans Montana,Downhill,22
26-01-2014,Cortina d Ampezzo,Super G,24
25-01-2014,Cortina d Ampezzo,Downhill,22
24-01-2014,Cortina d Ampezzo,Downhill,DNF1
23-01-2014,Cortina d Ampezzo,Super G,24
11-01-2014,Altenmarkt / Zauchensee,Downhill,19
21-12-2013,Val d'Isere,Downhill,13
14-12-2013,St. Moritz,Super G,35
08-12-2013,Lake Louise,Super G,DSQ1
07-12-2013,Lake Louise,Downhill,DNF1
06-12-2013,Lake Louise,Downhill,5
30-11-2013,Beaver Creek,Super G,42
29-11-2013,Beaver Creek,Downhill,30
02-03-2013,Garmisch-Partenkirchen,Downhill,DNS1
01-03-2013,Garmisch-Partenkirchen,Super G,DNF1
23-02-2013,Meribel,Downhill,6
20-01-2013,Cortina d'Ampezzo,Super G,DNF1
19-01-2013,Cortina d'Ampezzo,Downhill,DNF1
13-01-2013,St. Anton,Super G,32
12-01-2013,St. Anton,Downhill,12
14-12-2012,Val d'Isere,Downhill,3
08-12-2012,St. Moritz,Super G,37
02-12-2012,Lake Louise,Super G,47
01-12-2012,Lake Louise,Downhill,14
30-11-2012,Lake Louise,Downhill,6
14-03-2012,Schladming,Downhill,8
26-02-2012,Bansko,Super G,33
18-02-2012,Sochi,Downhill,DNF1
05-02-2012,Garmisch-Partenkirchen,Super G,25
04-02-2012,Garmisch-Partenkirchen,Downhill,2
29-01-2012,St. Moritz,Super Combined,DNF1
28-01-2012,St. Moritz,Downhill,12
27-01-2012,St. Moritz,Super Combined,DNS2
15-01-2012,Cortina d'Ampezzo,Super G,31
14-01-2012,Cortina d'Ampezzo,Downhill,36
26-02-2011,Are,Downhill,DNF1
25-02-2011,Are,Super Combined,30
23-01-2011,Cortina d Ampezzo,Super G,18
22-01-2011,Cortina d Ampezzo,Downhill,5
21-01-2011,Cortina d Ampezzo,Super G,14
09-01-2011,Zauchensee,Super G,11
08-01-2011,Zauchensee,Downhill,11
02-01-2011,Muenchen,City Event,9
19-12-2010,Val d'Isere,Super Combined,33
18-12-2010,Val d'Isere,Downhill,2
05-12-2010,Lake Louise,Super G,30
04-12-2010,Lake Louise,Downhill,DNF1
03-12-2010,Lake Louise,Downhill,23
12-03-2010,Garmisch Partenkirchen,Super G,7
10-03-2010,Garmisch Partenkirchen,Downhill,4
07-03-2010,Crans Montana,Super G,20
06-03-2010,Crans Montana,Downhill,9
31-01-2010,St. Moritz,Super G,28
30-01-2010,St. Moritz,Downhill,DNF1
29-01-2010,St. Moritz,Super Combined,15
23-01-2010,Cortina d'Ampezzo,Downhill,3
22-01-2010,Cortina d'Ampezzo,Super G,13
10-01-2010,Haus im Ennstal,Super G,7
09-01-2010,Haus im Ennstal,Downhill,2
08-01-2010,Haus im Ennstal,Downhill,9
20-12-2009,Val d'Isere,Super G,30
18-12-2009,Val d'Isere,Super Combined,DNF1
06-12-2009,Lake Louise,Super G,18
05-12-2009,Lake Louise,Downhill,29
04-12-2009,Lake Louise,Downhill,15
12-03-2009,Are,Super G,13
01-03-2009,Bansko,Super G,28
28-02-2009,Bansko,Downhill,DNS1
27-02-2009,Bansko,Downhill,DNS1
22-02-2009,Tarvisio,Super G,6
21-02-2009,Tarvisio,Downhill,4
20-02-2009,Tarvisio,Super Combined,10
01-02-2009,Garmisch Partenkirchen,Super G,36
26-01-2009,Cortina d'Ampezzo,Super G,6
24-01-2009,Cortina d'Ampezzo,Downhill,21
28-12-2008,Semmering,Giant Slalom,DNQ1
20-12-2008,St. Moritz,Super G,17
10-02-2008,Sestriere,Super G,28
03-02-2008,St. Moritz,Super G,25
21-01-2008,Cortina d'Ampezzo,Super G,22
20-01-2008,Cortina d'Ampezzo,Super G,25
28-12-2007,Lienz,Giant Slalom,DNQ1
16-12-2007,St. Moritz,Super G,DNF1
28-12-2005,Lienz,Giant Slalom,DNQ1
07-01-2005,Santa Caterina,Downhill,36
