datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Kvitfjell,Super G,28,21.32
12-03-2016,Kvitfjell,Downhill,37,36.56
06-03-2016,Kranjska Gora,Slalom,DNQ1,
05-03-2016,Kranjska Gora,Giant Slalom,DNF1,
04-03-2016,Kranjska Gora,Giant Slalom,DNF1,
28-02-2016,Hinterstoder,Giant Slalom,DNQ1,
27-02-2016,Hinterstoder,Super G,10,15.26
26-02-2016,Hinterstoder,Giant Slalom,DNQ1,
20-02-2016,Chamonix,Downhill,DNF1,
19-02-2016,Chamonix,Alpine combined,25,33.48
07-02-2016,Jeongseon,Super G,18,24.07
06-02-2016,Jeongseon,Downhill,46,39.33
30-01-2016,Garmisch Partenkirchen,Downhill,34,23.85
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,12,26.96
22-01-2016,Kitzbuehel,Super G,22,25.12
16-01-2016,Wengen,Downhill,37,45.04
15-01-2016,Wengen,Alpine combined,7,8.17
29-12-2015,Santa Caterina,Downhill,29,34.84
20-12-2015,Alta Badia,Giant Slalom,DNQ1,
19-12-2015,Val Gardena / Groeden,Downhill,46,36.04
18-12-2015,Val Gardena / Groeden,Super G,32,26.47
05-12-2015,Beaver Creek,Super G,47,38.10
04-12-2015,Beaver Creek,Downhill,19,20.40
29-11-2015,Lake Louise,Super G,33,28.06
28-11-2015,Lake Louise,Downhill,44,33.32
25-10-2015,Soelden,Giant Slalom,DNF1,
14-03-2015,Kranjska Gora,Giant Slalom,DNQ1,
08-03-2015,Kvitfjell,Super G,32,29.15
28-02-2015,Garmisch Partenkirchen,Downhill,46,27.99
22-02-2015,Saalbach,Super G,DNF1,
21-02-2015,Saalbach,Downhill,23,26.06
24-01-2015,Kitzbuehel,Downhill,14,14.19
23-01-2015,Kitzbuehel,Alpine combined,15,21.42
23-01-2015,Kitzbuehel,Super G,29,25.92
18-01-2015,Wengen,Downhill,32,25.22
16-01-2015,Wengen,Alpine combined,DSQ2,
28-12-2014,Santa Caterina,Downhill,49,41.12
20-12-2014,Val Gardena / Groeden,Super G,22,18.41
19-12-2014,Val Gardena / Groeden,Downhill,44,47.89
06-12-2014,Beaver Creek,Super G,34,40.21
05-12-2014,Beaver Creek,Downhill,37,28.95
30-11-2014,Lake Louise,Super G,52,37.32
29-11-2014,Lake Louise,Downhill,62,50.93
08-03-2014,Kranjska Gora,Giant Slalom,DNQ1,
26-01-2014,Kitzbuehel,Super G,70,37.45
26-01-2014,Kitzbuehel,Super Combined,33,49.06
17-01-2014,Wengen,Super Combined,22,30.07
29-12-2013,Bormio,Downhill,56,43.95
21-12-2013,Val Gardena / Groeden,Downhill,58,53.67
20-12-2013,Val Gardena / Groeden,Super G,51,55.67
08-12-2013,Beaver Creek,Giant Slalom,DNQ1,
07-12-2013,Beaver Creek,Super G,40,34.43
06-12-2013,Beaver Creek,Downhill,53,54.41
01-12-2013,Lake Louise,Super G,59,45.31
30-11-2013,Lake Louise,Downhill,60,66.94
03-03-2013,Kvitfjell,Super G,39,36.84
02-03-2013,Kvitfjell,Downhill,46,47.51
23-02-2013,Garmisch-Partenkirchen,Downhill,40,29.41
26-01-2013,Kitzbuehel,Downhill,38,53.14
25-01-2013,Kitzbuehel,Super G,41,45.54
20-01-2013,Wengen,Slalom,DNQ1,
18-01-2013,Wengen,Super Combined,14,17.08
16-12-2012,Alta Badia,Giant Slalom,DNQ1,
02-12-2012,Beaver Creek,Giant Slalom,DNQ1,
01-12-2012,Beaver Creek,Super G,44,42.18
25-11-2012,Lake Louise,Super G,59,49.54
10-03-2012,Kranjska Gora,Giant Slalom,DSQ1,
25-02-2012,Crans Montana,Super G,36,43.69
24-02-2012,Crans Montana,Super G,41,36.89
06-03-2011,Kranjska Gora,Slalom,DNF1,
