datum,kraj,disciplina,mesto
16-03-2016,St. Moritz,Downhill,20
13-03-2016,Kvitfjell,Super G,29
12-03-2016,Kvitfjell,Downhill,15
27-02-2016,Hinterstoder,Super G,42
20-02-2016,Chamonix,Downhill,16
07-02-2016,Jeongseon,Super G,33
06-02-2016,Jeongseon,Downhill,24
30-01-2016,Garmisch Partenkirchen,Downhill,30
23-01-2016,Kitzbuehel,Downhill,DNF1
22-01-2016,Kitzbuehel,Super G,27
16-01-2016,Wengen,Downhill,3
29-12-2015,Santa Caterina,Downhill,19
19-12-2015,Val Gardena / Groeden,Downhill,18
18-12-2015,Val Gardena / Groeden,Super G,28
04-12-2015,Beaver Creek,Downhill,28
29-11-2015,Lake Louise,Super G,36
28-11-2015,Lake Louise,Downhill,14
18-03-2015,Meribel,Downhill,13
07-03-2015,Kvitfjell,Downhill,11
28-02-2015,Garmisch Partenkirchen,Downhill,41
21-02-2015,Saalbach,Downhill,29
24-01-2015,Kitzbuehel,Downhill,27
23-01-2015,Kitzbuehel,Super G,DNF1
18-01-2015,Wengen,Downhill,DNF1
28-12-2014,Santa Caterina,Downhill,27
20-12-2014,Val Gardena / Groeden,Super G,36
19-12-2014,Val Gardena / Groeden,Downhill,19
05-12-2014,Beaver Creek,Downhill,14
29-11-2014,Lake Louise,Downhill,13
12-03-2014,Lenzerheide,Downhill,16
02-03-2014,Kvitfjell,Super G,21
01-03-2014,Kvitfjell,Downhill,14
28-02-2014,Kvitfjell,Downhill,18
26-01-2014,Kitzbuehel,Super G,30
25-01-2014,Kitzbuehel,Downhill,17
18-01-2014,Wengen,Downhill,17
29-12-2013,Bormio,Downhill,27
21-12-2013,Val Gardena / Groeden,Downhill,20
20-12-2013,Val Gardena / Groeden,Super G,DNF1
07-12-2013,Beaver Creek,Super G,25
06-12-2013,Beaver Creek,Downhill,25
01-12-2013,Lake Louise,Super G,37
30-11-2013,Lake Louise,Downhill,2
03-03-2013,Kvitfjell,Super G,9
02-03-2013,Kvitfjell,Downhill,3
23-02-2013,Garmisch-Partenkirchen,Downhill,3
26-01-2013,Kitzbuehel,Downhill,6
25-01-2013,Kitzbuehel,Super G,16
19-01-2013,Wengen,Downhill,2
29-12-2012,Bormio,Downhill,4
15-12-2012,Val Gardena-Groeden,Downhill,29
14-12-2012,Val Gardena-Groeden,Super G,7
01-12-2012,Beaver Creek,Super G,23
30-11-2012,Beaver Creek,Downhill,9
25-11-2012,Lake Louise,Super G,15
24-11-2012,Lake Louise,Downhill,3
15-03-2012,Schladming,Super G,17
14-03-2012,Schladming,Downhill,7
04-03-2012,Kvitfjell,Super G,4
03-03-2012,Kvitfjell,Downhill,1
02-03-2012,Kvitfjell,Super G,1
25-02-2012,Crans Montana,Super G,4
24-02-2012,Crans Montana,Super G,10
11-02-2012,Sochi,Downhill,8
04-02-2012,Chamonix,Downhill,6
03-02-2012,Chamonix,Downhill,1
28-01-2012,Garmisch-Partenkirchen,Downhill,8
21-01-2012,Kitzbuehel,Downhill,3
14-01-2012,Wengen,Downhill,6
29-12-2011,Bormio,Downhill,3
16-12-2011,Val Gardena-Groeden,Super G,10
03-12-2011,Beaver Creek,Super G,24
02-12-2011,Beaver Creek,Downhill,3
27-11-2011,Lake Louise,Super G,5
26-11-2011,Lake Louise,Downhill,5
16-03-2011,Lenzerheide,Downhill,15
13-03-2011,Kvitfjell,Super G,2
12-03-2011,Kvitfjell,Downhill,2
11-03-2011,Kvitfjell,Downhill,7
05-02-2011,Hinterstoder,Super G,12
29-01-2011,Chamonix,Downhill,3
22-01-2011,Kitzbuehel,Downhill,9
21-01-2011,Kitzbuehel,Super G,DNF1
15-01-2011,Wengen,Downhill,1
14-01-2011,Wengen,Super Combined,DNS2
29-12-2010,Bormio,Downhill,DNF1
18-12-2010,Val Gardena-Groeden,Downhill,4
17-12-2010,Val Gardena-Groeden,Super G,10
04-12-2010,Beaver Creek,Super G,15
28-11-2010,Lake Louise,Super G,11
27-11-2010,Lake Louise,Downhill,6
11-03-2010,Garmisch Partenkirchen,Super G,DNF1
10-03-2010,Garmisch Partenkirchen,Downhill,16
07-03-2010,Kvitfjell,Super G,16
06-03-2010,Kvitfjell,Downhill,3
23-01-2010,Kitzbuehel,Downhill,27
22-01-2010,Kitzbuehel,Super G,18
16-01-2010,Wengen,Downhill,9
15-01-2010,Wengen,Super Combined,DNS2
29-12-2009,Bormio,Downhill,8
19-12-2009,Val Gardena - Groeden,Downhill,26
18-12-2009,Val Gardena - Groeden,Super G,DNF1
12-12-2009,Val d'Isere,Super G,22
11-12-2009,Val d'Isere,Super Combined,DNS2
05-12-2009,Beaver Creek,Downhill,15
29-11-2009,Lake Louise,Super G,18
28-11-2009,Lake Louise,Downhill,14
12-03-2009,Are,Super G,DNF1
11-03-2009,Are,Downhill,9
07-03-2009,Kvitfjell,Downhill,1
06-03-2009,Kvitfjell,Downhill,13
24-01-2009,Kitzbuehel,Downhill,3
23-01-2009,Kitzbuehel,Super G,1
17-01-2009,Wengen,Downhill,50
16-01-2009,Wengen,Super Combined,DNS1
28-12-2008,Bormio,Downhill,2
20-12-2008,Val Gardena - Groeden,Downhill,6
19-12-2008,Val Gardena - Groeden,Super G,11
06-12-2008,Beaver Creek,Super G,38
05-12-2008,Beaver Creek,Downhill,4
30-11-2008,Lake Louise,Super G,14
29-11-2008,Lake Louise,Downhill,5
01-03-2008,Kvitfjell,Downhill,4
29-02-2008,Kvitfjell,Downhill,3
26-01-2008,Chamonix,Downhill,10
19-01-2008,Kitzbuehel,Downhill,16
13-01-2008,Wengen,Downhill,16
29-12-2007,Bormio,Downhill,7
15-12-2007,Val Gardena-Groeden,Downhill,9
30-11-2007,"Beaver Creek, CO",Downhill,DSQ1
24-11-2007,"Lake Louise, AB",Downhill,30
14-03-2007,Lenzerheide,Downhill,DNF1
10-03-2007,Kvitfjell,Downhill,53
09-03-2007,Kvitfjell,Super Combined,DNS
24-02-2007,Garmisch-Partenkirchen,Downhill,29
23-02-2007,Garmisch-Partenkirchen,Downhill,9
20-01-2007,Val d'Isere,Downhill,DNF1
13-01-2007,Wengen,Downhill,6
29-12-2006,Bormio,Downhill,16
28-12-2006,Bormio,Downhill,18
16-12-2006,Gardena/Groeden,Downhill,22
01-12-2006,"Beaver Creek, CO",Downhill,17
25-11-2006,"Lake Louise, AB",Downhill,7
15-03-2006,Are,Downhill,DNF1
29-01-2006,Garmisch-Partenkirchen,Super G,12
28-01-2006,Garmisch-Partenkirchen,Downhill,2
21-01-2006,Kitzbuehel,Downhill,19
20-01-2006,Kitzbuehel,Super G,5
14-01-2006,Wengen,Downhill,19
29-12-2005,Bormio,Downhill,10
17-12-2005,Gardena/Groeden,Downhill,22
10-12-2005,Val d'Isere,Downhill,5
02-12-2005,"Beaver Creek, CO",Downhill,35
26-11-2005,"Lake Louise, AB",Downhill,8
10-03-2005,Lenzerheide,Downhill,10
05-03-2005,Kvitfjell,Downhill,22
19-02-2005,Garmisch-Partenkirchen,Downhill,26
18-02-2005,Garmisch-Partenkirchen,Downhill,31
15-01-2005,Wengen,Downhill,10
08-01-2005,Chamonix,Downhill,21
29-12-2004,Bormio,Downhill,4
18-12-2004,Gardena/Groeden,Downhill,49
11-12-2004,Val d'Isere,Downhill,21
03-12-2004,"Beaver Creek, CO",Downhill,24
27-11-2004,"Lake Louise, AB",Downhill,19
10-03-2004,Sestriere,Downhill,10
06-03-2004,Kvitfjell,Downhill,11
14-02-2004,St. Anton,Downhill,4
31-01-2004,Garmisch-Partenkirchen,Downhill,10
30-01-2004,Garmisch-Partenkirchen,Downhill,17
24-01-2004,Kitzbuehel,Downhill,19
22-01-2004,Kitzbuehel,Downhill,20
10-01-2004,Chamonix,Downhill,17
20-12-2003,Gardena/Groeden,Downhill,7
06-12-2003,"Vail/Beaver Creek, CO",Downhill,5
05-12-2003,"Vail/Beaver Creek, CO",Downhill,9
29-11-2003,"Lake Louise, AB",Downhill,28
12-03-2003,Lillehammer,Downhill,9
23-02-2003,Garmisch-Partenkirchen,Super G,29
22-02-2003,Garmisch-Partenkirchen,Downhill,DNF1
25-01-2003,Kitzbuehel,Downhill,11
18-01-2003,Wengen,Downhill,DNF1
17-01-2003,Wengen,Downhill,10
11-01-2003,Bormio,Downhill,4
29-12-2002,Bormio,Downhill,8
