datum,kraj,disciplina,mesto,zaostanek
20-03-2016,St. Moritz,Giant Slalom,11,13.48
19-03-2016,St. Moritz,Slalom,DNF2,
07-03-2016,Jasna,Giant Slalom,17,12.82
06-03-2016,Jasna,Slalom,7,20.93
23-02-2016,Stockholm,City Event,4,
15-02-2016,Crans Montana,Slalom,DNF1,
30-01-2016,Maribor,Giant Slalom,5,6.80
17-01-2016,Flachau,Giant Slalom,22,21.24
15-01-2016,Flachau,Slalom,7,10.28
12-01-2016,Flachau,Slalom,5,8.65
05-01-2016,Santa Caterina Valfurva,Slalom,1,0.00
29-12-2015,Lienz,Slalom,DNF1,
28-12-2015,Lienz,Giant Slalom,12,15.56
20-12-2015,Courchevel,Giant Slalom,2,1.37
13-12-2015,Are,Slalom,3,4.49
12-12-2015,Are,Giant Slalom,5,6.05
29-11-2015,"Aspen, CO",Slalom,8,28.82
28-11-2015,"Aspen, CO",Slalom,17,42.92
27-11-2015,"Aspen, CO",Giant Slalom,6,11.04
24-10-2015,Soelden,Giant Slalom,18,26.90
22-03-2015,Meribel,Giant Slalom,20,30.09
21-03-2015,Meribel,Slalom,19,17.07
14-03-2015,Are,Slalom,13,21.97
13-03-2015,Are,Giant Slalom,28,24.13
22-02-2015,Maribor,Slalom,4,8.50
21-02-2015,Maribor,Giant Slalom,13,14.78
13-01-2015,Flachau,Slalom,6,5.98
04-01-2015,Zagreb,Slalom,3,17.22
29-12-2014,Kuehtai in Tirol,Slalom,DNF1,
28-12-2014,Kuehtai in Tirol,Giant Slalom,12,8.47
13-12-2014,Are,Slalom,DNF1,
12-12-2014,Are,Giant Slalom,19,17.71
30-11-2014,Aspen,Slalom,21,23.54
29-11-2014,Aspen,Giant Slalom,9,17.58
15-11-2014,Levi,Slalom,5,7.32
25-10-2014,Soelden,Giant Slalom,DNF1,
16-03-2014,Lenzerheide,Giant Slalom,DNF1,
15-03-2014,Lenzerheide,Slalom,DNF2,
08-03-2014,Are,Slalom,DNF2,
07-03-2014,Are,Giant Slalom,9,15.78
06-03-2014,Are,Giant Slalom,16,13.50
02-02-2014,Kranjska Gora,Slalom,13,5.46
14-01-2014,Flachau,Slalom,7,12.60
05-01-2014,Bormio,Slalom,19,10.20
29-12-2013,Lienz,Slalom,5,6.65
28-12-2013,Lienz,Giant Slalom,9,16.11
22-12-2013,Val d'Isere,Giant Slalom,16,13.46
17-12-2013,Courchevel,Slalom,8,10.49
15-12-2013,St. Moritz,Giant Slalom,16,19.04
01-12-2013,Beaver Creek,Giant Slalom,12,10.58
16-11-2013,Levi,Slalom,7,10.13
26-10-2013,Soelden,Giant Slalom,26,22.56
16-03-2013,Lenzerheide,Slalom,16,19.20
10-03-2013,Ofterschwang,Slalom,DNF2,
09-03-2013,Ofterschwang,Giant Slalom,22,22.94
27-01-2013,Maribor,Slalom,16,16.61
15-01-2013,Flachau,Slalom,12,13.91
04-01-2013,Zagreb,Slalom,4,10.64
29-12-2012,Semmering,Slalom,DNF1,
20-12-2012,Are,Slalom,21,21.18
19-12-2012,Are,Giant Slalom,DNQ1,
25-11-2012,"Aspen, CO",Slalom,DNF1,
10-11-2012,Levi,Slalom,14,13.36
10-03-2012,Are,Slalom,DNQ1,
04-03-2012,Ofterschwang,Slalom,DNQ1,
11-01-2011,Flachau,Slalom,DNS1,
17-01-2010,Maribor,Slalom,DNF1,
12-01-2010,Flachau,Slalom,20,23.17
03-01-2010,Zagreb,Slalom,DNF1,
29-12-2009,Lienz,Slalom,DNQ1,
13-12-2009,Are,Slalom,DNF1,
29-11-2009,Aspen,Slalom,DNF1,
28-11-2009,Aspen,Giant Slalom,DNF1,
14-11-2009,Levi,Slalom,20,19.32
07-03-2009,Ofterschwang,Slalom,DNQ1,
11-01-2009,Maribor,Slalom,DNQ1,
04-01-2009,Zagreb,Slalom,DNF1,
29-12-2008,Semmering,Slalom,DNF1,
28-12-2008,Semmering,Giant Slalom,DNQ1,
14-12-2008,La Molina,Slalom,10,17.68
13-12-2008,La Molina,Giant Slalom,DNQ1,
30-11-2008,Aspen,Slalom,16,25.37
29-11-2008,Aspen,Giant Slalom,DNF1,
25-10-2008,Soelden,Giant Slalom,DNQ1,
14-03-2008,Bormio,Slalom,14,12.22
15-02-2008,Zagreb-Sljeme,Slalom,5,7.24
27-01-2008,Ofterschwang,Slalom,13,12.70
26-01-2008,Ofterschwang,Giant Slalom,21,15.53
13-01-2008,Maribor,Slalom,14,13.10
12-01-2008,Maribor,Giant Slalom,DNS1,
06-01-2008,Spindleruv Mlyn,Slalom,12,18.24
05-01-2008,Spindleruv Mlyn,Giant Slalom,DNQ1,
29-12-2007,Lienz,Slalom,14,13.26
28-12-2007,Lienz,Giant Slalom,DNQ1,
09-12-2007,"Aspen, CO",Slalom,23,26.57
25-11-2007,"Panorama, BC",Slalom,21,19.10
24-11-2007,"Panorama, BC",Giant Slalom,DNQ2,
10-11-2007,Reiteralm,Slalom,13,8.13
17-03-2007,Lenzerheide,Slalom,7,11.55
11-03-2007,Zwiesel,Slalom,12,23.66
10-03-2007,Zwiesel,Giant Slalom,DNQ1,
25-02-2007,Sierra Nevada,Slalom,DNQ1,
24-02-2007,Sierra Nevada,Giant Slalom,21,30.44
07-01-2007,Kranjska Gora,Slalom,17,21.63
04-01-2007,Zagreb-Sljeme,Slalom,DNF1,
29-12-2006,Semmering,Slalom,9,18.59
11-11-2006,Levi,Slalom,DNF1,
11-03-2006,Levi,Slalom,28,33.38
10-03-2006,Levi,Slalom,DNF1,
05-02-2006,Ofterschwang,Slalom,DNQ1,
