datum,kraj,disciplina,mesto
08-03-2015,Garmisch Partenkirchen,Super G,DNS1
07-03-2015,Garmisch Partenkirchen,Downhill,32
02-03-2015,Bansko,Super G,16
01-03-2015,Bansko,Alpine combined,12
25-01-2015,St.Moritz,Super G,16
24-01-2015,St.Moritz,Downhill,25
19-01-2015,Cortina d'Ampezzo,Super G,12
18-01-2015,Cortina d'Ampezzo,Downhill,18
16-01-2015,Cortina d'Ampezzo,Downhill,8
21-12-2014,Val d Isere,Super G,6
20-12-2014,Val d Isere,Downhill,15
12-12-2014,Are,Giant Slalom,DNF2
07-12-2014,Lake Louise,Super G,6
06-12-2014,Lake Louise,Downhill,3
05-12-2014,Lake Louise,Downhill,7
29-11-2014,Aspen,Giant Slalom,DNF1
25-10-2014,Soelden,Giant Slalom,17
13-03-2014,Lenzerheide,Super G,10
12-03-2014,Lenzerheide,Downhill,10
07-03-2014,Are,Giant Slalom,20
06-03-2014,Are,Giant Slalom,28
02-03-2014,Crans Montana,Downhill,18
26-01-2014,Cortina d Ampezzo,Super G,16
25-01-2014,Cortina d Ampezzo,Downhill,7
24-01-2014,Cortina d Ampezzo,Downhill,9
23-01-2014,Cortina d Ampezzo,Super G,7
12-01-2014,Altenmarkt / Zauchensee,Super Combined,DNF1
11-01-2014,Altenmarkt / Zauchensee,Downhill,13
28-12-2013,Lienz,Giant Slalom,29
22-12-2013,Val d'Isere,Giant Slalom,DNF2
21-12-2013,Val d'Isere,Downhill,21
15-12-2013,St. Moritz,Giant Slalom,12
14-12-2013,St. Moritz,Super G,20
08-12-2013,Lake Louise,Super G,17
07-12-2013,Lake Louise,Downhill,21
06-12-2013,Lake Louise,Downhill,26
01-12-2013,Beaver Creek,Giant Slalom,DNF2
30-11-2013,Beaver Creek,Super G,29
29-11-2013,Beaver Creek,Downhill,20
26-10-2013,Soelden,Giant Slalom,27
17-03-2013,Lenzerheide,Giant Slalom,8
09-03-2013,Ofterschwang,Giant Slalom,8
03-03-2013,Garmisch-Partenkirchen,Super G,3
02-03-2013,Garmisch-Partenkirchen,Downhill,6
01-03-2013,Garmisch-Partenkirchen,Super G,2
24-02-2013,Meribel,Super Combined,4
23-02-2013,Meribel,Downhill,13
27-01-2013,Maribor,Slalom,DNQ1
26-01-2013,Maribor,Giant Slalom,8
20-01-2013,Cortina d'Ampezzo,Super G,5
19-01-2013,Cortina d'Ampezzo,Downhill,9
13-01-2013,St. Anton,Super G,6
12-01-2013,St. Anton,Downhill,15
01-01-2013,City Event Munich,City Event,5
28-12-2012,Semmering,Giant Slalom,25
19-12-2012,Are,Giant Slalom,14
16-12-2012,Courchevel,Giant Slalom,6
14-12-2012,Val d'Isere,Downhill,7
09-12-2012,St. Moritz,Giant Slalom,21
08-12-2012,St. Moritz,Super G,3
07-12-2012,St. Moritz,Super Combined,11
02-12-2012,Lake Louise,Super G,2
01-12-2012,Lake Louise,Downhill,9
30-11-2012,Lake Louise,Downhill,8
25-11-2012,"Aspen, CO",Slalom,DNQ1
24-11-2012,"Aspen, CO",Giant Slalom,15
27-10-2012,Soelden,Giant Slalom,DNF1
18-03-2012,Schladming,Giant Slalom,5
17-03-2012,Schladming,Slalom,20
15-03-2012,Schladming,Super G,2
14-03-2012,Schladming,Downhill,6
09-03-2012,Are,Giant Slalom,8
04-03-2012,Ofterschwang,Slalom,DNQ1
03-03-2012,Ofterschwang,Giant Slalom,DNF2
02-03-2012,Ofterschwang,Giant Slalom,9
26-02-2012,Bansko,Super G,8
21-02-2012,Moscow,City Event,1
18-02-2012,Sochi,Downhill,6
12-02-2012,Soldeu-Grandvalira,Giant Slalom,16
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1
05-02-2012,Garmisch-Partenkirchen,Super G,1
04-02-2012,Garmisch-Partenkirchen,Downhill,13
29-01-2012,St. Moritz,Super Combined,DNF2
28-01-2012,St. Moritz,Downhill,5
27-01-2012,St. Moritz,Super Combined,13
22-01-2012,Kranjska Gora,Slalom,22
21-01-2012,Kranjska Gora,Giant Slalom,19
15-01-2012,Cortina d'Ampezzo,Super G,5
14-01-2012,Cortina d'Ampezzo,Downhill,9
08-01-2012,Bad Kleinkirchheim,Super G,8
07-01-2012,Bad Kleinkirchheim,Downhill,2
29-12-2011,Lienz,Slalom,DNF1
28-12-2011,Lienz,Giant Slalom,17
18-12-2011,Courchevel,Slalom,DNS1
07-12-2011,Beaver Creek,Super G,8
04-12-2011,Lake Louise,Super G,3
03-12-2011,Lake Louise,Downhill,23
02-12-2011,Lake Louise,Downhill,16
27-11-2011,Aspen,Slalom,DNQ1
26-11-2011,Aspen,Giant Slalom,3
22-10-2011,Soelden,Giant Slalom,10
18-03-2011,Lenzerheide,Slalom,26
16-03-2011,Lenzerheide,Downhill,1
11-03-2011,Spindleruv Mlyn,Giant Slalom,6
06-03-2011,Tarvisio,Super G,2
05-03-2011,Tarvisio,Downhill,10
04-03-2011,Tarvisio,Super Combined,6
27-02-2011,Are,Super G,3
26-02-2011,Are,Downhill,11
25-02-2011,Are,Super Combined,8
06-02-2011,Arber-Zwiesel,Giant Slalom,21
23-01-2011,Cortina d Ampezzo,Super G,4
22-01-2011,Cortina d Ampezzo,Downhill,2
21-01-2011,Cortina d Ampezzo,Super G,4
11-01-2011,Flachau,Slalom,DNQ1
09-01-2011,Zauchensee,Super G,16
08-01-2011,Zauchensee,Downhill,16
04-01-2011,Zagreb,Slalom,DNF1
02-01-2011,Muenchen,City Event,9
29-12-2010,Semmering,Slalom,DNQ1
28-12-2010,Semmering,Giant Slalom,5
21-12-2010,Courchevel,Slalom,21
19-12-2010,Val d'Isere,Super Combined,15
18-12-2010,Val d'Isere,Downhill,8
12-12-2010,St. Moritz,Giant Slalom,8
05-12-2010,Lake Louise,Super G,3
04-12-2010,Lake Louise,Downhill,6
03-12-2010,Lake Louise,Downhill,4
28-11-2010,Aspen,Slalom,DNF1
27-11-2010,Aspen,Giant Slalom,8
23-10-2010,Soelden,Giant Slalom,12
12-03-2010,Garmisch Partenkirchen,Super G,DNF1
