datum,kraj,disciplina,mesto
20-02-2016,Chamonix,Downhill,29
19-02-2016,Chamonix,Alpine combined,23
07-02-2016,Jeongseon,Super G,41
06-02-2016,Jeongseon,Downhill,40
30-01-2016,Garmisch Partenkirchen,Downhill,39
23-01-2016,Kitzbuehel,Downhill,DNS1
22-01-2016,Kitzbuehel,Alpine combined,20
22-01-2016,Kitzbuehel,Super G,43
16-01-2016,Wengen,Downhill,28
15-01-2016,Wengen,Alpine combined,26
29-12-2015,Santa Caterina,Downhill,31
19-12-2015,Val Gardena / Groeden,Downhill,41
04-12-2015,Beaver Creek,Downhill,DNF1
29-11-2015,Lake Louise,Super G,50
28-11-2015,Lake Louise,Downhill,54
08-03-2015,Kvitfjell,Super G,30
07-03-2015,Kvitfjell,Downhill,35
22-02-2015,Saalbach,Super G,DNF1
21-02-2015,Saalbach,Downhill,DNF1
02-03-2014,Kvitfjell,Super G,52
01-03-2014,Kvitfjell,Downhill,30
28-02-2014,Kvitfjell,Downhill,24
29-12-2013,Bormio,Downhill,39
30-11-2013,Lake Louise,Downhill,DNF1
29-12-2012,Bormio,Downhill,27
15-12-2012,Val Gardena-Groeden,Downhill,40
