datum,kraj,disciplina,mesto
07-03-2016,Jasna,Giant Slalom,DNQ1
30-01-2016,Maribor,Giant Slalom,22
17-01-2016,Flachau,Giant Slalom,DNQ1
28-12-2015,Lienz,Giant Slalom,23
20-12-2015,Courchevel,Giant Slalom,17
12-12-2015,Are,Giant Slalom,20
27-11-2015,"Aspen, CO",Giant Slalom,DNF2
13-01-2015,Flachau,Slalom,DNQ1
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNF2
13-12-2014,Are,Slalom,DNF1
12-12-2014,Are,Giant Slalom,8
30-11-2014,Aspen,Slalom,DNF1
29-11-2014,Aspen,Giant Slalom,11
15-11-2014,Levi,Slalom,DNF1
25-10-2014,Soelden,Giant Slalom,DNF1
16-03-2014,Lenzerheide,Giant Slalom,7
08-03-2014,Are,Slalom,DNF1
07-03-2014,Are,Giant Slalom,DNF2
06-03-2014,Are,Giant Slalom,2
02-02-2014,Kranjska Gora,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNQ1
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,DNQ1
28-12-2013,Lienz,Giant Slalom,8
22-12-2013,Val d'Isere,Giant Slalom,25
17-12-2013,Courchevel,Slalom,DNQ1
15-12-2013,St. Moritz,Giant Slalom,5
01-12-2013,Beaver Creek,Giant Slalom,6
16-11-2013,Levi,Slalom,18
26-10-2013,Soelden,Giant Slalom,12
17-03-2013,Lenzerheide,Giant Slalom,10
10-03-2013,Ofterschwang,Slalom,DNQ1
09-03-2013,Ofterschwang,Giant Slalom,5
27-01-2013,Maribor,Slalom,DNF1
26-01-2013,Maribor,Giant Slalom,7
15-01-2013,Flachau,Slalom,DNQ1
04-01-2013,Zagreb,Slalom,16
29-12-2012,Semmering,Slalom,DNF1
28-12-2012,Semmering,Giant Slalom,17
20-12-2012,Are,Slalom,23
19-12-2012,Are,Giant Slalom,DNF2
16-12-2012,Courchevel,Giant Slalom,DNF2
09-12-2012,St. Moritz,Giant Slalom,DNF1
25-11-2012,"Aspen, CO",Slalom,DNQ1
24-11-2012,"Aspen, CO",Giant Slalom,14
10-11-2012,Levi,Slalom,DNQ1
27-10-2012,Soelden,Giant Slalom,DNQ1
18-03-2012,Schladming,Giant Slalom,7
10-03-2012,Are,Slalom,DNQ1
09-03-2012,Are,Giant Slalom,9
04-03-2012,Ofterschwang,Slalom,DNQ1
03-03-2012,Ofterschwang,Giant Slalom,DNF2
02-03-2012,Ofterschwang,Giant Slalom,15
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNF2
11-02-2012,Soldeu-Grandvalira,Slalom,DNF1
22-01-2012,Kranjska Gora,Slalom,DNQ1
21-01-2012,Kranjska Gora,Giant Slalom,7
03-01-2012,Zagreb,Slalom,DNQ1
28-12-2011,Lienz,Giant Slalom,21
26-11-2011,Aspen,Giant Slalom,DNF1
22-10-2011,Soelden,Giant Slalom,DNF1
06-02-2011,Arber-Zwiesel,Giant Slalom,4
04-02-2011,Arber-Zwiesel,Slalom,DNQ1
11-01-2011,Flachau,Slalom,DNF1
04-01-2011,Zagreb,Slalom,DNF1
29-12-2010,Semmering,Slalom,DNF1
28-12-2010,Semmering,Giant Slalom,18
21-12-2010,Courchevel,Slalom,DNF1
19-12-2010,Val d'Isere,Super Combined,29
12-12-2010,St. Moritz,Giant Slalom,4
28-11-2010,Aspen,Slalom,DNF2
27-11-2010,Aspen,Giant Slalom,11
13-11-2010,Levi,Slalom,14
23-10-2010,Soelden,Giant Slalom,9
24-01-2010,Cortina d'Ampezzo,Giant Slalom,17
17-01-2010,Maribor,Slalom,DNQ1
16-01-2010,Maribor,Giant Slalom,DNQ1
12-01-2010,Flachau,Slalom,16
03-01-2010,Zagreb,Slalom,DNF1
29-12-2009,Lienz,Slalom,13
28-12-2009,Lienz,Giant Slalom,21
13-12-2009,Are,Slalom,DNF1
12-12-2009,Are,Giant Slalom,DNQ1
28-11-2009,Aspen,Giant Slalom,16
14-11-2009,Levi,Slalom,DNQ1
24-10-2009,Soelden,Giant Slalom,DNF1
06-03-2009,Ofterschwang,Giant Slalom,DNQ1
10-01-2009,Maribor,Giant Slalom,DNQ1
28-12-2008,Semmering,Giant Slalom,DNQ1
25-10-2008,Soelden,Giant Slalom,DNQ1
