datum,kraj,disciplina,mesto,zaostanek
19-12-2015,Val Gardena / Groeden,Downhill,DNF1,
18-12-2015,Val Gardena / Groeden,Super G,4,6.62
05-12-2015,Beaver Creek,Super G,54,52.14
04-12-2015,Beaver Creek,Downhill,21,21.99
29-11-2015,Lake Louise,Super G,2,4.23
28-11-2015,Lake Louise,Downhill,8,8.16
19-03-2015,Meribel,Super G,DNF1,
18-03-2015,Meribel,Downhill,14,13.88
14-03-2015,Kranjska Gora,Giant Slalom,DNF2,
08-03-2015,Kvitfjell,Super G,DNF1,
07-03-2015,Kvitfjell,Downhill,19,11.29
28-02-2015,Garmisch Partenkirchen,Downhill,3,4.17
22-02-2015,Saalbach,Super G,1,0.00
21-02-2015,Saalbach,Downhill,1,0.00
24-01-2015,Kitzbuehel,Downhill,10,10.10
23-01-2015,Kitzbuehel,Super G,2,0.93
18-01-2015,Wengen,Downhill,22,21.29
16-01-2015,Wengen,Alpine combined,4,11.01
10-01-2015,Adelboden,Giant Slalom,DNQ1,
28-12-2014,Santa Caterina,Downhill,2,1.22
21-12-2014,Alta Badia,Giant Slalom,DNF2,
20-12-2014,Val Gardena / Groeden,Super G,DNF1,
19-12-2014,Val Gardena / Groeden,Downhill,7,16.50
12-12-2014,Are,Giant Slalom,DNQ1,
07-12-2014,Beaver Creek,Giant Slalom,24,16.41
06-12-2014,Beaver Creek,Super G,17,18.70
05-12-2014,Beaver Creek,Downhill,9,14.23
30-11-2014,Lake Louise,Super G,2,3.40
29-11-2014,Lake Louise,Downhill,15,12.25
15-03-2014,Lenzerheide,Giant Slalom,20,21.98
13-03-2014,Lenzerheide,Super G,4,13.53
12-03-2014,Lenzerheide,Downhill,1,0.00
08-03-2014,Kranjska Gora,Giant Slalom,DNF1,
02-03-2014,Kvitfjell,Super G,3,3.79
01-03-2014,Kvitfjell,Downhill,3,9.50
28-02-2014,Kvitfjell,Downhill,DNF1,
02-02-2014,St. Moritz,Giant Slalom,22,33.41
26-01-2014,Kitzbuehel,Super G,13,8.95
26-01-2014,Kitzbuehel,Super Combined,14,29.89
25-01-2014,Kitzbuehel,Downhill,11,14.21
18-01-2014,Wengen,Downhill,6,6.51
17-01-2014,Wengen,Super Combined,8,13.38
29-12-2013,Bormio,Downhill,5,11.53
22-12-2013,Alta Badia,Giant Slalom,DNF1,
21-12-2013,Val Gardena / Groeden,Downhill,14,15.74
20-12-2013,Val Gardena / Groeden,Super G,DNF1,
08-12-2013,Beaver Creek,Giant Slalom,DNF1,
07-12-2013,Beaver Creek,Super G,10,11.95
06-12-2013,Beaver Creek,Downhill,DNF1,
01-12-2013,Lake Louise,Super G,2,2.85
30-11-2013,Lake Louise,Downhill,13,16.58
09-03-2013,Kranjska Gora,Giant Slalom,DNF1,
03-03-2013,Kvitfjell,Super G,8,14.97
02-03-2013,Kvitfjell,Downhill,13,18.30
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNF1,
23-02-2013,Garmisch-Partenkirchen,Downhill,11,11.90
27-01-2013,Kitzbuehel,Super Combined,7,40.47
26-01-2013,Kitzbuehel,Downhill,16,19.23
25-01-2013,Kitzbuehel,Super G,2,1.83
19-01-2013,Wengen,Downhill,28,30.82
18-01-2013,Wengen,Super Combined,20,19.33
12-01-2013,Adelboden,Giant Slalom,DNF1,
29-12-2012,Bormio,Downhill,DNF1,
16-12-2012,Alta Badia,Giant Slalom,DNQ1,
15-12-2012,Val Gardena-Groeden,Downhill,19,15.89
14-12-2012,Val Gardena-Groeden,Super G,6,16.03
02-12-2012,Beaver Creek,Giant Slalom,16,23.60
01-12-2012,Beaver Creek,Super G,7,13.92
30-11-2012,Beaver Creek,Downhill,21,20.21
25-11-2012,Lake Louise,Super G,6,13.16
24-11-2012,Lake Louise,Downhill,23,27.20
15-03-2012,Schladming,Super G,7,6.13
04-03-2012,Kvitfjell,Super G,15,20.18
03-03-2012,Kvitfjell,Downhill,46,43.01
02-03-2012,Kvitfjell,Super G,6,5.62
26-02-2012,Crans Montana,Giant Slalom,DNF1,
25-02-2012,Crans Montana,Super G,11,11.23
24-02-2012,Crans Montana,Super G,21,16.96
12-02-2012,Sochi,Super Combined,18,30.47
11-02-2012,Sochi,Downhill,DNF1,
05-02-2012,Chamonix,Super Combined,30,39.14
04-02-2012,Chamonix,Downhill,40,31.94
03-02-2012,Chamonix,Downhill,36,18.42
21-01-2012,Kitzbuehel,Downhill,40,29.58
14-01-2012,Wengen,Downhill,42,36.14
13-01-2012,Wengen,Super Combined,15,16.79
29-12-2011,Bormio,Downhill,36,38.32
18-12-2011,Alta Badia,Giant Slalom,DNF1,
16-12-2011,Val Gardena-Groeden,Super G,18,17.82
06-12-2011,Beaver Creek,Giant Slalom,DNQ1,
04-12-2011,Beaver Creek,Giant Slalom,DNF1,
03-12-2011,Beaver Creek,Super G,DNF1,
02-12-2011,Beaver Creek,Downhill,48,45.86
27-11-2011,Lake Louise,Super G,8,13.72
26-11-2011,Lake Louise,Downhill,47,28.64
05-02-2011,Hinterstoder,Super G,23,32.03
29-12-2010,Bormio,Downhill,DNF1,
22-02-2009,Sestriere,Super Combined,43,78.79
