datum,kraj,disciplina,mesto
22-03-2015,Meribel,Giant Slalom,3
21-03-2015,Meribel,Slalom,4
19-03-2015,Meribel,Super G,3
18-03-2015,Meribel,Downhill,4
14-03-2015,Are,Slalom,16
13-03-2015,Are,Giant Slalom,20
08-03-2015,Garmisch Partenkirchen,Super G,2
07-03-2015,Garmisch Partenkirchen,Downhill,3
02-03-2015,Bansko,Super G,2
01-03-2015,Bansko,Alpine combined,2
22-02-2015,Maribor,Slalom,DNF2
21-02-2015,Maribor,Giant Slalom,DNF1
25-01-2015,St.Moritz,Super G,DSQ1
24-01-2015,St.Moritz,Downhill,18
19-01-2015,Cortina d'Ampezzo,Super G,4
18-01-2015,Cortina d'Ampezzo,Downhill,5
16-01-2015,Cortina d'Ampezzo,Downhill,13
13-01-2015,Flachau,Slalom,2
04-01-2015,Zagreb,Slalom,5
29-12-2014,Kuehtai in Tirol,Slalom,6
28-12-2014,Kuehtai in Tirol,Giant Slalom,7
21-12-2014,Val d Isere,Super G,3
20-12-2014,Val d Isere,Downhill,7
13-12-2014,Are,Slalom,2
12-12-2014,Are,Giant Slalom,1
07-12-2014,Lake Louise,Super G,3
06-12-2014,Lake Louise,Downhill,8
05-12-2014,Lake Louise,Downhill,1
30-11-2014,Aspen,Slalom,9
29-11-2014,Aspen,Giant Slalom,4
15-11-2014,Levi,Slalom,1
25-10-2014,Soelden,Giant Slalom,22
16-03-2014,Lenzerheide,Giant Slalom,16
15-03-2014,Lenzerheide,Slalom,DNS2
13-03-2014,Lenzerheide,Super G,3
12-03-2014,Lenzerheide,Downhill,15
08-03-2014,Are,Slalom,9
07-03-2014,Are,Giant Slalom,DNF2
06-03-2014,Are,Giant Slalom,5
02-03-2014,Crans Montana,Downhill,3
02-02-2014,Kranjska Gora,Slalom,DSQ2
26-01-2014,Cortina d Ampezzo,Super G,5
25-01-2014,Cortina d Ampezzo,Downhill,1
24-01-2014,Cortina d Ampezzo,Downhill,7
23-01-2014,Cortina d Ampezzo,Super G,6
14-01-2014,Flachau,Slalom,12
12-01-2014,Altenmarkt / Zauchensee,Super Combined,6
11-01-2014,Altenmarkt / Zauchensee,Downhill,12
05-01-2014,Bormio,Slalom,24
29-12-2013,Lienz,Slalom,15
28-12-2013,Lienz,Giant Slalom,14
22-12-2013,Val d'Isere,Giant Slalom,11
21-12-2013,Val d'Isere,Downhill,2
17-12-2013,Courchevel,Slalom,17
15-12-2013,St. Moritz,Giant Slalom,3
14-12-2013,St. Moritz,Super G,DNF1
08-12-2013,Lake Louise,Super G,13
07-12-2013,Lake Louise,Downhill,6
06-12-2013,Lake Louise,Downhill,6
01-12-2013,Beaver Creek,Giant Slalom,11
30-11-2013,Beaver Creek,Super G,14
29-11-2013,Beaver Creek,Downhill,16
16-11-2013,Levi,Slalom,3
26-10-2013,Soelden,Giant Slalom,18
17-03-2013,Lenzerheide,Giant Slalom,1
16-03-2013,Lenzerheide,Slalom,3
10-03-2013,Ofterschwang,Slalom,1
09-03-2013,Ofterschwang,Giant Slalom,2
03-03-2013,Garmisch-Partenkirchen,Super G,4
02-03-2013,Garmisch-Partenkirchen,Downhill,1
01-03-2013,Garmisch-Partenkirchen,Super G,2
24-02-2013,Meribel,Super Combined,1
23-02-2013,Meribel,Downhill,4
29-01-2013,City Event Moscow,City Event,5
27-01-2013,Maribor,Slalom,1
26-01-2013,Maribor,Giant Slalom,2
20-01-2013,Cortina d'Ampezzo,Super G,3
19-01-2013,Cortina d'Ampezzo,Downhill,2
15-01-2013,Flachau,Slalom,5
13-01-2013,St. Anton,Super G,1
12-01-2013,St. Anton,Downhill,4
04-01-2013,Zagreb,Slalom,DNF2
01-01-2013,City Event Munich,City Event,2
29-12-2012,Semmering,Slalom,3
28-12-2012,Semmering,Giant Slalom,2
20-12-2012,Are,Slalom,3
19-12-2012,Are,Giant Slalom,3
16-12-2012,Courchevel,Giant Slalom,1
14-12-2012,Val d'Isere,Downhill,12
09-12-2012,St. Moritz,Giant Slalom,1
08-12-2012,St. Moritz,Super G,2
07-12-2012,St. Moritz,Super Combined,1
02-12-2012,Lake Louise,Super G,4
01-12-2012,Lake Louise,Downhill,10
30-11-2012,Lake Louise,Downhill,20
25-11-2012,"Aspen, CO",Slalom,3
24-11-2012,"Aspen, CO",Giant Slalom,1
10-11-2012,Levi,Slalom,4
27-10-2012,Soelden,Giant Slalom,1
18-03-2012,Schladming,Giant Slalom,17
17-03-2012,Schladming,Slalom,13
15-03-2012,Schladming,Super G,7
14-03-2012,Schladming,Downhill,3
10-03-2012,Are,Slalom,8
09-03-2012,Are,Giant Slalom,6
04-03-2012,Ofterschwang,Slalom,DNF2
03-03-2012,Ofterschwang,Giant Slalom,3
02-03-2012,Ofterschwang,Giant Slalom,2
26-02-2012,Bansko,Super G,4
21-02-2012,Moscow,City Event,5
18-02-2012,Sochi,Downhill,12
12-02-2012,Soldeu-Grandvalira,Giant Slalom,2
11-02-2012,Soldeu-Grandvalira,Slalom,11
05-02-2012,Garmisch-Partenkirchen,Super G,DNF1
04-02-2012,Garmisch-Partenkirchen,Downhill,26
29-01-2012,St. Moritz,Super Combined,5
28-01-2012,St. Moritz,Downhill,4
27-01-2012,St. Moritz,Super Combined,2
22-01-2012,Kranjska Gora,Slalom,4
21-01-2012,Kranjska Gora,Giant Slalom,5
15-01-2012,Cortina d'Ampezzo,Super G,3
14-01-2012,Cortina d'Ampezzo,Downhill,4
08-01-2012,Bad Kleinkirchheim,Super G,2
07-01-2012,Bad Kleinkirchheim,Downhill,18
03-01-2012,Zagreb,Slalom,2
29-12-2011,Lienz,Slalom,2
28-12-2011,Lienz,Giant Slalom,14
20-12-2011,Flachau,Slalom,3
18-12-2011,Courchevel,Slalom,5
07-12-2011,Beaver Creek,Super G,14
04-12-2011,Lake Louise,Super G,18
03-12-2011,Lake Louise,Downhill,21
02-12-2011,Lake Louise,Downhill,35
27-11-2011,Aspen,Slalom,12
26-11-2011,Aspen,Giant Slalom,7
22-10-2011,Soelden,Giant Slalom,23
18-03-2011,Lenzerheide,Slalom,1
16-03-2011,Lenzerheide,Downhill,7
12-03-2011,Spindleruv Mlyn,Slalom,3
11-03-2011,Spindleruv Mlyn,Giant Slalom,4
06-03-2011,Tarvisio,Super G,7
05-03-2011,Tarvisio,Downhill,4
04-03-2011,Tarvisio,Super Combined,1
27-02-2011,Are,Super G,8
26-02-2011,Are,Downhill,2
25-02-2011,Are,Super Combined,2
04-02-2011,Arber-Zwiesel,Slalom,DNQ1
23-01-2011,Cortina d Ampezzo,Super G,DNF1
22-01-2011,Cortina d Ampezzo,Downhill,13
21-01-2011,Cortina d Ampezzo,Super G,16
11-01-2011,Flachau,Slalom,DNF1
09-01-2011,Zauchensee,Super G,DSQ1
08-01-2011,Zauchensee,Downhill,24
04-01-2011,Zagreb,Slalom,13
02-01-2011,Muenchen,City Event,2
29-12-2010,Semmering,Slalom,DNF2
28-12-2010,Semmering,Giant Slalom,6
21-12-2010,Courchevel,Slalom,3
19-12-2010,Val d'Isere,Super Combined,8
18-12-2010,Val d'Isere,Downhill,12
12-12-2010,St. Moritz,Giant Slalom,3
05-12-2010,Lake Louise,Super G,DNF1
04-12-2010,Lake Louise,Downhill,7
03-12-2010,Lake Louise,Downhill,21
28-11-2010,Aspen,Slalom,10
27-11-2010,Aspen,Giant Slalom,14
13-11-2010,Levi,Slalom,9
23-10-2010,Soelden,Giant Slalom,6
13-03-2010,Garmisch Partenkirchen,Slalom,6
12-03-2010,Garmisch Partenkirchen,Super G,6
11-03-2010,Garmisch Partenkirchen,Giant Slalom,1
10-03-2010,Garmisch Partenkirchen,Downhill,12
07-03-2010,Crans Montana,Super G,6
06-03-2010,Crans Montana,Downhill,DNS1
31-01-2010,St. Moritz,Super G,5
30-01-2010,St. Moritz,Downhill,45
29-01-2010,St. Moritz,Super Combined,8
24-01-2010,Cortina d'Ampezzo,Giant Slalom,4
23-01-2010,Cortina d'Ampezzo,Downhill,21
22-01-2010,Cortina d'Ampezzo,Super G,4
17-01-2010,Maribor,Slalom,2
16-01-2010,Maribor,Giant Slalom,13
12-01-2010,Flachau,Slalom,28
10-01-2010,Haus im Ennstal,Super G,DNF1
09-01-2010,Haus im Ennstal,Downhill,38
08-01-2010,Haus im Ennstal,Downhill,20
03-01-2010,Zagreb,Slalom,6
29-12-2009,Lienz,Slalom,4
28-12-2009,Lienz,Giant Slalom,8
20-12-2009,Val d'Isere,Super G,28
18-12-2009,Val d'Isere,Super Combined,DNF2
13-12-2009,Are,Slalom,12
12-12-2009,Are,Giant Slalom,2
06-12-2009,Lake Louise,Super G,12
05-12-2009,Lake Louise,Downhill,35
04-12-2009,Lake Louise,Downhill,11
29-11-2009,Aspen,Slalom,16
28-11-2009,Aspen,Giant Slalom,6
14-11-2009,Levi,Slalom,12
24-10-2009,Soelden,Giant Slalom,4
14-03-2009,Are,Giant Slalom,1
13-03-2009,Are,Slalom,DNS1
12-03-2009,Are,Super G,11
11-03-2009,Are,Downhill,15
06-03-2009,Ofterschwang,Giant Slalom,4
01-03-2009,Bansko,Super G,3
28-02-2009,Bansko,Downhill,2
27-02-2009,Bansko,Downhill,6
22-02-2009,Tarvisio,Super G,3
21-02-2009,Tarvisio,Downhill,16
20-02-2009,Tarvisio,Super Combined,DNS2
01-02-2009,Garmisch Partenkirchen,Super G,DNF1
26-01-2009,Cortina d'Ampezzo,Super G,31
25-01-2009,Cortina d'Ampezzo,Giant Slalom,4
24-01-2009,Cortina d'Ampezzo,Downhill,4
18-01-2009,Altenmarkt-Zauchensee,Downhill,10
17-01-2009,Altenmarkt-Zauchensee,Super Combined,10
11-01-2009,Maribor,Slalom,DNQ1
10-01-2009,Maribor,Giant Slalom,1
28-12-2008,Semmering,Giant Slalom,18
20-12-2008,St. Moritz,Super G,10
19-12-2008,St. Moritz,Super Combined,DNF2
13-12-2008,La Molina,Giant Slalom,9
07-12-2008,Lake Louise,Super G,8
05-12-2008,Lake Louise,Downhill,9
29-11-2008,Aspen,Giant Slalom,10
25-10-2008,Soelden,Giant Slalom,DNQ1
13-03-2008,Bormio,Super G,23
09-03-2008,Crans-Montana,Super Combined,14
08-03-2008,Crans-Montana,Downhill,DSQ1
24-02-2008,"Whistler, BC",Super Combined,12
22-02-2008,"Whistler, BC",Downhill,26
10-02-2008,Sestriere,Super G,15
09-02-2008,Sestriere,Downhill,13
03-02-2008,St. Moritz,Super G,18
02-02-2008,St. Moritz,Downhill,1
26-01-2008,Ofterschwang,Giant Slalom,20
21-01-2008,Cortina d'Ampezzo,Super G,7
20-01-2008,Cortina d'Ampezzo,Super G,30
19-01-2008,Cortina d'Ampezzo,Downhill,DNF1
12-01-2008,Maribor,Giant Slalom,24
05-01-2008,Spindleruv Mlyn,Giant Slalom,DNQ1
28-12-2007,Lienz,Giant Slalom,DNQ1
16-12-2007,St. Moritz,Super G,8
27-10-2007,Soelden,Giant Slalom,25
18-03-2007,Lenzerheide,Giant Slalom,17
15-03-2007,Lenzerheide,Super G,13
10-03-2007,Zwiesel,Giant Slalom,25
04-03-2007,Tarvisio,Super G,5
02-03-2007,Tarvisio,Super Combined,21
24-02-2007,Sierra Nevada,Giant Slalom,DNQ1
28-01-2007,San Sicario,Super G,5
27-01-2007,San Sicario,Downhill,DNF1
26-01-2007,San Sicario,Super G,13
21-01-2007,Cortina d'Ampezzo,Giant Slalom,7
19-01-2007,Cortina d'Ampezzo,Super G,19
14-01-2007,Altenmarkt-Zauchensee,Super Combined,15
13-01-2007,Altenmarkt-Zauchensee,Downhill,54
07-01-2007,Kranjska Gora,Slalom,24
06-01-2007,Kranjska Gora,Giant Slalom,25
29-12-2006,Semmering,Slalom,DNF1
28-12-2006,Semmering,Giant Slalom,13
16-12-2006,Reiteralm,Super G,30
15-12-2006,Reiteralm,Super Combined,20
03-12-2006,"Lake Louise, AB",Super G,33
01-12-2006,"Lake Louise, AB",Downhill,52
26-11-2006,"Aspen, CO",Slalom,DNQ1
25-11-2006,"Aspen, CO",Giant Slalom,18
11-11-2006,Levi,Slalom,DNQ1
18-03-2006,Are,Giant Slalom,15
16-03-2006,Are,Super G,19
15-03-2006,Are,Downhill,13
11-03-2006,Levi,Slalom,DNQ1
10-03-2006,Levi,Slalom,DNF1
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,9
04-03-2006,Hafjell/Kvitfjell,Super Combined,22
03-03-2006,Hafjell/Kvitfjell,Super G,DNF1
04-02-2006,Ofterschwang,Giant Slalom,DNF1
03-02-2006,Ofterschwang,Giant Slalom,7
29-01-2006,Cortina d'Ampezzo,Giant Slalom,11
27-01-2006,Cortina d'Ampezzo,Super G,9
22-01-2006,St. Moritz,Super Combined,DNF
21-01-2006,St. Moritz,Downhill,63
20-01-2006,St. Moritz,Super G,2
15-01-2006,Bad Kleinkirchheim,Super G,6
08-01-2006,Maribor,Slalom,DNQ1
05-01-2006,Zagreb-Sljeme,Slalom,DNQ1
29-12-2005,Lienz,Slalom,24
28-12-2005,Lienz,Giant Slalom,3
22-12-2005,Spindleruv Mlyn,Slalom,DNQ2
21-12-2005,Spindleruv Mlyn,Giant Slalom,19
18-12-2005,Val d'Isere,Super G,29
17-12-2005,Val d'Isere,Downhill,DNF1
11-12-2005,"Aspen, CO",Slalom,DNF1
10-12-2005,"Aspen, CO",Giant Slalom,8
09-12-2005,"Aspen, CO",Super G,19
04-12-2005,"Lake Louise, AB",Super G,30
03-12-2005,"Lake Louise, AB",Downhill,25
02-12-2005,"Lake Louise, AB",Downhill,21
22-10-2005,Soelden,Giant Slalom,1
13-03-2005,Lenzerheide,Giant Slalom,12
11-03-2005,Lenzerheide,Super G,14
26-02-2005,San Sicario,Downhill,11
25-02-2005,San Sicario,Super G,3
20-02-2005,Are,Giant Slalom,15
19-02-2005,Are,Super G,15
23-01-2005,Maribor,Slalom,19
22-01-2005,Maribor,Giant Slalom,1
20-01-2005,Zagreb-Sljeme,Slalom,DNF1
14-01-2005,Cortina d'Ampezzo,Super G,11
12-01-2005,Cortina d'Ampezzo,Super G,25
09-01-2005,Santa Caterina,Slalom,26
08-01-2005,Santa Caterina,Giant Slalom,1
06-01-2005,Santa Caterina,Downhill,24
28-12-2004,Semmering,Giant Slalom,23
22-12-2004,St. Moritz,Giant Slalom,1
21-12-2004,St. Moritz,Super G,6
12-12-2004,Altenmarkt-Zauchensee,Slalom,DNQ2
11-12-2004,Altenmarkt-Zauchensee,Super G,3
05-12-2004,"Lake Louise, AB",Super G,19
03-12-2004,"Lake Louise, AB",Downhill,50
27-11-2004,"Aspen, CO",Slalom,DNQ1
26-11-2004,"Aspen, CO",Giant Slalom,13
23-10-2004,Soelden,Giant Slalom,DNF1
14-03-2004,Sestriere,Giant Slalom,12
29-02-2004,Levi,Slalom,DNQ1
28-02-2004,Levi,Slalom,DNQ1
22-02-2004,Are,Giant Slalom,14
21-02-2004,Are,Super G,21
08-02-2004,Zwiesel,Slalom,DNF1
07-02-2004,Zwiesel,Giant Slalom,2
01-02-2004,Haus im Ennstal,Super G,39
31-01-2004,Haus im Ennstal,Downhill,38
30-01-2004,Haus im Ennstal,Downhill,34
25-01-2004,Maribor,Slalom,DNQ1
24-01-2004,Maribor,Giant Slalom,24
27-12-2003,Lienz,Giant Slalom,9
20-12-2003,St. Moritz,Downhill,37
13-12-2003,Alta Badia,Giant Slalom,10
07-12-2003,"Lake Louise, AB",Super G,38
06-12-2003,"Lake Louise, AB",Downhill,33
05-12-2003,"Lake Louise, AB",Downhill,39
29-11-2003,"Park City, UT",Slalom,DNF1
28-11-2003,"Park City, UT",Giant Slalom,29
25-10-2003,Soelden,Giant Slalom,4
16-03-2003,Lillehammer,Giant Slalom,12
08-03-2003,Are,Slalom,DNF1
06-03-2003,Are,Giant Slalom,DNF2
26-01-2003,Maribor,Slalom,DNQ1
25-01-2003,Maribor,Giant Slalom,7
19-01-2003,Cortina d'Ampezzo,Giant Slalom,11
05-01-2003,Bormio,Slalom,DNQ1
04-01-2003,Bormio,Giant Slalom,23
28-12-2002,Semmering,Giant Slalom,DNQ1
12-12-2002,Val d'Isere,Giant Slalom,DNQ1
30-11-2002,"Aspen, CO",Slalom,DNQ1
29-11-2002,"Aspen, CO",Super G,DNF1
23-11-2002,"Park City, UT",Slalom,DNQ1
21-11-2002,"Park City, UT",Giant Slalom,DNF1
26-10-2002,Soelden,Giant Slalom,1
09-03-2002,Altenmarkt-Zauchensee,Giant Slalom,19
03-02-2002,Are,Slalom,DNQ1
31-01-2002,Are,Giant Slalom,14
27-01-2002,Cortina d'Ampezzo,Giant Slalom,8
20-01-2002,Berchtesgaden,Slalom,DNF1
19-01-2002,Berchtesgaden,Giant Slalom,11
13-01-2002,Saalbach-Hinterglemm,Slalom,25
06-01-2002,Maribor,Slalom,DNF1
05-01-2002,Maribor,Slalom,25
04-01-2002,Maribor,Giant Slalom,2
29-12-2001,Lienz,Slalom,DNQ1
28-12-2001,Lienz,Giant Slalom,DNQ1
16-12-2001,Val d'Isere,Giant Slalom,7
09-12-2001,Sestriere,Slalom,DNQ1
22-11-2001,"Copper Mountain, CO",Slalom,DNQ1
21-11-2001,"Copper Mountain, CO",Giant Slalom,17
27-10-2001,Soelden,Giant Slalom,13
11-03-2001,Are,Giant Slalom,15
18-02-2001,Garmisch-Partenkirchen,Slalom,DNQ2
26-01-2001,Ofterschwang,Slalom,DNQ2
21-01-2001,Cortina d'Ampezzo,Giant Slalom,12
14-01-2001,Flachau,Slalom,DNF1
13-01-2001,Haus im Ennstal,Super G,36
06-01-2001,Maribor,Giant Slalom,10
30-12-2000,Semmering,Giant Slalom,DNQ2
28-12-2000,Semmering,Slalom,DNQ2
20-12-2000,Sestriere,Slalom,DNF2
19-12-2000,Sestriere,Giant Slalom,15
10-12-2000,Sestriere,Slalom,DNQ2
09-12-2000,Sestriere,Giant Slalom,25
25-11-2000,"Aspen, CO",Slalom,DNF1
24-11-2000,"Aspen, CO",Super G,31
18-11-2000,"Park City, UT",Slalom,15
16-11-2000,"Park City, UT",Giant Slalom,DNQ2
28-10-2000,Soelden,Giant Slalom,24
05-01-2000,Maribor,Giant Slalom,DNF1
09-12-1999,Val d'Isere,Giant Slalom,DNF1
04-12-1999,Serre Chevalier,Giant Slalom,DNF1
19-11-1999,"Copper Mountain, CO",Giant Slalom,DNQ2
31-10-1999,Tignes,Giant Slalom,DNF1
02-01-1999,Maribor,Super G,32
02-01-1999,Maribor,Giant Slalom,DNF1
