datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Kvitfjell,Super G,30,24.70
12-03-2016,Kvitfjell,Downhill,30,23.59
27-02-2016,Hinterstoder,Super G,11,16.82
19-02-2016,Chamonix,Alpine combined,3,4.92
07-02-2016,Jeongseon,Super G,DNS1,
06-02-2016,Jeongseon,Downhill,DNS1,
30-01-2016,Garmisch Partenkirchen,Downhill,35,24.94
24-01-2016,Kitzbuehel,Slalom,DNF1,
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,3,8.55
22-01-2016,Kitzbuehel,Super G,18,24.82
17-01-2016,Wengen,Slalom,19,12.58
16-01-2016,Wengen,Downhill,25,36.54
15-01-2016,Wengen,Alpine combined,4,2.04
18-12-2015,Val Gardena / Groeden,Super G,52,40.32
05-12-2015,Beaver Creek,Super G,DNF1,
04-12-2015,Beaver Creek,Downhill,26,27.73
29-11-2015,Lake Louise,Super G,17,18.50
14-03-2015,Kranjska Gora,Giant Slalom,DNQ1,
08-03-2015,Kvitfjell,Super G,13,13.08
01-03-2015,Garmisch Partenkirchen,Giant Slalom,DNF2,
22-02-2015,Saalbach,Super G,27,24.78
23-01-2015,Kitzbuehel,Alpine combined,DNF1,
23-01-2015,Kitzbuehel,Super G,DNF1,
16-01-2015,Wengen,Alpine combined,9,16.41
22-12-2014,Madonna di Campiglio,Slalom,DNQ1,
21-12-2014,Alta Badia,Giant Slalom,DNQ1,
20-12-2014,Val Gardena / Groeden,Super G,21,17.83
12-12-2014,Are,Giant Slalom,DNF1,
07-12-2014,Beaver Creek,Giant Slalom,DNQ1,
06-12-2014,Beaver Creek,Super G,18,20.33
30-11-2014,Lake Louise,Super G,46,30.63
16-11-2014,Levi,Slalom,DNF1,
26-10-2014,Soelden,Giant Slalom,DNQ1,
13-03-2014,Lenzerheide,Super G,2,7.98
09-03-2014,Kranjska Gora,Slalom,DNQ1,
08-03-2014,Kranjska Gora,Giant Slalom,DNQ1,
02-03-2014,Kvitfjell,Super G,15,12.98
01-03-2014,Kvitfjell,Downhill,DNS1,
28-02-2014,Kvitfjell,Downhill,DNF1,
02-02-2014,St. Moritz,Giant Slalom,DNF1,
28-01-2014,Schladming,Slalom,DNQ1,
26-01-2014,Kitzbuehel,Super Combined,4,14.81
26-01-2014,Kitzbuehel,Super G,19,10.89
24-01-2014,Kitzbuehel,Slalom,DNQ1,
19-01-2014,Wengen,Slalom,DNQ1,
17-01-2014,Wengen,Super Combined,6,10.13
12-01-2014,Adelboden,Slalom,DNQ1,
11-01-2014,Adelboden,Giant Slalom,DNF1,
06-01-2014,Bormio,Slalom,DNQ1,
22-12-2013,Alta Badia,Giant Slalom,DNQ1,
