datum,kraj,disciplina,mesto,zaostanek
16-03-2014,Lenzerheide,Slalom,DNF2,
15-03-2014,Lenzerheide,Giant Slalom,15,10.11
13-03-2014,Lenzerheide,Super G,3,8.12
12-03-2014,Lenzerheide,Downhill,8,9.44
08-03-2014,Kranjska Gora,Giant Slalom,24,16.11
02-03-2014,Kvitfjell,Super G,12,10.23
01-03-2014,Kvitfjell,Downhill,8,12.00
28-02-2014,Kvitfjell,Downhill,16,15.01
02-02-2014,St. Moritz,Giant Slalom,DNF1,
28-01-2014,Schladming,Slalom,DSQ1,
26-01-2014,Kitzbuehel,Super G,2,0.75
26-01-2014,Kitzbuehel,Super Combined,DSQ2,
25-01-2014,Kitzbuehel,Downhill,3,3.78
19-01-2014,Wengen,Slalom,26,17.96
18-01-2014,Wengen,Downhill,5,5.17
17-01-2014,Wengen,Super Combined,9,13.96
12-01-2014,Adelboden,Slalom,DNQ1,
11-01-2014,Adelboden,Giant Slalom,DNF1,
29-12-2013,Bormio,Downhill,35,28.58
22-12-2013,Alta Badia,Giant Slalom,DNQ1,
21-12-2013,Val Gardena / Groeden,Downhill,5,4.58
20-12-2013,Val Gardena / Groeden,Super G,8,16.98
15-12-2013,Val d'Isere,Slalom,DNF1,
14-12-2013,Val d'Isere,Giant Slalom,DNF1,
08-12-2013,Beaver Creek,Giant Slalom,2,7.54
07-12-2013,Beaver Creek,Super G,14,16.06
06-12-2013,Beaver Creek,Downhill,13,13.63
01-12-2013,Lake Louise,Super G,23,20.64
30-11-2013,Lake Louise,Downhill,16,17.33
27-10-2013,Soelden,Giant Slalom,19,24.50
18-02-2012,Bansko,Giant Slalom,DNQ1,
12-02-2012,Sochi,Super Combined,DNF2,
11-02-2012,Sochi,Downhill,4,6.05
05-02-2012,Chamonix,Super Combined,DNF1,
04-02-2012,Chamonix,Downhill,8,12.84
03-02-2012,Chamonix,Downhill,2,0.11
28-01-2012,Garmisch-Partenkirchen,Downhill,35,27.72
22-01-2012,Kitzbuehel,Super Combined,DNF1,
22-01-2012,Kitzbuehel,Slalom,DNF1,
21-01-2012,Kitzbuehel,Downhill,29,24.50
15-01-2012,Wengen,Slalom,DNQ1,
14-01-2012,Wengen,Downhill,5,6.59
13-01-2012,Wengen,Super Combined,3,3.14
08-01-2012,Adelboden,Slalom,DNF1,
07-01-2012,Adelboden,Giant Slalom,DNF1,
29-12-2011,Bormio,Downhill,5,8.52
21-12-2011,Flachau,Slalom,DNF1,
19-12-2011,Alta Badia,Slalom,DNF1,
18-12-2011,Alta Badia,Giant Slalom,16,14.53
16-12-2011,Val Gardena-Groeden,Super G,2,3.90
08-12-2011,Beaver Creek,Slalom,27,15.11
06-12-2011,Beaver Creek,Giant Slalom,29,19.47
04-12-2011,Beaver Creek,Giant Slalom,DNQ1,
03-12-2011,Beaver Creek,Super G,21,18.85
02-12-2011,Beaver Creek,Downhill,1,0.00
27-11-2011,Lake Louise,Super G,9,17.40
26-11-2011,Lake Louise,Downhill,9,9.05
23-10-2011,Soelden,Giant Slalom,9,8.09
06-02-2011,Hinterstoder,Giant Slalom,9,2.98
05-02-2011,Hinterstoder,Super G,3,9.49
25-01-2011,Schladming,Slalom,DNS1,
23-01-2011,Kitzbuehel,Combined,DNF1,
23-01-2011,Kitzbuehel,Slalom,DNF1,
22-01-2011,Kitzbuehel,Downhill,2,11.07
21-01-2011,Kitzbuehel,Super G,10,14.67
16-01-2011,Wengen,Slalom,DNF1,
15-01-2011,Wengen,Downhill,8,12.57
14-01-2011,Wengen,Super Combined,6,11.83
09-01-2011,Adelboden,Slalom,DNF1,
08-01-2011,Adelboden,Giant Slalom,22,7.96
06-01-2011,Zagreb,Slalom,DNQ1,
02-01-2011,Muenchen,City Event,3,
29-12-2010,Bormio,Downhill,8,14.00
19-12-2010,Alta Badia,Giant Slalom,15,16.37
18-12-2010,Val Gardena-Groeden,Downhill,17,17.36
17-12-2010,Val Gardena-Groeden,Super G,16,23.59
12-12-2010,Val d'Isere,Slalom,DNF1,
11-12-2010,Val d'Isere,Giant Slalom,DNF1,
05-12-2010,Beaver Creek,Giant Slalom,27,47.89
04-12-2010,Beaver Creek,Super G,DNF1,
28-11-2010,Lake Louise,Super G,12,9.30
27-11-2010,Lake Louise,Downhill,8,15.55
14-11-2010,Levi,Slalom,DNF1,
26-01-2010,Schladming,Slalom,26,50.08
24-01-2010,Kitzbuehel,Slalom,DNS1,
24-01-2010,Kitzbuehel,Combined,DNS1,
23-01-2010,Kitzbuehel,Downhill,9,13.46
22-01-2010,Kitzbuehel,Super G,17,11.02
17-01-2010,Wengen,Slalom,DNF1,
16-01-2010,Wengen,Downhill,DNF1,
15-01-2010,Wengen,Super Combined,1,0.00
10-01-2010,Adelboden,Slalom,14,12.76
20-12-2009,Alta Badia,Giant Slalom,DNQ1,
19-12-2009,Val Gardena - Groeden,Downhill,9,8.38
18-12-2009,Val Gardena - Groeden,Super G,5,7.44
13-12-2009,Val d'Isere,Giant Slalom,DNS1,
12-12-2009,Val d'Isere,Super G,9,21.91
11-12-2009,Val d'Isere,Super Combined,5,16.41
06-12-2009,Beaver Creek,Giant Slalom,DNF1,
05-12-2009,Beaver Creek,Downhill,4,5.74
04-12-2009,Beaver Creek,Super Combined,DNF2,
29-11-2009,Lake Louise,Super G,39,30.11
28-11-2009,Lake Louise,Downhill,29,25.25
15-11-2009,Levi,Slalom,DNF2,
01-02-2009,Garmisch Partenkirchen,Slalom,6,4.83
27-01-2009,Schladming,Slalom,8,12.45
25-01-2009,Kitzbuehel,Combined,DNF2,
25-01-2009,Kitzbuehel,Slalom,DNF1,
24-01-2009,Kitzbuehel,Downhill,4,5.69
23-01-2009,Kitzbuehel,Super G,21,15.73
18-01-2009,Wengen,Slalom,DNF2,
17-01-2009,Wengen,Downhill,2,1.74
16-01-2009,Wengen,Super Combined,32,38.93
11-01-2009,Adelboden,Slalom,16,6.59
10-01-2009,Adelboden,Giant Slalom,DNF1,
06-01-2009,Zagreb,Slalom,DSQ1,
28-12-2008,Bormio,Downhill,4,12.29
22-12-2008,Alta Badia,Slalom,DNF1,
21-12-2008,Alta Badia,Giant Slalom,DNF2,
20-12-2008,Val Gardena - Groeden,Downhill,2,4.54
19-12-2008,Val Gardena - Groeden,Super G,17,12.71
13-12-2008,Val d'Isere,Giant Slalom,24,15.91
12-12-2008,Val d'Isere,Super Combined,DNF1,
07-12-2008,Beaver Creek,Giant Slalom,DNF2,
06-12-2008,Beaver Creek,Super G,14,17.99
05-12-2008,Beaver Creek,Downhill,DNF1,
30-11-2008,Lake Louise,Super G,DNF1,
29-11-2008,Lake Louise,Downhill,16,8.36
16-11-2008,Levi,Slalom,2,4.54
26-10-2008,Soelden,Giant Slalom,10,10.30
15-03-2008,Bormio,Slalom,DNS1,
14-03-2008,Bormio,Giant Slalom,DNF2,
13-03-2008,Bormio,Super G,12,9.91
09-03-2008,Kranjska Gora,Slalom,DNS1,
