datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,DNF1
07-03-2016,Jasna,Giant Slalom,12
06-03-2016,Jasna,Slalom,DNF1
15-02-2016,Crans Montana,Slalom,DNF1
30-01-2016,Maribor,Giant Slalom,12
17-01-2016,Flachau,Giant Slalom,7
15-01-2016,Flachau,Slalom,27
12-01-2016,Flachau,Slalom,20
05-01-2016,Santa Caterina Valfurva,Slalom,24
29-12-2015,Lienz,Slalom,13
28-12-2015,Lienz,Giant Slalom,DNF2
20-12-2015,Courchevel,Giant Slalom,DNQ1
13-12-2015,Are,Slalom,14
12-12-2015,Are,Giant Slalom,14
29-11-2015,"Aspen, CO",Slalom,23
28-11-2015,"Aspen, CO",Slalom,DNF1
27-11-2015,"Aspen, CO",Giant Slalom,4
24-10-2015,Soelden,Giant Slalom,12
22-03-2015,Meribel,Giant Slalom,12
21-03-2015,Meribel,Slalom,20
14-03-2015,Are,Slalom,23
13-03-2015,Are,Giant Slalom,10
22-02-2015,Maribor,Slalom,19
21-02-2015,Maribor,Giant Slalom,16
13-01-2015,Flachau,Slalom,DNQ1
04-01-2015,Zagreb,Slalom,DNF2
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
28-12-2014,Kuehtai in Tirol,Giant Slalom,16
13-12-2014,Are,Slalom,14
12-12-2014,Are,Giant Slalom,DNF1
30-11-2014,Aspen,Slalom,DNQ1
29-11-2014,Aspen,Giant Slalom,10
15-11-2014,Levi,Slalom,12
25-10-2014,Soelden,Giant Slalom,DNF2
16-03-2014,Lenzerheide,Giant Slalom,14
08-03-2014,Are,Slalom,DNQ1
07-03-2014,Are,Giant Slalom,6
06-03-2014,Are,Giant Slalom,10
02-02-2014,Kranjska Gora,Slalom,DNF1
14-01-2014,Flachau,Slalom,DNQ1
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,DNQ1
28-12-2013,Lienz,Giant Slalom,13
22-12-2013,Val d'Isere,Giant Slalom,DNF2
17-12-2013,Courchevel,Slalom,22
15-12-2013,St. Moritz,Giant Slalom,13
