datum,kraj,disciplina,mesto
06-03-2016,Jasna,Slalom,DNF1
15-02-2016,Crans Montana,Slalom,DNF1
15-01-2016,Flachau,Slalom,DNQ1
12-01-2016,Flachau,Slalom,25
13-12-2015,Are,Slalom,DNQ1
29-11-2015,"Aspen, CO",Slalom,DNQ1
28-11-2015,"Aspen, CO",Slalom,DNF1
14-03-2015,Are,Slalom,DNQ1
13-01-2015,Flachau,Slalom,DNQ1
04-01-2015,Zagreb,Slalom,DNF1
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
13-12-2014,Are,Slalom,DNQ1
30-11-2014,Aspen,Slalom,DNF1
15-11-2014,Levi,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNQ1
16-11-2013,Levi,Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,DNF1
