datum,kraj,disciplina,mesto
13-03-2016,Lenzerheide,Alpine combined,22
28-02-2016,Soldeu- El Tarter,Alpine combined,30
27-02-2016,Soldeu- El Tarter,Super G,46
21-02-2016,La Thuile,Super G,40
20-02-2016,La Thuile,Downhill,DNF1
19-02-2016,La Thuile,Downhill,41
07-02-2016,Garmisch Partenkirchen,Super G,43
06-02-2016,Garmisch Partenkirchen,Downhill,20
24-01-2016,Cortina d'Ampezzo,Super G,36
23-01-2016,Cortina d'Ampezzo,Downhill,46
10-01-2016,Altenmarkt-Zauchensee,Super G,26
09-01-2016,Altenmarkt-Zauchensee,Downhill,DNQ1
06-12-2015,Lake Louise,Super G,33
05-12-2015,Lake Louise,Downhill,36
04-12-2015,Lake Louise,Downhill,38
08-03-2015,Garmisch Partenkirchen,Super G,31
07-03-2015,Garmisch Partenkirchen,Downhill,29
02-03-2015,Bansko,Super G,38
01-03-2015,Bansko,Alpine combined,22
25-01-2015,St.Moritz,Super G,21
24-01-2015,St.Moritz,Downhill,35
19-01-2015,Cortina d'Ampezzo,Super G,26
21-12-2014,Val d Isere,Super G,20
20-12-2014,Val d Isere,Downhill,38
07-12-2014,Lake Louise,Super G,44
06-12-2014,Lake Louise,Downhill,49
05-12-2014,Lake Louise,Downhill,45
02-03-2014,Crans Montana,Downhill,DNF1
26-01-2014,Cortina d Ampezzo,Super G,31
25-01-2014,Cortina d Ampezzo,Downhill,36
24-01-2014,Cortina d Ampezzo,Downhill,37
23-01-2014,Cortina d Ampezzo,Super G,44
12-01-2014,Altenmarkt / Zauchensee,Super Combined,21
11-01-2014,Altenmarkt / Zauchensee,Downhill,46
21-12-2013,Val d'Isere,Downhill,28
14-12-2013,St. Moritz,Super G,21
07-12-2013,Lake Louise,Downhill,45
06-12-2013,Lake Louise,Downhill,35
30-11-2013,Beaver Creek,Super G,DNF1
29-11-2013,Beaver Creek,Downhill,25
29-01-2012,St. Moritz,Super Combined,30
03-01-2012,Zagreb,Slalom,DNF1
29-12-2011,Lienz,Slalom,DNQ1
