datum,kraj,disciplina,mesto
23-01-2015,Kitzbuehel,Alpine combined,DNS1
23-01-2015,Kitzbuehel,Super G,DNS1
18-01-2015,Wengen,Downhill,42
16-01-2015,Wengen,Alpine combined,22
28-12-2014,Santa Caterina,Downhill,42
20-12-2014,Val Gardena / Groeden,Super G,30
19-12-2014,Val Gardena / Groeden,Downhill,26
06-12-2014,Beaver Creek,Super G,DNS1
30-11-2014,Lake Louise,Super G,49
29-11-2014,Lake Louise,Downhill,45
02-03-2014,Kvitfjell,Super G,31
01-03-2014,Kvitfjell,Downhill,26
28-02-2014,Kvitfjell,Downhill,32
26-01-2014,Kitzbuehel,Super G,40
26-01-2014,Kitzbuehel,Super Combined,25
25-01-2014,Kitzbuehel,Downhill,23
18-01-2014,Wengen,Downhill,37
17-01-2014,Wengen,Super Combined,DNF1
29-12-2013,Bormio,Downhill,62
21-12-2013,Val Gardena / Groeden,Downhill,23
20-12-2013,Val Gardena / Groeden,Super G,15
07-12-2013,Beaver Creek,Super G,36
06-12-2013,Beaver Creek,Downhill,41
01-12-2013,Lake Louise,Super G,43
30-11-2013,Lake Louise,Downhill,DNF1
04-03-2012,Kvitfjell,Super G,10
03-03-2012,Kvitfjell,Downhill,25
02-03-2012,Kvitfjell,Super G,20
25-02-2012,Crans Montana,Super G,DSQ1
24-02-2012,Crans Montana,Super G,37
12-02-2012,Sochi,Super Combined,DNF2
11-02-2012,Sochi,Downhill,36
05-02-2012,Chamonix,Super Combined,19
04-02-2012,Chamonix,Downhill,30
03-02-2012,Chamonix,Downhill,39
28-01-2012,Garmisch-Partenkirchen,Downhill,38
21-01-2012,Kitzbuehel,Downhill,28
14-01-2012,Wengen,Downhill,31
13-01-2012,Wengen,Super Combined,DSQ1
29-12-2011,Bormio,Downhill,28
16-12-2011,Val Gardena-Groeden,Super G,13
04-12-2011,Beaver Creek,Giant Slalom,DNF1
03-12-2011,Beaver Creek,Super G,33
02-12-2011,Beaver Creek,Downhill,21
27-11-2011,Lake Louise,Super G,32
26-11-2011,Lake Louise,Downhill,22
13-03-2011,Kvitfjell,Super G,6
12-03-2011,Kvitfjell,Downhill,19
11-03-2011,Kvitfjell,Downhill,40
30-01-2011,Chamonix,Super Combined,12
29-01-2011,Chamonix,Downhill,37
23-01-2011,Kitzbuehel,Combined,12
23-01-2011,Kitzbuehel,Slalom,DNQ1
22-01-2011,Kitzbuehel,Downhill,39
21-01-2011,Kitzbuehel,Super G,DNF1
15-01-2011,Wengen,Downhill,10
14-01-2011,Wengen,Super Combined,DNF2
29-12-2010,Bormio,Downhill,DNF1
18-12-2010,Val Gardena-Groeden,Downhill,14
17-12-2010,Val Gardena-Groeden,Super G,DNF1
05-12-2010,Beaver Creek,Giant Slalom,DNS1
04-12-2010,Beaver Creek,Super G,DNS1
28-11-2010,Lake Louise,Super G,DNF1
27-11-2010,Lake Louise,Downhill,49
10-03-2010,Garmisch Partenkirchen,Downhill,DNF1
07-03-2010,Kvitfjell,Super G,33
06-03-2010,Kvitfjell,Downhill,4
24-01-2010,Kitzbuehel,Combined,DNS2
24-01-2010,Kitzbuehel,Slalom,DNQ1
23-01-2010,Kitzbuehel,Downhill,39
22-01-2010,Kitzbuehel,Super G,41
16-01-2010,Wengen,Downhill,12
15-01-2010,Wengen,Super Combined,15
29-12-2009,Bormio,Downhill,38
21-12-2009,Alta Badia,Slalom,DNF1
19-12-2009,Val Gardena - Groeden,Downhill,7
18-12-2009,Val Gardena - Groeden,Super G,DNF1
11-12-2009,Val d'Isere,Super Combined,DNF1
06-12-2009,Beaver Creek,Giant Slalom,DNF1
05-12-2009,Beaver Creek,Downhill,12
04-12-2009,Beaver Creek,Super Combined,DSQ1
29-11-2009,Lake Louise,Super G,36
28-11-2009,Lake Louise,Downhill,10
11-03-2009,Are,Downhill,3
07-03-2009,Kvitfjell,Downhill,4
06-03-2009,Kvitfjell,Downhill,12
22-02-2009,Sestriere,Super Combined,DNF1
21-02-2009,Sestriere,Giant Slalom,DNF1
17-01-2009,Wengen,Downhill,37
16-01-2009,Wengen,Super Combined,25
06-01-2009,Zagreb,Slalom,DNF1
28-12-2008,Bormio,Downhill,39
20-12-2008,Val Gardena - Groeden,Downhill,14
19-12-2008,Val Gardena - Groeden,Super G,DNF1
12-12-2008,Val d'Isere,Super Combined,DNF1
07-12-2008,Beaver Creek,Giant Slalom,DNQ1
06-12-2008,Beaver Creek,Super G,DNF1
05-12-2008,Beaver Creek,Downhill,41
30-11-2008,Lake Louise,Super G,DNF1
29-11-2008,Lake Louise,Downhill,3
26-10-2008,Soelden,Giant Slalom,DNF1
02-03-2008,Kvitfjell,Super G,42
01-03-2008,Kvitfjell,Downhill,20
29-02-2008,Kvitfjell,Downhill,25
21-02-2008,"Whistler, BC",Super G,54
03-02-2008,Val d'Isere,Super Combined,DNS1
27-01-2008,Chamonix,Super Combined,20
26-01-2008,Chamonix,Downhill,50
19-01-2008,Kitzbuehel,Downhill,DNF1
18-01-2008,Kitzbuehel,Super G,DNF1
13-01-2008,Wengen,Downhill,24
11-01-2008,Wengen,Super Combined,12
29-12-2007,Bormio,Downhill,29
15-12-2007,Val Gardena-Groeden,Downhill,11
14-12-2007,Val Gardena-Groeden,Super G,DNF1
03-12-2007,"Beaver Creek, CO",Super G,39
02-12-2007,"Beaver Creek, CO",Giant Slalom,DNF1
30-11-2007,"Beaver Creek, CO",Downhill,29
29-11-2007,"Beaver Creek, CO",Super Combined,18
25-11-2007,"Lake Louise, AB",Super G,40
24-11-2007,"Lake Louise, AB",Downhill,49
11-03-2007,Kvitfjell,Super G,24
10-03-2007,Kvitfjell,Downhill,16
09-03-2007,Kvitfjell,Super Combined,7
24-02-2007,Garmisch-Partenkirchen,Downhill,38
23-02-2007,Garmisch-Partenkirchen,Downhill,DNF1
20-01-2007,Val d'Isere,Downhill,DNF1
14-01-2007,Wengen,Super Combined,13
13-01-2007,Wengen,Downhill,39
29-12-2006,Bormio,Downhill,46
28-12-2006,Bormio,Downhill,37
18-12-2006,Alta Badia,Slalom,DNF1
16-12-2006,Gardena/Groeden,Downhill,37
15-12-2006,Gardena/Groeden,Super G,25
10-12-2006,Reiteralm,Super Combined,4
01-12-2006,"Beaver Creek, CO",Downhill,31
30-11-2006,"Beaver Creek, CO",Super Combined,DNF
26-11-2006,"Lake Louise, AB",Super G,31
25-11-2006,"Lake Louise, AB",Downhill,27
03-02-2006,Chamonix,Super Combined,17
29-01-2006,Garmisch-Partenkirchen,Super G,52
28-01-2006,Garmisch-Partenkirchen,Downhill,DNF1
14-01-2006,Wengen,Downhill,DNF1
13-01-2006,Wengen,Super Combined,35
29-12-2005,Bormio,Downhill,49
17-12-2005,Gardena/Groeden,Downhill,DNS1
16-12-2005,Gardena/Groeden,Super G,53
11-12-2005,Val d'Isere,Super Combined,13
10-12-2005,Val d'Isere,Downhill,37
04-12-2005,"Beaver Creek, CO",Slalom,DNF1
02-12-2005,"Beaver Creek, CO",Downhill,DNF1
01-12-2005,"Beaver Creek, CO",Super G,38
27-11-2005,"Lake Louise, AB",Super G,DNF1
26-11-2005,"Lake Louise, AB",Downhill,55
06-03-2005,Kvitfjell,Super G,51
05-03-2005,Kvitfjell,Downhill,39
18-12-2004,Gardena/Groeden,Downhill,39
17-12-2004,Gardena/Groeden,Super G,51
11-12-2004,Val d'Isere,Downhill,46
28-11-2004,"Lake Louise, AB",Super G,DNS1
11-03-2004,Sestriere,Super G,DNF1
07-03-2004,Kvitfjell,Super G,31
06-03-2004,Kvitfjell,Downhill,DNF1
