datum,kraj,disciplina,mesto
21-03-2015,Meribel,Giant Slalom,16
14-03-2015,Kranjska Gora,Giant Slalom,25
01-03-2015,Garmisch Partenkirchen,Giant Slalom,12
10-01-2015,Adelboden,Giant Slalom,11
21-12-2014,Alta Badia,Giant Slalom,DNF1
12-12-2014,Are,Giant Slalom,20
07-12-2014,Beaver Creek,Giant Slalom,22
26-10-2014,Soelden,Giant Slalom,22
15-03-2014,Lenzerheide,Giant Slalom,9
08-03-2014,Kranjska Gora,Giant Slalom,DNF2
02-02-2014,St. Moritz,Giant Slalom,4
11-01-2014,Adelboden,Giant Slalom,14
22-12-2013,Alta Badia,Giant Slalom,20
14-12-2013,Val d'Isere,Giant Slalom,7
08-12-2013,Beaver Creek,Giant Slalom,24
27-10-2013,Soelden,Giant Slalom,28
09-03-2013,Kranjska Gora,Giant Slalom,DNF1
03-03-2013,Kvitfjell,Super G,50
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,25
25-01-2013,Kitzbuehel,Super G,40
12-01-2013,Adelboden,Giant Slalom,13
16-12-2012,Alta Badia,Giant Slalom,18
14-12-2012,Val Gardena-Groeden,Super G,60
09-12-2012,Val d'Isere,Giant Slalom,27
02-12-2012,Beaver Creek,Giant Slalom,DNF1
25-11-2012,Lake Louise,Super G,DNF1
28-10-2012,Soelden,Giant Slalom,10
17-03-2012,Schladming,Giant Slalom,8
10-03-2012,Kranjska Gora,Giant Slalom,6
04-03-2012,Kvitfjell,Super G,50
02-03-2012,Kvitfjell,Super G,51
26-02-2012,Crans Montana,Giant Slalom,DNF1
25-02-2012,Crans Montana,Super G,44
24-02-2012,Crans Montana,Super G,DNF1
18-02-2012,Bansko,Giant Slalom,26
07-01-2012,Adelboden,Giant Slalom,27
18-12-2011,Alta Badia,Giant Slalom,22
06-12-2011,Beaver Creek,Giant Slalom,22
04-12-2011,Beaver Creek,Giant Slalom,19
03-12-2011,Beaver Creek,Super G,DNF1
05-03-2011,Kranjska Gora,Giant Slalom,6
26-02-2011,Bansko,Super Combined,22
06-02-2011,Hinterstoder,Giant Slalom,DNF1
05-02-2011,Hinterstoder,Super G,44
08-01-2011,Adelboden,Giant Slalom,15
19-12-2010,Alta Badia,Giant Slalom,7
11-12-2010,Val d'Isere,Giant Slalom,DNF1
05-12-2010,Beaver Creek,Giant Slalom,12
31-01-2010,Kranjska Gora,Slalom,DNF1
30-01-2010,Kranjska Gora,Giant Slalom,DNF1
29-01-2010,Kranjska Gora,Giant Slalom,DNF1
17-01-2010,Wengen,Slalom,DNS1
10-01-2010,Adelboden,Slalom,DNF1
20-12-2009,Alta Badia,Giant Slalom,DNF1
13-12-2009,Val d'Isere,Giant Slalom,DNF1
15-11-2009,Levi,Slalom,DNQ1
25-10-2009,Soelden,Giant Slalom,DNF1
01-03-2009,Kranjska Gora,Slalom,DNF1
28-02-2009,Kranjska Gora,Giant Slalom,26
22-02-2009,Sestriere,Super Combined,DNF2
21-02-2009,Sestriere,Giant Slalom,DNQ1
11-01-2009,Adelboden,Slalom,DNF1
10-01-2009,Adelboden,Giant Slalom,DNF1
06-01-2009,Zagreb,Slalom,DNF1
21-12-2008,Alta Badia,Giant Slalom,DNQ1
13-12-2008,Val d'Isere,Giant Slalom,DNF1
07-12-2008,Beaver Creek,Giant Slalom,DNF1
16-11-2008,Levi,Slalom,DNF1
26-10-2008,Soelden,Giant Slalom,DNF1
08-03-2008,Kranjska Gora,Giant Slalom,DNS1
27-01-2008,Chamonix,Super Combined,DNF2
11-01-2008,Wengen,Super Combined,DNF2
05-01-2008,Adelboden,Giant Slalom,DNF1
16-12-2007,La Villa - Alta Badia,Giant Slalom,DNQ1
14-12-2007,Val Gardena-Groeden,Super G,36
08-12-2007,Bad Kleinkirchheim,Giant Slalom,DNQ1
03-12-2007,"Beaver Creek, CO",Super G,45
02-12-2007,"Beaver Creek, CO",Giant Slalom,DNF1
29-11-2007,"Beaver Creek, CO",Super Combined,31
25-11-2007,"Lake Louise, AB",Super G,48
24-11-2007,"Lake Louise, AB",Downhill,63
28-10-2007,Soelden,Giant Slalom,DNQ1
