datum,kraj,disciplina,mesto
16-03-2016,St. Moritz,Downhill,14
13-03-2016,Kvitfjell,Super G,20
12-03-2016,Kvitfjell,Downhill,4
27-02-2016,Hinterstoder,Super G,40
20-02-2016,Chamonix,Downhill,7
07-02-2016,Jeongseon,Super G,31
06-02-2016,Jeongseon,Downhill,39
30-01-2016,Garmisch Partenkirchen,Downhill,21
23-01-2016,Kitzbuehel,Downhill,15
22-01-2016,Kitzbuehel,Super G,11
16-01-2016,Wengen,Downhill,33
29-12-2015,Santa Caterina,Downhill,DNF1
19-12-2015,Val Gardena / Groeden,Downhill,12
18-12-2015,Val Gardena / Groeden,Super G,38
05-12-2015,Beaver Creek,Super G,46
04-12-2015,Beaver Creek,Downhill,35
29-11-2015,Lake Louise,Super G,28
28-11-2015,Lake Louise,Downhill,30
19-03-2015,Meribel,Super G,16
18-03-2015,Meribel,Downhill,DNF1
08-03-2015,Kvitfjell,Super G,18
07-03-2015,Kvitfjell,Downhill,2
28-02-2015,Garmisch Partenkirchen,Downhill,36
22-02-2015,Saalbach,Super G,DNF1
21-02-2015,Saalbach,Downhill,DNF1
18-01-2015,Wengen,Downhill,DNF1
28-12-2014,Santa Caterina,Downhill,36
20-12-2014,Val Gardena / Groeden,Super G,20
19-12-2014,Val Gardena / Groeden,Downhill,16
06-12-2014,Beaver Creek,Super G,DNF1
05-12-2014,Beaver Creek,Downhill,20
30-11-2014,Lake Louise,Super G,7
29-11-2014,Lake Louise,Downhill,2
13-03-2014,Lenzerheide,Super G,DNF1
12-03-2014,Lenzerheide,Downhill,13
02-03-2014,Kvitfjell,Super G,8
01-03-2014,Kvitfjell,Downhill,21
28-02-2014,Kvitfjell,Downhill,25
26-01-2014,Kitzbuehel,Super G,37
25-01-2014,Kitzbuehel,Downhill,16
18-01-2014,Wengen,Downhill,35
29-12-2013,Bormio,Downhill,21
21-12-2013,Val Gardena / Groeden,Downhill,7
20-12-2013,Val Gardena / Groeden,Super G,DNF1
07-12-2013,Beaver Creek,Super G,27
06-12-2013,Beaver Creek,Downhill,4
01-12-2013,Lake Louise,Super G,12
30-11-2013,Lake Louise,Downhill,28
03-03-2013,Kvitfjell,Super G,DNF1
02-03-2013,Kvitfjell,Downhill,4
23-02-2013,Garmisch-Partenkirchen,Downhill,25
26-01-2013,Kitzbuehel,Downhill,10
25-01-2013,Kitzbuehel,Super G,22
19-01-2013,Wengen,Downhill,DNF1
29-12-2012,Bormio,Downhill,18
15-12-2012,Val Gardena-Groeden,Downhill,7
14-12-2012,Val Gardena-Groeden,Super G,18
30-11-2012,Beaver Creek,Downhill,28
24-11-2012,Lake Louise,Downhill,22
29-01-2011,Chamonix,Downhill,DNF1
23-01-2011,Kitzbuehel,Combined,DNF1
22-01-2011,Kitzbuehel,Downhill,DNF1
21-01-2011,Kitzbuehel,Super G,29
15-01-2011,Wengen,Downhill,23
29-12-2010,Bormio,Downhill,13
18-12-2010,Val Gardena-Groeden,Downhill,8
17-12-2010,Val Gardena-Groeden,Super G,15
05-12-2010,Beaver Creek,Giant Slalom,DNQ1
04-12-2010,Beaver Creek,Super G,19
28-11-2010,Lake Louise,Super G,15
27-11-2010,Lake Louise,Downhill,13
11-03-2010,Garmisch Partenkirchen,Super G,11
10-03-2010,Garmisch Partenkirchen,Downhill,7
07-03-2010,Kvitfjell,Super G,11
06-03-2010,Kvitfjell,Downhill,21
23-01-2010,Kitzbuehel,Downhill,20
22-01-2010,Kitzbuehel,Super G,DNF1
16-01-2010,Wengen,Downhill,2
15-01-2010,Wengen,Super Combined,DNS2
29-12-2009,Bormio,Downhill,10
19-12-2009,Val Gardena - Groeden,Downhill,1
18-12-2009,Val Gardena - Groeden,Super G,17
12-12-2009,Val d'Isere,Super G,21
11-12-2009,Val d'Isere,Super Combined,DNS1
06-12-2009,Beaver Creek,Giant Slalom,DNQ1
05-12-2009,Beaver Creek,Downhill,28
29-11-2009,Lake Louise,Super G,1
28-11-2009,Lake Louise,Downhill,16
11-03-2009,Are,Downhill,11
07-03-2009,Kvitfjell,Downhill,3
06-03-2009,Kvitfjell,Downhill,1
24-01-2009,Kitzbuehel,Downhill,26
23-01-2009,Kitzbuehel,Super G,DNS1
17-01-2009,Wengen,Downhill,5
28-12-2008,Bormio,Downhill,13
20-12-2008,Val Gardena - Groeden,Downhill,3
19-12-2008,Val Gardena - Groeden,Super G,13
06-12-2008,Beaver Creek,Super G,DNF1
05-12-2008,Beaver Creek,Downhill,23
30-11-2008,Lake Louise,Super G,27
29-11-2008,Lake Louise,Downhill,30
02-03-2008,Kvitfjell,Super G,19
01-03-2008,Kvitfjell,Downhill,5
29-02-2008,Kvitfjell,Downhill,4
21-02-2008,"Whistler, BC",Super G,21
26-01-2008,Chamonix,Downhill,5
19-01-2008,Kitzbuehel,Downhill,20
18-01-2008,Kitzbuehel,Super G,29
13-01-2008,Wengen,Downhill,3
29-12-2007,Bormio,Downhill,16
