datum,kraj,disciplina,mesto
16-03-2016,St. Moritz,Downhill,19
13-03-2016,Kvitfjell,Super G,3
12-03-2016,Kvitfjell,Downhill,1
28-02-2016,Hinterstoder,Giant Slalom,DNQ1
27-02-2016,Hinterstoder,Super G,16
20-02-2016,Chamonix,Downhill,1
19-02-2016,Chamonix,Alpine combined,2
07-02-2016,Jeongseon,Super G,DNF1
06-02-2016,Jeongseon,Downhill,2
30-01-2016,Garmisch Partenkirchen,Downhill,13
23-01-2016,Kitzbuehel,Downhill,16
22-01-2016,Kitzbuehel,Alpine combined,7
22-01-2016,Kitzbuehel,Super G,5
16-01-2016,Wengen,Downhill,4
15-01-2016,Wengen,Alpine combined,5
29-12-2015,Santa Caterina,Downhill,36
19-12-2015,Val Gardena / Groeden,Downhill,13
18-12-2015,Val Gardena / Groeden,Super G,8
06-12-2015,Beaver Creek,Giant Slalom,DNQ1
05-12-2015,Beaver Creek,Super G,13
04-12-2015,Beaver Creek,Downhill,20
29-11-2015,Lake Louise,Super G,6
28-11-2015,Lake Louise,Downhill,7
19-03-2015,Meribel,Super G,17
18-03-2015,Meribel,Downhill,22
08-03-2015,Kvitfjell,Super G,4
07-03-2015,Kvitfjell,Downhill,9
28-02-2015,Garmisch Partenkirchen,Downhill,5
22-02-2015,Saalbach,Super G,14
21-02-2015,Saalbach,Downhill,DNF1
24-01-2015,Kitzbuehel,Downhill,2
23-01-2015,Kitzbuehel,Alpine combined,DNS2
23-01-2015,Kitzbuehel,Super G,1
18-01-2015,Wengen,Downhill,19
16-01-2015,Wengen,Alpine combined,25
28-12-2014,Santa Caterina,Downhill,3
20-12-2014,Val Gardena / Groeden,Super G,2
19-12-2014,Val Gardena / Groeden,Downhill,3
06-12-2014,Beaver Creek,Super G,5
05-12-2014,Beaver Creek,Downhill,4
30-11-2014,Lake Louise,Super G,3
29-11-2014,Lake Louise,Downhill,4
12-03-2014,Lenzerheide,Downhill,17
02-03-2014,Kvitfjell,Super G,13
01-03-2014,Kvitfjell,Downhill,9
28-02-2014,Kvitfjell,Downhill,10
26-01-2014,Kitzbuehel,Super G,DNF1
26-01-2014,Kitzbuehel,Super Combined,DNF1
25-01-2014,Kitzbuehel,Downhill,31
18-01-2014,Wengen,Downhill,26
17-01-2014,Wengen,Super Combined,15
07-12-2013,Beaver Creek,Super G,DNF1
06-12-2013,Beaver Creek,Downhill,9
01-12-2013,Lake Louise,Super G,25
30-11-2013,Lake Louise,Downhill,1
03-03-2013,Kvitfjell,Super G,12
02-03-2013,Kvitfjell,Downhill,9
23-02-2013,Garmisch-Partenkirchen,Downhill,8
27-01-2013,Kitzbuehel,Slalom,DNF1
27-01-2013,Kitzbuehel,Super Combined,DNF1
26-01-2013,Kitzbuehel,Downhill,1
25-01-2013,Kitzbuehel,Super G,DNF1
19-01-2013,Wengen,Downhill,11
18-01-2013,Wengen,Super Combined,6
29-12-2012,Bormio,Downhill,1
15-12-2012,Val Gardena-Groeden,Downhill,15
14-12-2012,Val Gardena-Groeden,Super G,13
01-12-2012,Beaver Creek,Super G,29
30-11-2012,Beaver Creek,Downhill,5
25-11-2012,Lake Louise,Super G,36
24-11-2012,Lake Louise,Downhill,8
14-03-2012,Schladming,Downhill,14
04-03-2012,Kvitfjell,Super G,28
03-03-2012,Kvitfjell,Downhill,5
02-03-2012,Kvitfjell,Super G,26
25-02-2012,Crans Montana,Super G,40
24-02-2012,Crans Montana,Super G,31
12-02-2012,Sochi,Super Combined,DNF2
11-02-2012,Sochi,Downhill,11
05-02-2012,Chamonix,Super Combined,DNF2
04-02-2012,Chamonix,Downhill,15
03-02-2012,Chamonix,Downhill,14
28-01-2012,Garmisch-Partenkirchen,Downhill,6
22-01-2012,Kitzbuehel,Slalom,DNQ1
22-01-2012,Kitzbuehel,Super Combined,11
21-01-2012,Kitzbuehel,Downhill,35
14-01-2012,Wengen,Downhill,13
13-01-2012,Wengen,Super Combined,8
29-12-2011,Bormio,Downhill,9
02-12-2011,Beaver Creek,Downhill,49
27-11-2011,Lake Louise,Super G,DNS1
26-11-2011,Lake Louise,Downhill,13
16-03-2011,Lenzerheide,Downhill,14
13-03-2011,Kvitfjell,Super G,48
12-03-2011,Kvitfjell,Downhill,38
11-03-2011,Kvitfjell,Downhill,DNF1
26-02-2011,Bansko,Super Combined,26
05-02-2011,Hinterstoder,Super G,31
30-01-2011,Chamonix,Super Combined,7
29-01-2011,Chamonix,Downhill,2
23-01-2011,Kitzbuehel,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,DNF2
22-01-2011,Kitzbuehel,Downhill,25
21-01-2011,Kitzbuehel,Super G,27
15-01-2011,Wengen,Downhill,25
14-01-2011,Wengen,Super Combined,DNF1
29-12-2010,Bormio,Downhill,17
18-12-2010,Val Gardena-Groeden,Downhill,35
17-12-2010,Val Gardena-Groeden,Super G,31
04-12-2010,Beaver Creek,Super G,DNF1
28-11-2010,Lake Louise,Super G,36
27-11-2010,Lake Louise,Downhill,29
07-03-2010,Kvitfjell,Super G,14
06-03-2010,Kvitfjell,Downhill,28
24-01-2010,Kitzbuehel,Combined,14
24-01-2010,Kitzbuehel,Slalom,DNQ1
23-01-2010,Kitzbuehel,Downhill,25
22-01-2010,Kitzbuehel,Super G,43
16-01-2010,Wengen,Downhill,22
15-01-2010,Wengen,Super Combined,14
19-12-2009,Val Gardena - Groeden,Downhill,28
18-12-2009,Val Gardena - Groeden,Super G,30
12-12-2009,Val d'Isere,Super G,DNF1
11-12-2009,Val d'Isere,Super Combined,21
05-12-2009,Beaver Creek,Downhill,36
04-12-2009,Beaver Creek,Super Combined,26
29-11-2009,Lake Louise,Super G,DNF1
28-11-2009,Lake Louise,Downhill,DNF1
17-01-2009,Wengen,Downhill,42
16-01-2009,Wengen,Super Combined,36
19-12-2008,Val Gardena - Groeden,Super G,54
