datum,kraj,disciplina,mesto,zaostanek
30-01-2016,Maribor,Giant Slalom,DNQ1,
17-01-2016,Flachau,Giant Slalom,DNQ1,
28-12-2015,Lienz,Giant Slalom,DNF1,
20-12-2015,Courchevel,Giant Slalom,DNQ1,
12-12-2015,Are,Giant Slalom,DNQ1,
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1,
24-10-2015,Soelden,Giant Slalom,DNF1,
28-12-2014,Kuehtai in Tirol,Giant Slalom,23,14.31
12-12-2014,Are,Giant Slalom,DNQ1,
25-10-2014,Soelden,Giant Slalom,DNQ1,
26-01-2014,Cortina d Ampezzo,Super G,DNF1,
25-01-2014,Cortina d Ampezzo,Downhill,45,44.83
24-01-2014,Cortina d Ampezzo,Downhill,42,53.86
23-01-2014,Cortina d Ampezzo,Super G,45,46.25
15-12-2013,St. Moritz,Giant Slalom,DNF1,
14-12-2013,St. Moritz,Super G,DNF1,
