datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,13
19-03-2016,St. Moritz,Slalom,6
07-03-2016,Jasna,Giant Slalom,13
06-03-2016,Jasna,Slalom,12
23-02-2016,Stockholm,City Event,3
15-02-2016,Crans Montana,Slalom,DNF1
30-01-2016,Maribor,Giant Slalom,6
17-01-2016,Flachau,Giant Slalom,12
15-01-2016,Flachau,Slalom,20
12-01-2016,Flachau,Slalom,21
05-01-2016,Santa Caterina Valfurva,Slalom,8
29-12-2015,Lienz,Slalom,11
28-12-2015,Lienz,Giant Slalom,DNF2
20-12-2015,Courchevel,Giant Slalom,5
13-12-2015,Are,Slalom,10
12-12-2015,Are,Giant Slalom,7
29-11-2015,"Aspen, CO",Slalom,12
28-11-2015,"Aspen, CO",Slalom,5
27-11-2015,"Aspen, CO",Giant Slalom,19
24-10-2015,Soelden,Giant Slalom,22
22-03-2015,Meribel,Giant Slalom,17
21-03-2015,Meribel,Slalom,15
14-03-2015,Are,Slalom,14
13-03-2015,Are,Giant Slalom,19
22-02-2015,Maribor,Slalom,20
21-02-2015,Maribor,Giant Slalom,24
13-01-2015,Flachau,Slalom,18
04-01-2015,Zagreb,Slalom,DNF2
29-12-2014,Kuehtai in Tirol,Slalom,5
28-12-2014,Kuehtai in Tirol,Giant Slalom,25
13-12-2014,Are,Slalom,1
12-12-2014,Are,Giant Slalom,9
30-11-2014,Aspen,Slalom,4
29-11-2014,Aspen,Giant Slalom,12
15-11-2014,Levi,Slalom,4
25-10-2014,Soelden,Giant Slalom,8
16-03-2014,Lenzerheide,Giant Slalom,6
15-03-2014,Lenzerheide,Slalom,8
08-03-2014,Are,Slalom,2
07-03-2014,Are,Giant Slalom,5
06-03-2014,Are,Giant Slalom,8
02-02-2014,Kranjska Gora,Slalom,5
14-01-2014,Flachau,Slalom,3
05-01-2014,Bormio,Slalom,2
29-12-2013,Lienz,Slalom,DNF2
28-12-2013,Lienz,Giant Slalom,7
22-12-2013,Val d'Isere,Giant Slalom,3
17-12-2013,Courchevel,Slalom,DNF1
15-12-2013,St. Moritz,Giant Slalom,6
01-12-2013,Beaver Creek,Giant Slalom,4
16-11-2013,Levi,Slalom,20
26-10-2013,Soelden,Giant Slalom,7
16-03-2013,Lenzerheide,Slalom,12
10-03-2013,Ofterschwang,Slalom,5
09-03-2013,Ofterschwang,Giant Slalom,23
29-01-2013,City Event Moscow,City Event,9
27-01-2013,Maribor,Slalom,DNF1
26-01-2013,Maribor,Giant Slalom,17
15-01-2013,Flachau,Slalom,7
04-01-2013,Zagreb,Slalom,DNF2
01-01-2013,City Event Munich,City Event,5
29-12-2012,Semmering,Slalom,5
28-12-2012,Semmering,Giant Slalom,10
20-12-2012,Are,Slalom,4
19-12-2012,Are,Giant Slalom,16
16-12-2012,Courchevel,Giant Slalom,18
09-12-2012,St. Moritz,Giant Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,5
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1
10-11-2012,Levi,Slalom,8
27-10-2012,Soelden,Giant Slalom,DNQ1
03-01-2012,Zagreb,Slalom,5
29-12-2011,Lienz,Slalom,7
28-12-2011,Lienz,Giant Slalom,18
20-12-2011,Flachau,Slalom,16
18-12-2011,Courchevel,Slalom,DNF2
27-11-2011,Aspen,Slalom,2
26-11-2011,Aspen,Giant Slalom,DNQ1
22-10-2011,Soelden,Giant Slalom,5
18-03-2011,Lenzerheide,Slalom,5
12-03-2011,Spindleruv Mlyn,Slalom,4
11-03-2011,Spindleruv Mlyn,Giant Slalom,15
27-02-2011,Are,Super G,43
25-02-2011,Are,Super Combined,20
06-02-2011,Arber-Zwiesel,Giant Slalom,22
04-02-2011,Arber-Zwiesel,Slalom,8
11-01-2011,Flachau,Slalom,7
04-01-2011,Zagreb,Slalom,5
02-01-2011,Muenchen,City Event,1
29-12-2010,Semmering,Slalom,DNF2
28-12-2010,Semmering,Giant Slalom,17
21-12-2010,Courchevel,Slalom,4
12-12-2010,St. Moritz,Giant Slalom,23
28-11-2010,Aspen,Slalom,1
27-11-2010,Aspen,Giant Slalom,16
13-11-2010,Levi,Slalom,11
23-10-2010,Soelden,Giant Slalom,21
13-03-2010,Garmisch Partenkirchen,Slalom,7
11-03-2010,Garmisch Partenkirchen,Giant Slalom,6
24-01-2010,Cortina d'Ampezzo,Giant Slalom,7
22-01-2010,Cortina d'Ampezzo,Super G,49
17-01-2010,Maribor,Slalom,6
16-01-2010,Maribor,Giant Slalom,15
12-01-2010,Flachau,Slalom,DSQ2
03-01-2010,Zagreb,Slalom,7
29-12-2009,Lienz,Slalom,9
28-12-2009,Lienz,Giant Slalom,9
13-12-2009,Are,Slalom,6
12-12-2009,Are,Giant Slalom,7
29-11-2009,Aspen,Slalom,11
28-11-2009,Aspen,Giant Slalom,4
14-11-2009,Levi,Slalom,DNF1
24-10-2009,Soelden,Giant Slalom,5
14-03-2009,Are,Giant Slalom,15
13-03-2009,Are,Slalom,7
12-03-2009,Are,Super G,24
07-03-2009,Ofterschwang,Slalom,7
06-03-2009,Ofterschwang,Giant Slalom,12
30-01-2009,Garmisch Partenkirchen,Slalom,17
25-01-2009,Cortina d'Ampezzo,Giant Slalom,7
11-01-2009,Maribor,Slalom,9
10-01-2009,Maribor,Giant Slalom,8
04-01-2009,Zagreb,Slalom,11
29-12-2008,Semmering,Slalom,10
28-12-2008,Semmering,Giant Slalom,16
14-12-2008,La Molina,Slalom,DNQ1
13-12-2008,La Molina,Giant Slalom,7
30-11-2008,Aspen,Slalom,7
29-11-2008,Aspen,Giant Slalom,6
15-11-2008,Levi,Slalom,2
25-10-2008,Soelden,Giant Slalom,6
15-03-2008,Bormio,Giant Slalom,22
14-03-2008,Bormio,Slalom,9
15-02-2008,Zagreb-Sljeme,Slalom,8
27-01-2008,Ofterschwang,Slalom,11
26-01-2008,Ofterschwang,Giant Slalom,13
13-01-2008,Maribor,Slalom,DNQ2
12-01-2008,Maribor,Giant Slalom,8
06-01-2008,Spindleruv Mlyn,Slalom,DSQ2
05-01-2008,Spindleruv Mlyn,Giant Slalom,17
29-12-2007,Lienz,Slalom,16
28-12-2007,Lienz,Giant Slalom,8
09-12-2007,"Aspen, CO",Slalom,DNF1
25-11-2007,"Panorama, BC",Slalom,DNF2
24-11-2007,"Panorama, BC",Giant Slalom,12
10-11-2007,Reiteralm,Slalom,6
27-10-2007,Soelden,Giant Slalom,11
18-03-2007,Lenzerheide,Giant Slalom,14
17-03-2007,Lenzerheide,Slalom,DNF1
11-03-2007,Zwiesel,Slalom,DNF2
10-03-2007,Zwiesel,Giant Slalom,18
25-02-2007,Sierra Nevada,Slalom,14
24-02-2007,Sierra Nevada,Giant Slalom,20
21-01-2007,Cortina d'Ampezzo,Giant Slalom,15
07-01-2007,Kranjska Gora,Slalom,11
06-01-2007,Kranjska Gora,Giant Slalom,9
04-01-2007,Zagreb-Sljeme,Slalom,20
29-12-2006,Semmering,Slalom,6
28-12-2006,Semmering,Giant Slalom,15
