datum,kraj,disciplina,mesto
13-03-2016,Kvitfjell,Super G,40
12-03-2016,Kvitfjell,Downhill,24
20-02-2016,Chamonix,Downhill,28
06-02-2016,Jeongseon,Downhill,17
30-01-2016,Garmisch Partenkirchen,Downhill,15
23-01-2016,Kitzbuehel,Downhill,9
22-01-2016,Kitzbuehel,Super G,36
16-01-2016,Wengen,Downhill,6
29-12-2015,Santa Caterina,Downhill,3
19-12-2015,Val Gardena / Groeden,Downhill,50
04-12-2015,Beaver Creek,Downhill,42
28-11-2015,Lake Louise,Downhill,27
07-03-2015,Kvitfjell,Downhill,49
28-02-2015,Garmisch Partenkirchen,Downhill,26
22-02-2015,Saalbach,Super G,41
21-02-2015,Saalbach,Downhill,5
24-01-2015,Kitzbuehel,Downhill,22
23-01-2015,Kitzbuehel,Super G,32
18-01-2015,Wengen,Downhill,28
28-12-2014,Santa Caterina,Downhill,38
20-12-2014,Val Gardena / Groeden,Super G,52
19-12-2014,Val Gardena / Groeden,Downhill,34
06-12-2014,Beaver Creek,Super G,39
05-12-2014,Beaver Creek,Downhill,15
30-11-2014,Lake Louise,Super G,31
29-11-2014,Lake Louise,Downhill,DNF1
02-03-2014,Kvitfjell,Super G,DNF1
01-03-2014,Kvitfjell,Downhill,33
28-02-2014,Kvitfjell,Downhill,42
26-01-2014,Kitzbuehel,Super G,28
25-01-2014,Kitzbuehel,Downhill,20
18-01-2014,Wengen,Downhill,45
29-12-2013,Bormio,Downhill,17
21-12-2013,Val Gardena / Groeden,Downhill,DNF1
20-12-2013,Val Gardena / Groeden,Super G,36
07-12-2013,Beaver Creek,Super G,44
06-12-2013,Beaver Creek,Downhill,17
01-12-2013,Lake Louise,Super G,49
30-11-2013,Lake Louise,Downhill,17
03-03-2013,Kvitfjell,Super G,27
02-03-2013,Kvitfjell,Downhill,15
23-02-2013,Garmisch-Partenkirchen,Downhill,49
26-01-2013,Kitzbuehel,Downhill,4
25-01-2013,Kitzbuehel,Super G,18
19-01-2013,Wengen,Downhill,9
29-12-2012,Bormio,Downhill,13
15-12-2012,Val Gardena-Groeden,Downhill,30
14-12-2012,Val Gardena-Groeden,Super G,27
30-11-2012,Beaver Creek,Downhill,DNF1
25-11-2012,Lake Louise,Super G,53
24-11-2012,Lake Louise,Downhill,19
04-03-2012,Kvitfjell,Super G,DNS1
03-03-2012,Kvitfjell,Downhill,6
02-03-2012,Kvitfjell,Super G,DNF1
11-02-2012,Sochi,Downhill,19
04-02-2012,Chamonix,Downhill,41
03-02-2012,Chamonix,Downhill,42
28-01-2012,Garmisch-Partenkirchen,Downhill,42
21-01-2012,Kitzbuehel,Downhill,27
14-01-2012,Wengen,Downhill,32
29-12-2011,Bormio,Downhill,20
02-12-2011,Beaver Creek,Downhill,27
27-11-2011,Lake Louise,Super G,50
26-11-2011,Lake Louise,Downhill,17
12-03-2011,Kvitfjell,Downhill,43
11-03-2011,Kvitfjell,Downhill,33
29-01-2011,Chamonix,Downhill,34
22-01-2011,Kitzbuehel,Downhill,21
21-01-2011,Kitzbuehel,Super G,37
15-01-2011,Wengen,Downhill,40
14-01-2011,Wengen,Super Combined,DSQ1
18-12-2010,Val Gardena-Groeden,Downhill,DNF1
04-12-2010,Beaver Creek,Super G,DNF1
27-11-2010,Lake Louise,Downhill,32
10-03-2010,Garmisch Partenkirchen,Downhill,DNF1
07-03-2010,Kvitfjell,Super G,34
06-03-2010,Kvitfjell,Downhill,19
23-01-2010,Kitzbuehel,Downhill,30
22-01-2010,Kitzbuehel,Super G,DNF1
16-01-2010,Wengen,Downhill,DNF1
29-12-2009,Bormio,Downhill,4
19-12-2009,Val Gardena - Groeden,Downhill,26
12-12-2009,Val d'Isere,Super G,DNF1
05-12-2009,Beaver Creek,Downhill,8
28-11-2009,Lake Louise,Downhill,65
11-03-2009,Are,Downhill,18
07-03-2009,Kvitfjell,Downhill,31
06-03-2009,Kvitfjell,Downhill,35
24-01-2009,Kitzbuehel,Downhill,9
23-01-2009,Kitzbuehel,Super G,40
17-01-2009,Wengen,Downhill,16
28-12-2008,Bormio,Downhill,18
20-12-2008,Val Gardena - Groeden,Downhill,41
05-12-2008,Beaver Creek,Downhill,25
30-11-2008,Lake Louise,Super G,48
29-11-2008,Lake Louise,Downhill,14
02-03-2008,Kvitfjell,Super G,45
01-03-2008,Kvitfjell,Downhill,14
29-02-2008,Kvitfjell,Downhill,10
21-02-2008,"Whistler, BC",Super G,20
26-01-2008,Chamonix,Downhill,21
19-01-2008,Kitzbuehel,Downhill,22
18-01-2008,Kitzbuehel,Super G,50
13-01-2008,Wengen,Downhill,38
29-12-2007,Bormio,Downhill,14
15-12-2007,Val Gardena-Groeden,Downhill,44
14-12-2007,Val Gardena-Groeden,Super G,38
03-12-2007,"Beaver Creek, CO",Super G,43
30-11-2007,"Beaver Creek, CO",Downhill,27
29-11-2007,"Beaver Creek, CO",Super Combined,DNS2
24-11-2007,"Lake Louise, AB",Downhill,48
11-03-2007,Kvitfjell,Super G,DNS1
10-03-2007,Kvitfjell,Downhill,DNF1
24-02-2007,Garmisch-Partenkirchen,Downhill,32
23-02-2007,Garmisch-Partenkirchen,Downhill,37
20-01-2007,Val d'Isere,Downhill,DNF1
14-01-2007,Wengen,Super Combined,30
13-01-2007,Wengen,Downhill,38
20-12-2006,Hinterstoder,Super G,DNF1
