datum,kraj,disciplina,mesto
27-02-2016,Hinterstoder,Super G,37
26-02-2016,Hinterstoder,Giant Slalom,DNQ1
23-01-2016,Kitzbuehel,Downhill,DNS1
22-01-2016,Kitzbuehel,Super G,31
20-12-2015,Alta Badia,Giant Slalom,DNS1
18-12-2015,Val Gardena / Groeden,Super G,DNF1
06-12-2015,Beaver Creek,Giant Slalom,DNQ1
05-12-2015,Beaver Creek,Super G,42
04-12-2015,Beaver Creek,Downhill,39
29-11-2015,Lake Louise,Super G,45
08-03-2015,Kvitfjell,Super G,DNF1
07-03-2015,Kvitfjell,Downhill,48
28-02-2015,Garmisch Partenkirchen,Downhill,49
22-02-2015,Saalbach,Super G,31
23-01-2015,Kitzbuehel,Super G,DNS1
21-12-2014,Alta Badia,Giant Slalom,DNQ1
20-12-2014,Val Gardena / Groeden,Super G,35
19-12-2014,Val Gardena / Groeden,Downhill,54
06-12-2014,Beaver Creek,Super G,16
05-12-2014,Beaver Creek,Downhill,DNF1
30-11-2014,Lake Louise,Super G,17
29-11-2014,Lake Louise,Downhill,54
02-03-2014,Kvitfjell,Super G,DNF1
01-03-2014,Kvitfjell,Downhill,60
28-02-2014,Kvitfjell,Downhill,52
02-02-2014,St. Moritz,Giant Slalom,DNQ1
26-01-2014,Kitzbuehel,Super G,21
26-01-2014,Kitzbuehel,Super Combined,24
25-01-2014,Kitzbuehel,Downhill,44
18-01-2014,Wengen,Downhill,53
17-01-2014,Wengen,Super Combined,DNF1
20-12-2013,Val Gardena / Groeden,Super G,47
07-12-2013,Beaver Creek,Super G,24
01-12-2013,Lake Louise,Super G,41
30-11-2013,Lake Louise,Downhill,45
02-03-2013,Kvitfjell,Downhill,48
23-02-2013,Garmisch-Partenkirchen,Downhill,45
03-03-2012,Kvitfjell,Downhill,38
