datum,kraj,disciplina,mesto,zaostanek
22-03-2015,Meribel,Slalom,19,31.49
21-03-2015,Meribel,Giant Slalom,21,18.69
15-03-2015,Kranjska Gora,Slalom,24,22.40
14-03-2015,Kranjska Gora,Giant Slalom,DNF1,
01-03-2015,Garmisch Partenkirchen,Giant Slalom,3,20.65
27-01-2015,Schladming,Slalom,25,26.60
25-01-2015,Kitzbuehel,Slalom,19,16.20
17-01-2015,Wengen,Slalom,15,17.51
11-01-2015,Adelboden,Slalom,21,12.09
10-01-2015,Adelboden,Giant Slalom,20,17.37
06-01-2015,Zagreb,Slalom,DNF2,
22-12-2014,Madonna di Campiglio,Slalom,18,16.18
21-12-2014,Alta Badia,Giant Slalom,13,21.73
14-12-2014,Are,Slalom,DNF2,
12-12-2014,Are,Giant Slalom,7,20.42
07-12-2014,Beaver Creek,Giant Slalom,4,5.53
16-11-2014,Levi,Slalom,15,19.70
26-10-2014,Soelden,Giant Slalom,4,13.70
16-03-2014,Lenzerheide,Slalom,DNF2,
15-03-2014,Lenzerheide,Giant Slalom,13,8.60
09-03-2014,Kranjska Gora,Slalom,DNF2,
08-03-2014,Kranjska Gora,Giant Slalom,2,1.06
02-02-2014,St. Moritz,Giant Slalom,11,22.31
28-01-2014,Schladming,Slalom,16,16.27
24-01-2014,Kitzbuehel,Slalom,DNF2,
19-01-2014,Wengen,Slalom,16,10.00
12-01-2014,Adelboden,Slalom,10,10.39
11-01-2014,Adelboden,Giant Slalom,10,10.25
06-01-2014,Bormio,Slalom,25,14.50
22-12-2013,Alta Badia,Giant Slalom,7,11.25
15-12-2013,Val d'Isere,Slalom,9,6.17
14-12-2013,Val d'Isere,Giant Slalom,15,17.32
08-12-2013,Beaver Creek,Giant Slalom,15,21.31
17-11-2013,Levi,Slalom,8,10.53
27-10-2013,Soelden,Giant Slalom,13,18.69
17-03-2013,Lenzerheide,Slalom,8,10.72
16-03-2013,Lenzerheide,Giant Slalom,DNF2,
10-03-2013,Kranjska Gora,Slalom,DNF1,
09-03-2013,Kranjska Gora,Giant Slalom,7,10.14
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNF2,
27-01-2013,Kitzbuehel,Slalom,5,7.67
25-01-2013,Kitzbuehel,Super G,25,25.94
20-01-2013,Wengen,Slalom,18,10.55
18-01-2013,Wengen,Super Combined,4,10.00
13-01-2013,Adelboden,Slalom,DNF1,
12-01-2013,Adelboden,Giant Slalom,8,13.71
06-01-2013,Zagreb,Slalom,12,13.61
18-12-2012,Madonna di Campiglio,Slalom,12,20.20
16-12-2012,Alta Badia,Giant Slalom,13,29.88
14-12-2012,Val Gardena-Groeden,Super G,20,22.09
09-12-2012,Val d'Isere,Giant Slalom,25,25.12
08-12-2012,Val d'Isere,Slalom,26,15.67
02-12-2012,Beaver Creek,Giant Slalom,30,40.84
01-12-2012,Beaver Creek,Super G,DNF1,
25-11-2012,Lake Louise,Super G,42,32.95
24-11-2012,Lake Louise,Downhill,35,35.80
11-11-2012,Levi,Slalom,20,11.55
28-10-2012,Soelden,Giant Slalom,8,21.56
18-03-2012,Schladming,Slalom,12,17.28
17-03-2012,Schladming,Giant Slalom,10,13.51
15-03-2012,Schladming,Super G,5,3.78
14-03-2012,Schladming,Downhill,5,12.20
11-03-2012,Kranjska Gora,Slalom,18,9.72
10-03-2012,Kranjska Gora,Giant Slalom,14,20.95
04-03-2012,Kvitfjell,Super G,24,25.82
02-03-2012,Kvitfjell,Super G,DNF1,
26-02-2012,Crans Montana,Giant Slalom,17,8.77
25-02-2012,Crans Montana,Super G,1,0.00
24-02-2012,Crans Montana,Super G,3,2.39
19-02-2012,Bansko,Slalom,12,10.45
18-02-2012,Bansko,Giant Slalom,DNF2,
12-02-2012,Sochi,Super Combined,5,17.06
11-02-2012,Sochi,Downhill,41,44.43
05-02-2012,Chamonix,Super Combined,22,22.97
04-02-2012,Chamonix,Downhill,DNF1,
