datum,kraj,disciplina,mesto
26-01-2016,Schladming,Slalom,DNF1
24-01-2016,Kitzbuehel,Slalom,DNF1
17-01-2016,Wengen,Slalom,23
22-12-2015,Madonna di Campiglio,Slalom,DNF1
06-12-2015,Beaver Creek,Giant Slalom,DSQ2
15-03-2015,Kranjska Gora,Slalom,DNF1
14-03-2015,Kranjska Gora,Giant Slalom,DNF1
01-03-2015,Garmisch Partenkirchen,Giant Slalom,DNQ1
17-01-2015,Wengen,Slalom,DNQ1
11-01-2015,Adelboden,Slalom,DNQ1
10-01-2015,Adelboden,Giant Slalom,DNQ1
06-01-2015,Zagreb,Slalom,DNF1
22-12-2014,Madonna di Campiglio,Slalom,DNF1
21-12-2014,Alta Badia,Giant Slalom,DNQ1
14-12-2014,Are,Slalom,24
12-12-2014,Are,Giant Slalom,DNQ1
16-11-2014,Levi,Slalom,DNF1
27-10-2013,Soelden,Giant Slalom,DNQ1
13-01-2013,Adelboden,Slalom,DNQ1
12-01-2013,Adelboden,Giant Slalom,DNQ1
06-01-2013,Zagreb,Slalom,DNF1
02-12-2012,Beaver Creek,Giant Slalom,DNQ1
05-01-2012,Zagreb,Slalom,DNF1
08-12-2011,Beaver Creek,Slalom,DNF1
25-01-2011,Schladming,Slalom,DNF1
